figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
image_0000,1,../02_images/figures/image_0000.jpg,"(a); refractive index is 2.392. The critical angle θ can be calculated as 24.71° for the air surrounding condition. Given that the refractive index of cutting fluid ranges from 1.474 to 1.483 [21], the maximum total internal reflection angle θ can be calculated as 38.31°, which is still smaller than the laser incident angle at rake face. Thus, the cutting fluid can be considered to have no potential influence on the laser beam path.",1,0.391141,0.341141,low,paper::sent::33,text_item,"Eda et al. [17] initially proposed that when cutting speeds surpass the static plastic wave propagation speed, plastic deformation on the surface layer of the workpiece material is significantly suppressed."
image_0000,1,../02_images/figures/image_0000.jpg,"(a); refractive index is 2.392. The critical angle θ can be calculated as 24.71° for the air surrounding condition. Given that the refractive index of cutting fluid ranges from 1.474 to 1.483 [21], the maximum total internal reflection angle θ can be calculated as 38.31°, which is still smaller than the laser incident angle at rake face. Thus, the cutting fluid can be considered to have no potential influence on the laser beam path.",2,0.381988,0.331988,low,paper::sent::106,text_item,"The small cutting parameters can significantly reduce the cutting force (Niu and Cheng, 2020) and enhance the laser-heating accumulation effect (You and Fang, 2022)."
image_0000,1,../02_images/figures/image_0000.jpg,"(a); refractive index is 2.392. The critical angle θ can be calculated as 24.71° for the air surrounding condition. Given that the refractive index of cutting fluid ranges from 1.474 to 1.483 [21], the maximum total internal reflection angle θ can be calculated as 38.31°, which is still smaller than the laser incident angle at rake face. Thus, the cutting fluid can be considered to have no potential influence on the laser beam path.",3,0.38166,0.33166,low,paper::sent::59,text_item,"For an intuitive comparison of machinability, rotational taper cuttings were conducted to study the NOSC depths with and without laser in-process-heating assistance."
image_0000,1,../02_images/figures/image_0000.jpg,"(a); refractive index is 2.392. The critical angle θ can be calculated as 24.71° for the air surrounding condition. Given that the refractive index of cutting fluid ranges from 1.474 to 1.483 [21], the maximum total internal reflection angle θ can be calculated as 38.31°, which is still smaller than the laser incident angle at rake face. Thus, the cutting fluid can be considered to have no potential influence on the laser beam path.",4,0.380384,0.330384,low,paper::sent::71,text_item,Loading rates were varied by a factor of 50 to evaluate hydrogen diffusion effects on the fracture behavior.
image_0000,1,../02_images/figures/image_0000.jpg,"(a); refractive index is 2.392. The critical angle θ can be calculated as 24.71° for the air surrounding condition. Given that the refractive index of cutting fluid ranges from 1.474 to 1.483 [21], the maximum total internal reflection angle θ can be calculated as 38.31°, which is still smaller than the laser incident angle at rake face. Thus, the cutting fluid can be considered to have no potential influence on the laser beam path.",5,0.376974,0.326974,low,paper::sent::35,text_item,Microstructural observations and measurements were performed on tensile deformed samples to correlate the excellent strength and ductility to the strain partitioning and TRIP effect.
image_0001,2,../02_images/figures/image_0001.jpg,"(b); Fi. 2. references to color in this figure legend, the reader is referred to the Web version of this article.)",1,0.404613,0.354613,medium,paper::sent::38,text_item,"Lu et al. (2020) developed a finite element model of diamond cutting and revealed that tensile stress existed in the subsurface with a depth of 5 µm, while compressive stress appeared with greater depths."
image_0001,2,../02_images/figures/image_0001.jpg,"(b); Fi. 2. references to color in this figure legend, the reader is referred to the Web version of this article.)",2,0.39436,0.34436,low,paper::sent::86,text_item,"Although the thermal exposure duration during grinding is orders of magnitude shorter than that of conventional heat treatment, the instantaneous high temperature still induces extreme superheating at the ground surface."
image_0001,2,../02_images/figures/image_0001.jpg,"(b); Fi. 2. references to color in this figure legend, the reader is referred to the Web version of this article.)",3,0.39425,0.34425,low,paper::sent::97,text_item,"The rake and clearance angles of the diamond tool were 35° and 10°, respectively."
image_0001,2,../02_images/figures/image_0001.jpg,"(b); Fi. 2. references to color in this figure legend, the reader is referred to the Web version of this article.)",4,0.390735,0.340735,low,paper::sent::58,text_item,The solidification curves and the thermal-physical properties were calculated by the thermodynamic calculation software JMatPro using the Scheil-Gulliver model.
image_0001,2,../02_images/figures/image_0001.jpg,"(b); Fi. 2. references to color in this figure legend, the reader is referred to the Web version of this article.)",5,0.388619,0.338619,low,paper::sent::95,text_item,The surface oxide layer on the unmachined surface is considered to have little effect on the machining process considering that the DoC of diamond turning is at least 1 µm.
image_0002,3,../02_images/figures/image_0002.jpg,"density, the laser irradation surface area and the atom number in the laser heat region.",1,0.384564,0.334564,low,paper::sent::104,text_item,"In the simulation of the thermal conductivity, ""fix heat"" is also utilized to continually input heat, with both methods sharing the same principle."
image_0002,3,../02_images/figures/image_0002.jpg,"density, the laser irradation surface area and the atom number in the laser heat region.",2,0.38376,0.33376,low,paper::sent::86,text_item,"Although the thermal exposure duration during grinding is orders of magnitude shorter than that of conventional heat treatment, the instantaneous high temperature still induces extreme superheating at the ground surface."
