figure_id,figure_index,figure_path,caption,top1_score,top1_confidence,top1_text,top2_score,top2_confidence,top2_text,top3_score,top3_confidence,top3_text,top4_score,top4_confidence,top4_text,top5_score,top5_confidence,top5_text
chart_0000,1,../02_images/figures/chart_0000.jpg,$\times 1 0 ^ { - 4 } s ^ { - 1 }$ CG: coarse grain. Subscript,0.400709,medium,"Thus, it is apparent that the significance of the strain rate sensitivity in the necking strain is less important than the influence of the dynamic recovery coefficient $k _ { 2 } .$ Therefore, the role of m in the onset of necking should not be overestimated, at least for the materials, which do not exhibit a very strong strain rate dependence of flow stress.",0.390764,low,"With support from density functional theory (DFT) calculations and HAADF-STEM simulations, it is apparent that forming the ${ C o } _ { 3 } \mathsf { W }$ χ phase along SISFs correlates with enhanced creep resistance, suggesting that further $\gamma ^ { \prime }$ shearing in the form of stacking fault ribbons is inhibited.",0.389969,low,"The transformation of carbide characteristics stems from the high carbon affinity of the Zr element and its inhibition of the diffusion of the $\mathtt { M } _ { 6 } \mathtt { C }$ forming element towards grain boundaries [21,31].",0.388693,low,"The lubrication effect of $\mathrm { C a F _ { 2 } }$ at $9 0 0 ~ ^ { \circ } \mathrm { C }$ dominated above the hardness impact, which was due to the decrease of the interaction force between the $\mathrm { C a F } _ { 2 }$ atoms caused by the higher temperature, and the cleavage plane was prone to sliding, and the brittle-to-plastic transition of $\mathrm { C a F } _ { 2 }$ took place.",0.388632,low,A twostage flow behavior is visible in the stress-strain (σ—ε) curves of both the GS and CG samples.
chart_0001,2,../02_images/figures/chart_0001.jpg,as-annealed CG sample. (b) Hv evolution along the depth in $\mathbf { G } \mathbf { L } _ { 5 } ^ { 0 . 0 7 }$ sample. Note that the strain is applied global strain.,0.394954,low,"Although the workpiece maximum temperature of nanoindentation test and In-LAT are not consistent, the nanoindentation test results show that the mechanical properties variation tendency with temperature, which demonstrates the machinability improvement at elevated temperatures as the theoretical basis of In-LAT.",0.384681,low,"Remarkably, the creep lifetime of H230AM is also considerably better than the creep lifetimes of similar nickel-based superalloys under the same test conditions [3438], breaking the status quo that the creep property of the alloys fabricated by AM is generally inferior to that of the conventional processes (forging, rolling, etc.).",0.375571,low,"As these tests were conducted on polycrystalline samples, it is extremely difficult to quantify the frequency of the varying observed deformation modes for both alloys.",0.372413,low,"Thus, it is apparent that the significance of the strain rate sensitivity in the necking strain is less important than the influence of the dynamic recovery coefficient $k _ { 2 } .$ Therefore, the role of m in the onset of necking should not be overestimated, at least for the materials, which do not exhibit a very strong strain rate dependence of flow stress.",0.371539,low,Tensile properties were evaluated using a YSL-100 quasi-static tensile testing machine with ± 20 kN load capacity and strain rate of $1 \times { 1 0 } ^ { - 4 } { s } ^ { - 1 }$ at RT.
chart_0002,3,../02_images/figures/chart_0002.jpg,Fig. 3. Stress relaxation tensile testing. $\mathbf { \eta } ( \mathbf { a } )$ True stress-strain curves. (b) Evolution of mobile dislocation density $\left( \rho _ { \mathrm { m } } \right)$ time at various relaxation strains in the G (left) and G1 sample (right). Arrows in right figure indicate $\rho _ { \mathrm { e q u i } }$ change with strains. $\mathrm { ( c ) \ p _ { e q u i } }$ vs true strain in GS and CG samples. Note that the strain is applied global strain.,0.57057,high,"Fig. 3 illustrates the strain-time curves, strain rate-time curves, and strain rate-strain curves of the creep tests for alloys T0 and T5 at $1 0 3 0 ~ ^ { \circ } C$ and 230 MPa.",0.570307,high,The fraction of the recrystallized area is plotted in Fig. 3 along with the characteristics of the stress—strain curve.,0.561599,high,"Both in Fig. 3(a) and Figs. 3(c-e), the occurrence of nitrogen components in PAAs treated CF proved the successful coating of PAAs on CF surface.",0.556258,high,"Fig. 3(a) shows the engineering stress-strain curves of the N1-HOMO, N1-CR, N1-LH and N1-LAG materials after uniaxial tensile tests.",0.55467,high,"In addition, XRD patterns of the N1-HOMO, N1-CR, N1-LH and N1-LAG materials before and after tensile deformation (Fig. 3(d)) indicate that the studied materials are all with the fcc structure, and no phase transformation occurs during deformation."
image_0003,4,../02_images/figures/image_0003.jpg,Fi 5. web version of this article.),0.380487,low,"After identifying LPBF process parameters and post-HT conditions that could lead to the production of Ti-6Al-4V alloys with high strength and ductility, microstructural analyses were conducted to validate the source of their strength and ductility; aiming to confirm whether the microstructures of the alloys produced in this study simultaneously exhibit the microstructural characteristics of those with high UTS and those with high TE that were respectively identified in previous studies.",0.377029,low,The comparative grain sizes implied no significant grain coarsening after heat treatment at elevated temperatures occurred in this LPBF-fabricated Al-Cu-Li-Sc-Zr alloy.,0.375607,low,"The two alloys and microstructure conditions used in this study present a compelling case for the importance of elemental segregation along stacking faults, and the consequent effect on creep strength.",0.374973,low,"These findings demonstrate that the in-situ generation of $\mathrm { M g A l B } _ { 4 }$ phase effectively mitigates key challenges associated with LPBF processing of commercial AA2024, including coarse columnar grains, extensive hot cracking, and high defect density.",0.373897,low,This strongly suggests that γ bands act as effective ductile components in the as-EBM alloy.
image_0004,5,../02_images/figures/image_0004.jpg,Fig. 6. TEM micrographs showing parallelepiped austenite domains separated by ε-martensite bands in the gradient layer at the depth of (a) \~100 μm and (b) 50 µm.,0.563309,high,"Cross-sectional images of the MSZ/MSZ-7.5TiO2 coatings sprayed by SPS were also investigated, Fig. 6.",0.562606,high,The macro TEM image for the PL sample in Figure 6(h) displays a distinct equiaxed grain structure.,0.558025,high,"The Zener pinning effect [57,58,72,75] of the fine carbide particles, NbC, at the grain boundaries is confirmed by the TEM characterization on sample AM12h, as shown in Fig. 6(k).",0.557588,high,"The micrographs of etched cross sections of samples sintered at 1280, 1290 and $1 3 0 0 ^ { \circ } \mathrm { C }$ are clearly showing grain growth with increasing sintering temperature (Fig. 6).",0.548746,high,The TEM image of the CL sample in Figure 6(a) highlights a clear boundary between the CG and FG regions.
chart_0005,6,../02_images/figures/chart_0005.jpg,Fig. 7. Statistic side lengths of parallelepiped domains along the depth.,0.577573,high,Fig. 7 shows that the sizes of both domain sides decrease when approaching the treated surface in the gradient layer.,0.573784,high,"Fig. 7a,b displays the temporal creep strain evolution curves of Al-Zr-Ce-Cu alloy at 200 °C in compression in the as-fabricated and two-stepaged states (Fig. 7).",0.572056,high,"The data points of creep rupture life at high temperature and low stress for alloy T5 are located significantly above the second generation SX alloys, such as René N5 [38], PWA1484 [21], and CMSX-4 [39], but are close to and even slightly above the curves of René N6 [38] and TMS-75 [40] (more clearly displayed in the inset graph of Fig. 7).",0.571845,high,The cross-sectional microstructure of Si/YbDS-YbMS/YbMS/LMA coating after heat treatment at 950 C for 10 h in atmospheric environment is shown in Fig. 7.,0.567077,high,"Greater amount of confining stress and strain are observed in the 316L portion near the necking region (Fig. 7(f)-(h)), signifying a stronger confining and hardening effect, which explains its improvement in ductility compared with the baseline Sample A."
image_0006,7,../02_images/figures/image_0006.jpg,Fig. 8. TEM micrographs showing two types of shear bands in gradient layer. (a) Stacking faults in a shear band that contains granular α′-martensite at \~80 µm deep from treated surface. Lower left inset shows the SAED pattern indicating the ε-martensite with a [1100] zone axis. (b) Recrystallized austenite grains in a shear band. The upper right inset is an enlarged image of dislocation-free austenite grains in the shear band and the lower left inset is an SAED pattern showing low-angle misorientations between the austenite grains.,0.569954,high,"For comparison, representative bright-field STEM micrographs of Al-Zr-Ce-Cu alloy in the as-fabricated state as well as after single-step aging are provided in Fig. 8, which show a low density of matrix dislocations prior to creep.",0.561405,high,Fig. 8 exhibits the macro-morphology of fracture surfaces after testing at 980 °C/260 MPa.,0.560629,high,Fig. 8 shows the cross-sectional microstructure of Si/YbDS-YbMS/ YbMS/LMA coating after heat treatment at 1050 °C for 10 h.,0.553918,high,Fig. 8 shows the morphology characteristics of carbide particles at a depth of 6 µm from the top surface.,0.550186,high,Fig. 8 presents NanoSIMS elemental maps for the boroncontaining alloys.
chart_0007,8,../02_images/figures/chart_0007.jpg,Fig. 9. Quantitative $\varnothing ^ { \prime } .$ martensite transformation during tensile testing in G and $\mathsf { G L } _ { 5 } ^ { 0 . 0 4 }$ . (a) XRD spectra measured at several elected tensile strains for free-standing $\mathsf { G L } _ { 5 } ^ { 0 . 0 4 }$ film $\dot { \alpha } ^ { \prime } -$ martensite as a function of tensile strains.,0.571979,high,"Besides, the $\gamma a ^ { \prime }$ martensite transformation in the gradient layers begins at large strains and finishes by the end of uniform elongation based on the XRD measurements shown in Fig. 9(b).",0.570617,high,"With further increasing temperature $( > ~ 1 7 5 ~ ^ { \circ } \mathrm { C } ) ,$ the tanδ values of PBO fibers/BADCy laminated composites increase significantly, mainly attributed to the moving molecular chain segments at the glass transition interval (Fig. 9(f)).",0.563268,high,The applied tensile strain for TEM studies was determined based on the $\mathsf { V } _ { \mathsf { Q } _ { \mathrm { c } } ^ { \prime } }$ evolution in Fig. 9.,0.561906,high,"The results in Fig. 9 (b) and (c) reveal that SS0 and Ss90 all show high $S E _ { A }$ values and low $S E _ { R }$ values, implying the dominant EMI shielding mechanism is absorption for both composites.",0.551924,high,"Due to the higher temperature and segregation of $\gamma ^ { \prime }$ forming elements in IR, the rafted structures are significantly coarser and uneven than those in DC (Fig. 9(d))."
image_0008,9,../02_images/figures/image_0008.jpg,Fig. 10. TEM micrographs showing $\alpha ^ { \prime } \cdot$ martensite transformation in the gradient layer of the ${ \sf G S } _ { 5 } ^ { 1 }$ sample during tensile testing. (a) α' -martensite plates as indicated by red arrows.,0.583078,high,Fig. 10(a) shows the microstructure at \~160 µm deep at an applied tensile strain of 0.25.,0.582544,high,Fig. 10 shows the cross-sectional microstructure of Si/YbDS-YbMS/ YbMS/LMA coating after heat treatment at 1300 °C for 10 h.,0.581625,high,"Combined with the SEM images of the fracture surface in Fig. 10(e) and the secondary crack near the fracture surface in Fig. 10(f), cracks appeared along the grain boundary of the β phase in this region, exhibiting brittle intergranular fracture characteristics.",0.578004,high,This heterogeneous microstructure of the as-fabricated sample is further verified in the EPMA image shown in Fig. 10(a).,0.57212,high,"To further analyze the relationship between the microstructure and the fracture behavior of the as-printed samples, EBSD, KAM, and SEM maps near the fractures of the PBF-LB and PBF-EB samples were obtained at $6 5 0 ~ ^ { \circ } \mathrm { C } ,$ as seen in Fig. 10."
chart_0009,10,../02_images/figures/chart_0009.jpg,"Fig. 11. Synergy of yield strength and uniform elongation produced by combination of gradient structure and TRIP effect in 304ss, as compared with those reported in 304ss with other types of microstructures.",0.538039,high,Fig. 11 shows the morphologies of polished surface of SS-L-30 after loading at different tensile stresses.,0.534959,high,"The combination of the gradient structure and the TRIP effect produces a combination of strength and ductility that is superior to what was reported earlier, as shown in Fig. 11.",0.532708,high,"Fig. 11(a) reveals a high resolution experimental HAADF-STEM image of the commonly observed ordering along SISFs in LSHR while Fig. 11(b) contains the simulated SISF assuming that the Co, Cr, and W enriched $\chi$ phase transformation has occurred along the fault.",0.53208,high,Fig. 11 shows the nanoindentation hardness of the duplex-like region and γ bands at room temperature.,0.526866,high,Fig. 11(b) shows that the significance between the characteristic peaks of each Raman spectrum obtained at different laser powers does not change compared with the polished matrix.
