figure_id,figure_index,figure_path,caption,top1_score,top1_confidence,top1_text,top2_score,top2_confidence,top2_text,top3_score,top3_confidence,top3_text,top4_score,top4_confidence,top4_text,top5_score,top5_confidence,top5_text
image_0000,1,../02_images/figures/image_0000.jpg,"Fig. 1 T colour in this figure legend, the reader is referred to the web version of this article.)",0.388023,low,"With multi-probe microstructure analysis and mechanical testing, the phase formation kinetics of newly designed alloys are evaluated, and the mechanical effects of precipitation and austenite reversion are discussed.",0.384083,low,"It is worth emphasizing that the present work offers an improved understanding of the high-temperature stress rupture behavior and mechanism of DED-manufactured advanced precipitation strengthening Ni-based superalloy, which is important for its high-temperature practical applications.",0.383911,low,Nie et al. [16] utilized the Finite Element Method (FEM) followed by a stochastic analysis for temperature distribution and microstructure predictions.,0.381602,low,"Jia et al. [22] discovered that the area fraction of the O phase increased after solution treatment of hot extrusion samples, which indicated that the lower cooling rate contributed to the precipitation and growth of the O phase from the B2 phase.",0.378405,low,We aim for optimal precipitation and austenite reversion through a single annealing step.
chart_0001,2,../02_images/figures/chart_0001.jpg,diffusivity of the different elements in the martensite matrix at $\mathrm { ( _ { 1 } ) 5 3 0 ^ { \circ } C }$ and $\mathrm { ( _ { 2 } ) 5 8 0 ^ { \circ } C ; }$ and (d) the maximum normalized bcc→fcc phase transformation driving force (dG/RT) and equilibrium austenite (fcc) fraction with different alloying elements at $\mathrm { ( _ { 1 } ) 5 3 0 ~ ^ { \circ } C }$ and $\left( _ { 2 } \right) 5 8 0 ^ { \circ } \mathbf { C } .$,0.370549,low,"In the as-sintered condition, the coarser fraction ranges in size approximately from one to two micrometers, while the finer fraction shows precipitates with sizes smaller than one micron.",0.365027,low,The near absence of Cu segregation in the laser glazing region indicates that the Cu element segregated at the equiaxed grain boundaries in the cast region was nearly solutionized in the Al matrix in the laser glazing region owing to the high cooling rate during solidification froze most solutes in the Al matrix.,0.363429,low,"The resulting line profile confirms the segregation of Co, W, and Cr along the fault as well as the depletion of Ni and Al.",0.362672,low,The cell impedance $Z _ { \mathrm { C C } }$ of the ionic blocking cell is described as,0.362185,low,"The alloys compositions are measured by EDS (Table 1), which revealed 1\~2 wt.% variation between the nominal composition and the final cast composition."
chart_0002,3,../02_images/figures/chart_0002.jpg,Fig. 3. Calculated (a) Ms temperatures (C) [39] and (b) equilibrium phases (at $1 0 0 0 ~ ^ { \circ } \mathrm { C } )$ for the Fe-13Cr-xNi-1Al-yMo alloys with different Mo and Ni concentrations. The test alloys are shown as black dots.,0.566493,high,"Moreover, no oxidation of SiC fibers or the SiC matrix in the CMC substrate was detected, nor was there any formation of a SiO2 scale at the CMC/bond coating interface (Figs. 3(d2) and 3(d3)).",0.558736,high,"Figures 3(cl) and 3(c2) show that after 150 h of thermal cycling, microcracks began to connect on the surface, and the vertical mud crack bifurcated within the coating when it extended from ${ \mathrm { Y b } } _ { 2 } { \mathrm { S i O } } _ { 5 }$ layer to the interface with $\mathrm { Y b } _ { 2 } \mathrm { S i } _ { 2 } \mathrm { O } _ { 7 }$ layer.",0.55481,high,"Furthermore, Figs. 3(c3) and 3(c4), illustrating Si-HfO2 bond coating, showed that the thickness of m-TGO increased to 49.11 µm (Fig.",0.551917,high,"Due to the dissolution of the Laves_C14 phase, as can be observed in samples AC20m (Fig. 3(b)) and AC1h (Fig. 3(c)), the Nb will be released, and dissolve into the γ matrix, hence the Nb homogeneity around NbC particles should increase.",0.548297,high,"In addition, XRD patterns of the N1-HOMO, N1-CR, N1-LH and N1-LAG materials before and after tensile deformation (Fig. 3(d)) indicate that the studied materials are all with the fcc structure, and no phase transformation occurs during deformation."
image_0003,4,../02_images/figures/image_0003.jpg,8Ni4Mo,0.38173,low,"Pyczak et al. [34] reported that in the Ni-based alloys with $1 0 – 3 0 \mathrm { v o l } . \% \mathrm { C r } , \mathrm { C r } _ { 2 } 0 _ { 3 }$ was observed as external scales above the grain boundaries in addition to internal $\mathrm { C r } _ { 2 } \mathrm { O } _ { 3 } ,$ which are both expected to form in our sintered parts with 21.2 wt.% of Cr [34].",0.380444,low,Griffiths et al. [9] investigated the high-temperature properties of an Al-Mg-Zr alloy fabricated using LPBF in both AF and HT conditions.,0.378414,low,The present study investigates the high-temperature mechanical properties and microstructural evolution of an Al-Cu-Li-Sc-Zr alloy fabricated using LPBF technology.,0.376978,low,Mechanical properties of as-EBM alloy at room temperature exhibited strong plastic anisotropy depending on θ.,0.373154,low,This approach offers significant potential for tailoring precipitation microstructures and enhancing properties in other multiphase compositionally complex alloys.
image_0004,5,../02_images/figures/image_0004.jpg,10Ni4Mo; data points with a confident index less than 0.1.,0.373251,low,Griffiths et al. [9] investigated the high-temperature properties of an Al-Mg-Zr alloy fabricated using LPBF in both AF and HT conditions.,0.370727,low,Liu et al. examined the effect of Al content on the lamellar spacing in the TiAl alloys with the fully lamellar structure [55].,0.368268,low,"Pyczak et al. [34] reported that in the Ni-based alloys with $1 0 – 3 0 \mathrm { v o l } . \% \mathrm { C r } , \mathrm { C r } _ { 2 } 0 _ { 3 }$ was observed as external scales above the grain boundaries in addition to internal $\mathrm { C r } _ { 2 } \mathrm { O } _ { 3 } ,$ which are both expected to form in our sintered parts with 21.2 wt.% of Cr [34].",0.36694,low,"These results demonstrate that the aged alloy containing the $\mathrm { L } 1 _ { 2 }$ phase tends to form a more stable and robust passive film in dilute chloride solution than the as-printed alloy, thus exhibiting superior corrosion resistance.",0.366495,low,"Although more oriented cracks appeared inside the bond coating, they did not seem to harm the adhesion of the bond coating with the upper ${ \mathrm { Y b } } _ { 2 } { \mathrm { S i } } _ { 2 } { \mathrm { O } } _ { 7 }$ layer and CMC substrate."
image_0005,6,../02_images/figures/image_0005.jpg,$5 8 0 ^ { \circ } \mathrm { C }$ for 4 h with corresponding select area diffraction pattern (insert).,0.380441,low,"Specifically, the two-beam brightfield TEM images show random distributions of dislocations inside the copper grains, and no discernible dislocation pile-ups are observed at the matrix-nanoparticle interface.",0.367203,low,"Pyczak et al. [34] reported that in the Ni-based alloys with $1 0 – 3 0 \mathrm { v o l } . \% \mathrm { C r } , \mathrm { C r } _ { 2 } 0 _ { 3 }$ was observed as external scales above the grain boundaries in addition to internal $\mathrm { C r } _ { 2 } \mathrm { O } _ { 3 } ,$ which are both expected to form in our sintered parts with 21.2 wt.% of Cr [34].",0.365349,low,"Gas-atomized copper powders with an average diameter of -30 µm were mixed with highly crystallized $\mathtt { B _ { 4 } C }$ particles with sizes ranging from 2 to 4 µm (Aladdin Ltd., Shanghai, China).",0.364844,low,"These results indicate that mechanical properties improve as the oxide content increases toward an optimal point, but declines thereafter due to particle aggregation in the over-thick oxide-rich layer.",0.363851,low,Mechanical properties of as-EBM alloy at room temperature exhibited strong plastic anisotropy depending on θ.
chart_0006,7,../02_images/figures/chart_0006.jpg,Fi. 6. EDS); (b) The Vickers hardness of samples after annealing at 580 °C with different annealing times.,0.375459,low,The effects of reverted austenite on the ductility are evaluated by the total elongation (TE).,0.374051,low,The results of this work will contribute to the design of high-performance defect-free nickel-based superalloys suitable for AM and promote their application in practical engineering.,0.372007,low,"Experimentally, we demonstrated that both increasing the CAM particle size and reducing the SE particle size are effective ways to achieve a larger λ and therefore higher $f _ { \mathrm { C A M } }$ It may seem counterintuitive that a larger cathode particle size actually improves performance as larger particle sizes are associated with longer diffusion paths.",0.371984,low,"Consequently, it was demonstrated that the Pareto active learning framework proposed in this study effectively investigated unknown combinations of LPBF process parameters and post-HT conditions, expeditiously and accurately identifying combinations that yielded Ti-6Al-4V alloys with high strength and ductility.",0.371195,low,"These results demonstrate that the aged alloy containing the $\mathrm { L } 1 _ { 2 }$ phase tends to form a more stable and robust passive film in dilute chloride solution than the as-printed alloy, thus exhibiting superior corrosion resistance."
image_0007,8,../02_images/figures/image_0007.jpg,austenite grains and bulky austenite grains are also included.,0.377937,low,"Focus variation microscopy is also a capable surface roughness characterisation technique, with results that are in strong agreement with high-resolution $( 5 \mu \mathrm { m } )$ computed tomography (CT) surface characterisation data presented in [61].",0.374563,low,TEM study reveals revealing high-density dislocations (denoted by red arrows) in the vicinity of cellular precipitates.,0.371127,low,"Considering the limitations of XRD in analyzing grain texture, EBSD technology was employed to further investigate microstructure transition behaviors induced by grinding.",0.368087,low,"To reveal the underlying deformation mechanisms, samples deformed at different strains were characterized in detail by collaboratively using XRD, EBSD, and TEM.",0.367632,low,"Microstructural features, phase compositions, crystal structures, and deformation substructure were characterized using TEM (JEOL 2100 F and Talos F200) coupled with EDS and SAED."
image_0008,9,../02_images/figures/image_0008.jpg,austenite fraction calculated by ThermoCalc.,0.357086,low,"2) Perhaps the most intriguing result of the model approach developed in the present work is that it strongly suggests that uniform elongation is controlled primarily by the rate of dynamic recovery of dislocations, which is a microstructure sensitive process.",0.355631,low,"The results by Makineni et al. suggest that W diffuses away from the fault, which in Section 4.1 was revealed to be a rate-limiting diffusion process.",0.350236,low,The nonlinear relationship between the dimensionless resistivity and dimensionless position on a logarithmic scale (Fig.,0.349443,low,"In WA and GA samples, double XRD peaks were detected at around 51.5° with the left peak identified as γ-Ni phase and the right as $\delta \ [ \mathrm { N i } _ { 3 } \mathrm { N b } ]$ phase.",0.34934,low,"At 0 % strain, the dislocation density in the Al matrix remained low (Fig."
chart_0009,10,../02_images/figures/chart_0009.jpg,UTS and TE of other types of steels are also plotted based on the reference [83].,0.367241,low,"Based on the HIP1 samples, HT 3 and 4 resulted in less uniform microstructures when compared to HT1 and HT2.",0.359075,low,"The unconstrained lattice misfits of alloys T0 and T5 are calculated as 0.29% and 0.40%, respectively, which agree with the values obtained from neutron diffraction analysis.",0.356858,low,"According to the result of neutron diffraction, together with the estimation by dislocation spacings, the magnitude of the unconstrained lattice misfit in alloy T5 interrupted at 1% strain is larger than that in alloy T0.",0.356069,low,"In fact, Yan et al. presented that the yield stress of high-Nb-containing TiAl alloys with the fully lamellar structure is approximately 900 MPa at 1023 K [57].",0.354043,low,All of these conclusions combine to strongly imply that segregation and/or phase transformations along stacking faults have a considerable effect on creep properties in Ni-base superalloys above 700 °C.
