figure_id,figure_index,figure_path,caption,top1_score,top1_confidence,top1_text,top2_score,top2_confidence,top2_text,top3_score,top3_confidence,top3_text,top4_score,top4_confidence,top4_text,top5_score,top5_confidence,top5_text
image_0000,1,../02_images/figures/image_0000.jpg,Fig. 1 | Back scattered scanning electron microscopy (SEM) images showing overview microstructure of the as-printed $\mathbf { A l _ { 9 2 } T i _ { 2 } F e _ { 2 } C o _ { 2 } N i _ { 2 } }$ alloy with 300 W laser. a The horizontal (XY) view. The region outlined in the white box is enlarged in (c). b The vertical (XZ) planes. Z is the build direction. Yellow dash lines outline the melt-pool (MP) boundaries. c Micrograph of a representative melt pool with the outlined boundary and striated fine rosettes. The region outlined in the white box is magnified in (d). d The microstructure across the melt pool boundaries,0.566934,high,Fig. 1 summarizes the typical as-fabricated microstructures of the AM Al-Zr-Ce-Cu alloy.,0.56629,high,Powder particle micrographs showed irregular WA and spherical GA powder particles (Fig. 1).,0.556055,high,Back scattered scanning electron microscopy (SEM) images reveal the microstructure of the as-printed Al92Ti2Fe2Co2Ni2 fabricated with 300 W laser power in Fig. 1.,0.542921,high,Fig. 1 provides the microstructural characterization of the H230 and H230AM samples.,0.541347,high,"Fig. 1 shows µCT cross sectional images of WA and GA green parts with densities of \~50% and 60%, respectively."
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fig. 2 | Morphology and compositions of nanoscale intermetallics. High-angle annular dark-field scanning transmission electron microscopy (HAADF-STEM) images showing representative morphologies of (a) fine rosettes region and (b) coarse rosettes region and corresponding energy-dispersive x-ray spectroscopy (EDS) composition maps of various elements. The line scans in (c, d) showing",0.549827,high,"Moreover, the carbon atoms on alkyl chains and epoxy groups appear in the range of 20-60 ppm, and the number of peaks is consistent with the carbon atoms in molecular structures of $\mathrm { L C F E } _ { 2 }$ and $\operatorname { L C F E } _ { 5 } .$ ,Meanwhile, FT-IR spectra of $\mathrm { F E } _ { 0 } ,$ LCFE2, and LCFE5 (Fig. 2(g-i)) show stretching vibration peaks of $\left. - \mathrm { C H } _ { 2 } . \right.$ group $( 3 0 0 0 { - } 3 2 0 0 ~ \mathrm { c m } ^ { - 1 } )$ and characteristic peaks of epoxy group (958 cm-1).",0.545496,high,"Fig. 2 (WA) and 3 (GA), Table 2) show that pores were present in WA BJP samples at all sintering temperatures.",0.539274,high,"In addition, there were different contrast differences within the coatings, which can be attributed to the different $\mathrm { C a F } _ { 2 }$ content and the decomposition of the Yb2SiO5 and Yb2Si2O7 (Fig. 2(df)).",0.535011,high,Fig. 2 $\mathrm { { d - f ) } }$ since super-solidus liquid phase sintering was active.,0.534482,high,"Fig. 2 is 1H NMR, $^ { 1 3 } { \sf C }$ NMR, and FT-IR spectra of $\mathrm { F E } _ { 0 } ,$ LCFE2, and $\operatorname { L C F E } _ { 5 } .$ Chemical shifts at 6.827.24 ppm in $\mathrm { F E } _ { 0 }$ (Fig. 2(a)) are attributed to the protons on biphenyl structures."
image_0002,3,../02_images/figures/image_0002.jpg,"Fig. 3 | TEM characterizations of the as-printed $\mathbf { A l } _ { 9 2 } \mathbf { T i } _ { 2 } \mathbf { F e } _ { 2 } \mathbf { C o } _ { 2 } \mathbf { N i } _ { 2 } .$ a An overview transmission electron microscopy bright field (TEM-BF) image showing three major phases in the alloy, Al matrix (red arrows), Alg(Fe,Co,Ni)2 (orange arrows), and AlTi (green arrows). b Inverse pole figure mapping of $\mathsf { A l } / \mathsf { A l } _ { 3 } \mathsf { T i }$ phases by ASTAR (nano-EBSD based on high-precision electron diffraction patterns). c High-resolution TEM (HRTEM) with the corresponding Fast Fourier Transform (FFT) of the image of AlTi intermetallic showing its highly defective nature. d An inverse FFT of the image with (002) plane filtered indicating the presence of abundant dislocations in the",0.57876,high,"Using these superlattice reflections, the obtained dark-field TEM image (lower right inset in Fig. 3(d)) revealed that the lamellar $\mathrm { L } 1 _ { 2 }$ nanorods were distributed in the DP region.",0.566664,high,Fig. 3 presents the typical microstructures of the LPBFed $\mathrm { M g A l B } _ { 4 \mathrm { w } } /$ AA2024 alloy.,0.555725,high,"The microstructure evolution of the trilayer Si-HfO2/ $\mathrm { Y b } _ { 2 } \mathrm { S i } _ { 2 } \mathrm { O } _ { 7 } / \mathrm { Y b } _ { 2 } \mathrm { S i O } _ { 5 }$ coating was investigated after the thermal cycling test at 1400 °C, as shown in Fig. 3.",0.555014,high,The EDS map obtained from the equiaxed grain area of the AF sample (Figure 3(a)) revealed the stacking of Cu-rich and Sc-rich precipitates along the equiaxed grain boundaries.,0.552962,high,"Samples produced through binder jetting showed a consistent microstructure regardless of build orientation, with an amount of porosity present in both microstructural directions (Fig. 3(A))."
chart_0003,4,../02_images/figures/chart_0003.jpg,"Fig. 4 | Atom Probe Tomography (APT) analyses. a An image of atom probe tip taken prior to APT acquisition, demonstrating a three-grain region. b Atomic maps demonstrating uneven saturation of solute elements. c 1D concentration profile (obtained from bottom to top of the cylindrical region of interest on Ni map in (b) capturing the behavior of the solute elements across two grains. The concentrations of Ti, Fe, Co, and Ni in these three Al grains are below 1 at.%. Notice also in (c) some segregation at grain boundaries, as well as the variability of solute concentration inside the different grains, e.g., Ni and Ti. Error bars display standard error for plotted",0.545144,high,Fig. 4 shows the sampling location in SS-L-40 for FIB process and TEM observation location.,0.544747,high,"Meanwhile, the corresponding interfacial region (25.8 nm) between BADCy matrix and PBO fibers is narrow (Figure 4e1).",0.542957,high,"Compared with PBO fibers/BADCy micro-composites, the thickness of interface for PBO fiber/FBPBO-BADCy increases to 49.1 nm (Figure 4e2).",0.539254,high,"Specially, the dislocation density increases with depth along the ND from the grinding surface, as shown in Fig. 4(a)(c).",0.539117,high,Figure 4 presents the morphology and corresponding EDS analysis of the trilayer coating at distinct stages of the 1450 $^ \circ \mathrm { C }$ thermal cycling tests.
chart_0004,5,../02_images/figures/chart_0004.jpg,"concentrations from the sampled region of interest. d Atomic maps of a sample demonstrating an Al grain saturated with all solute elements, and the monoclinic ${ \bf A l _ { 9 } ( F e , C o , N i ) _ { 2 } }$ phase. e 1D concentration profile taken across the interphase boundary following the cylindrical region on Ni map in (d). The profile highlights a transition from a dilute Al grain on the right side, to the ${ \bf A l _ { 9 } ( F e , C o , N i ) _ { 2 } }$ phase on the left. Error bars display standard error for plotted concentrations from the sampled region of interest. f Radial Distribution Function (RDF) taken from the yellow inset in (d) highlights the absence of solute clustering in the bulk monoclinic phase.",0.378748,low,"In order to cover all the investigated interfaces, we present data for the $\mathsf { M } _ { 2 3 } \mathsf { C } _ { 6 }$ carbides from the boronfree alloy, since this type of carbide was observed only at this alloy.",0.374648,low,"In contrast, the corresponding RDF for the NVCOFbased system [H(PA)N(NVCOF)] exhibited a peak centered at 1.68 Å, reflecting weaker interactions between PA molecules and pyridinyl nitrogen sites.",0.373578,low,Small peaks of FCC austenite (γ) phases are also presented.,0.373443,low,"The APT analysis reveals that the number density of Ni3Ti precipitates in the Cu-free steel is $2 . 5 \times 1 0 ^ { 2 3 } \mathrm { m } ^ { - 3 }$ , with an average radius of 3.1 nm and a volume fraction of 3.1 %.",0.373269,low,"According to the literature [72,73], two types of precipitates exist in the Fe-Cr-Ni-Al-Mo system annealed at 500 °C: NiAl-b2 phase and laves phase (Fe, Cr)2Mo."
chart_0005,6,../02_images/figures/chart_0005.jpg,Fig. 5 | Hardness contours derived from nanoindentation results. a A back scattered scanning electron microscopy (SEM) micrograph on the as-printed $\mathbf { A l _ { 9 2 } T i _ { 2 } F e _ { 2 } C o _ { 2 } N i _ { 2 } }$ after nanoindentation hardness measurements. b The hardness,0.546246,high,"Additionally, EDS analysis in Figure 5(b) shows significant accumulation of Sc/ Zr elements near the melt pool boundary, suggesting a strong driving force for the precipitation of $\mathsf { A l } _ { 3 } ( \mathsf { L i } , \mathsf { S c } ,$",0.53991,high,The 3D reconstructed atom maps (Fig. 5(a)) reconfirms the nanoscale partitioning characteristics within the aged alloy.,0.538034,high,"EDS analysis in Figure 5(d) shows a network of Al-Cu eutectic phases at grain boundaries, with no accumulation of ${ \sf S c } / { \sf Z r }$ elements, consistent with the uniform grain sizes observed in PL sample.",0.531118,high,"Specifically, the bifurcated cracks expanded laterally along $\mathrm { Y b } _ { 2 } \mathrm { S i } _ { 2 } \mathrm { O } _ { 7 } / \mathrm { Y b } _ { 2 } \mathrm { S i O } _ { 5 }$ interface, with a reduction in vertical mud-crack spacing and an increase in density, and the interlaminar crack partly appeared between the bond coating and ${ \mathrm { Y b } } _ { 2 } { \mathrm { S i } } _ { 2 } { \mathrm { O } } _ { 7 }$ layer, as shown in Fig. 5(c2).",0.530789,high,Fig. 5 illustrates the stress rupture curves of alloy ZGH451 under the conditions of 760 °C/780 MPa and 980 °C/260 MPa.
chart_0006,7,../02_images/figures/chart_0006.jpg,Fig. 6 | Macroscale mechanical properties under compression tests. a Engineering stress engineering strain curves for bulk compression tests performed on the as-printed $\mathbf { A l _ { 9 2 } T i _ { 2 } F e _ { 2 } C o _ { 2 } N i _ { 2 } }$ pillars with inserted schematic diagrams showing the geometry of specimen and the typical barreling phenomenon after compression for one of the deformed specimens (200 W). Numbers in the legend,0.555758,high,The high strength and the coarsening resistance of the designed alloy at elevated temperatures were further confirmed by performing room temperature tensile tests on as-built and aged samples (Figure 6).,0.555553,high,"In addition to that, the high temperature gradients oriented along the building direction generate foster the evolution of epitaxial grain growth eventually resulting in the formation of columnar grains across several layers (Fig. 6(c)).",0.554227,high,The tensile engineering stress-strain curves of the HA1065 and HA1100 thin-walled specimens at $6 5 0 ^ { \circ } \mathrm { C }$ are presented in Fig. 6(a).,0.553903,high,"After yielding, strain hardening is observed and the rate of strain hardening gradually decreases when the temperature increases, as shown in Fig. 6(a).",0.551838,high,"TEM characterization (S-Figs. 6, 7) correlated these changes with microstructural evolution: virgin powders exhibited homogeneous α-phase structures, while cycled powders developed Cr-Ti Laves phases (1020 nm at R15) and Ti-Nb-Cr precipitates (R70)."
image_0007,8,../02_images/figures/image_0007.jpg,"and (c) Young's modulus contour maps re-constructed from series of nanoindentation, revealing a relatively higher hardness/ Young's modulus near the melt pool boundaries with finer microstructure.",0.354285,low,"Pyczak et al. [34] reported that in the Ni-based alloys with $1 0 – 3 0 \mathrm { v o l } . \% \mathrm { C r } , \mathrm { C r } _ { 2 } 0 _ { 3 }$ was observed as external scales above the grain boundaries in addition to internal $\mathrm { C r } _ { 2 } \mathrm { O } _ { 3 } ,$ which are both expected to form in our sintered parts with 21.2 wt.% of Cr [34].",0.353117,low,"To further correlate grains with the crack, the deformation degree of grains was characterized by the kernel average misorientation (KAM) maps obtained from the EBSD data.",0.348777,low,"The remarkable thermal stability of the Al3(Sc, Zr) phase can be attributed to its distinctive core—shell structure [37,38].",0.348645,low,"The darker regions in the Cr and Co maps show higher elemental concentrations, indicating this is γ-phase (Ni-matrix) in",0.34832,low,This suggests that the segregation pattern of Sc is strongly influenced by local thermal gradients.
chart_0008,9,../02_images/figures/chart_0008.jpg,denote laser power in Watts with three repetitions in each condition for reproducibility. b True stress - true strain curves (solid lines) superimposed with work hardening rates (dashed lines) showing 7% uniform compression strain in the early stages of deformation followed by long toughing stages.,0.395472,low,The strain hardening coefficient h was obtained by numerical differentiation of the true stress-true strain curves.,0.390711,low,Both types of strain partitioning evolve during tensile testing due to the dependence of the γ → α′ -martensite transformation with applied tensile strains and the austenite stability of domain sizes as well.,0.382985,low,"As observed, the residual elastic strain field relative to the reference region (i.e., the lowest kernel average misorientation value within a grain) in the Cu-ANP sample exhibits much lower magnitudes and more uniform distributions across all selected grains, compared with its crystallized counterpart.",0.381961,low,"It was plotted as a function of true strain in the same figure to obtain the experimental value of the Considère strainεn, defined by the intercept with the stress—strain curve.",0.37863,low,"Upon straining, the lattice strain of the {220} reflection in both samples first shows a nonlinear trend, turning upwards, and the lattice strain of the {200} reflection deviates from a linear trend in a downward direction due to the occurrence of load transfer from the soft {220} to hard {200} reflections, revealing the early onset of microplastic yielding."
chart_0009,10,../02_images/figures/chart_0009.jpg,a); b),0.37956,low,Both types of strain partitioning evolve during tensile testing due to the dependence of the γ → α′ -martensite transformation with applied tensile strains and the austenite stability of domain sizes as well.,0.37791,low,The effects of reverted austenite on the ductility are evaluated by the total elongation (TE).,0.375878,low,Micropillar compression tests show that the fine rosette region could reach 1 GPa true flow stress or an engineering stress of 1.18 GPa.,0.375162,low,"Apparently, CoCrNi, CoCrNi(Al0.6TiFe)0.1, CoCrNi(Al0.6TiFe)0.2, and CoCrNi(Al0.6TiFe)0.3 alloys exhibit a characteristic triphasic decline in strain-hardening rate with increasing plastic strain.",0.374485,low,"These results demonstrate that the aged alloy containing the $\mathrm { L } 1 _ { 2 }$ phase tends to form a more stable and robust passive film in dilute chloride solution than the as-printed alloy, thus exhibiting superior corrosion resistance."
