figure_id,figure_index,figure_path,caption,top1_score,top1_confidence,top1_text,top2_score,top2_confidence,top2_text,top3_score,top3_confidence,top3_text,top4_score,top4_confidence,top4_text,top5_score,top5_confidence,top5_text
chart_0000,1,../02_images/figures/chart_0000.jpg,"Fig. 1 | xRD patterns of the synthesized samples. Results for the composition of a $( \mathrm { D y _ { 0 . 2 5 } I m _ { 0 . 2 5 } Y b _ { 0 . 2 5 } L u _ { 0 . 2 5 } } ) _ { 2 } \mathrm { S i } _ { 2 } \mathrm { O _ { 7 } } , \mathrm { \bf { b } } ( \mathrm { D y _ { 0 . 2 5 } H o _ { 0 . 2 5 } Y b _ { 0 . 2 5 } L u _ { 0 . 2 5 } } ) _ { 2 } \mathrm { S i } _ { 2 } \mathrm { O _ { 7 } } ,$ $\textbf { c } ( \mathrm { G d } _ { 0 . 2 5 } \mathrm { H o } _ { 0 . 2 5 } \mathrm { Y b } _ { 0 . 2 5 } \mathrm { L u } _ { 0 . 2 5 } ) _ { 2 } \mathrm { S i } _ { 2 } \mathrm { O } _ { 7 }$ , and d (Lax1Cex2YbxLux4)2Si2O (x1 + x2 + x3 +",0.558422,high,"As shown in Fig. 1a1, the YbMS/YbDS phase ratio (about $0 . 1 7 )$ in as-sprayed YbDS-YbMS powder can be quantitatively estimated by the intensity ratio of main peak of YbMS (-402) and YbDS (021) respectively [26].",0.545276,high,"Fig. 1 shows the XRD patterns of ZC20, MC20, and YC20 powders and coatings.",0.543567,high,"The XRD patterns for all the prepared samples are presented in Fig. 1 and Supplementary Figs. 1-4, which are collected after phase formation at relatively lower temperature $( \mathsf { i . e . , 1 5 5 0 ^ { \circ } C } )$ followed by sufficient polymorphic transformation at elevated temperature $( \mathsf { i . e . }$ above $1 8 0 0 ^ { \circ } \mathrm { C } )$ .",0.540582,high,"Furthermore, XRD results in Fig. 1(f) reveal that the ${ \mathrm { Y b } } _ { 2 } { \mathrm { S i O } } _ { 5 }$ feedstock was indexed as the pure ${ \mathrm { X } } 2 { \mathrm { - Y b } } _ { 2 } { \mathrm { S i O } } _ { 5 }$ phase.",0.539277,high,The corresponding microstructure evolution from continuous to pulsed laser in bulk samples is illustrated in Figure 1(df).
chart_0001,2,../02_images/figures/chart_0001.jpg,"x4 = 1) samples prepared at 1550, 1650, or 1860 °C. ""HP"" denotes the XRD patterns for bulk samples fabricated via hot-pressing sintering method.",0.370846,low,"However, the characteristic peaks of chemical ordering, such as (100) and (110), were found in the high-resolution XRD spectra of the aged alloy, demonstrating the precipitation of an ordered FCC phase (i.e., the $\mathrm { L } 1 _ { 2 }$ phase),",0.369824,low,"In contrast, the corresponding RDF for the NVCOFbased system [H(PA)N(NVCOF)] exhibited a peak centered at 1.68 Å, reflecting weaker interactions between PA molecules and pyridinyl nitrogen sites.",0.368596,low,The $\mathrm { L i } _ { 6 } \mathrm { P S } _ { 5 } \mathrm { C l }$ is first examined for structural differences at different particle sizes with X-ray diffraction and pair distribution function analyses.,0.367433,low,Li et al.[19] fabricated a novel AlMgScZr alloy by LPBF and achieved a yield strength of,0.365131,low,"Subsequently, the high-resolution spectra of $_ \mathrm { ~ 0 ~ 1 s , ~ C ~ }$ 1s, Co 2p, Cr 2p, Ni 2p, Al 2p, and Ti 2p were obtained at 20 eV pass energy in steps of 0.1 eV."
chart_0002,3,../02_images/figures/chart_0002.jpg,Fig. 2 | Rietveld refinement of room-temperature XRD patterns for the studied materials. a Results for the as-synthesized powders of $( \mathrm { D y } _ { 0 . 2 5 } \mathrm { H o } _ { 0 . 2 5 } \mathrm { Y b } _ { 0 . 2 5 }$ $\mathsf { L u } _ { 0 . 2 5 } ) _ { 2 } \mathsf { S i } _ { 2 } 0 _ { 7 }$ prepared at $1 5 5 0 ^ { \circ } \mathrm { C } .$ b Results for the bulk sample of $\mathrm { ( D y _ { 0 . 2 5 } H o _ { 0 . 2 5 } }$ $\Upsilon \mathsf { b } _ { 0 . 2 5 } \mathbf { L } \mathsf { u } _ { 0 . 2 5 } ) _ { 2 } \mathbf { S } \mathsf { i } _ { 2 } \mathbf { O } _ { 7 }$ fabricated via hot-pressing sintering method at 1650 °C. c Results for the as-synthesized powders of $( \mathrm { G d } _ { 0 . 2 5 } \mathrm { H o } _ { 0 . 2 5 } \mathrm { Y b } _ { 0 . 2 5 } \mathrm { L u } _ { 0 . 2 5 } ) _ { 2 } \mathrm { S i } _ { 2 } \mathrm { O } _ { 7 }$ prepared at $1 5 5 0 ^ { \circ } \mathrm { C }$ d Results for the as-synthesized powders of,0.549383,high,The APT reconstructions in Fig. 2(a) reveal the distribution of alloying element atoms in the y and $\gamma ^ { \prime }$ phases of alloys in the initial state.,0.547692,high,"Compared to the N1-HOMO and N1-CR materials with uniform structures, the N1-LH and N1-LAG materials with gradient structures exhibit gradient microhardness along ND on the longitudinal-section from the surface to the core, and the microhardness of the two materials increase from 2.2 GPa and 2.3 GPa of the subsurface to 2.8 GPa and 3.4 GPa of the core, respectively, as shown in Fig. 2(f).",0.543853,high,Fig. 2(b) displays the proximity histogram plots of the concentration profiles through the $\gamma / \gamma ^ { \prime }$ interfaces of alloys T0 and T5.,0.541514,high,"Fig. 2(b) shows the UTS and elongation at break (EL) of the tested homogenous and HS samples, along with various typical L-DED-fabricated [3951], wrought, and as-cast [46,52] 316L and PH174 datapoints from the literature.",0.539265,high,"According to the statistics from Fig. 2(b), the grain size of the N1-LH and N1-LAG materials, as determined by the line intercept method, also exhibits a gradient distribution from the surface to the core."
chart_0003,4,../02_images/figures/chart_0003.jpg,"$\mathsf { L a } _ { \mathrm { x } 1 } \mathsf { C e } _ { \mathrm { x } 2 } \mathsf { Y b } _ { \mathrm { x } 3 } \mathsf { L u } _ { \mathrm { x } 4 } ) _ { 2 } \mathsf { S i } _ { 2 } \mathsf { O } _ { 7 }$ prepared at $1 5 5 0 ^ { \circ } \mathrm { C } .$ e Results for the bulk sample of $\mathrm { L a _ { x l } C e _ { x 2 } Y b _ { x 3 } L u _ { x 4 } ) _ { 2 } S i _ { 2 } O _ { 7 } }$ fabricated via hot-pressing sintering method at $1 6 5 0 ^ { \circ } \mathrm { C } .$ The reliability factors $. R _ { \mathfrak { p } }$ and $R _ { \mathrm { w p } }$ are also presented in the figures. The short vertical lines in dark cyan, magenta and dark yellow color at the bottom of each panel denote the positions of XRD peaks of $\mathbf { \beta } [ \mathbf { 3 } { \cdot } \mathbf { R } \mathbf { E } _ { 2 } \mathbf { S } \mathbf { i } _ { 2 } \mathbf { O } _ { 7 } , \mathbf { \beta } _ { \mathrm { Y } } { \cdot } \mathbf { R } \mathbf { E } _ { 2 } \mathbf { S } \mathbf { i } _ { 2 } \mathbf { O } _ { 7 } ,$ and $\begin{array} { r } { \mathrm { G } { \cdot } \mathsf { R } \mathsf { E } _ { 2 } \mathsf { S i } _ { 2 } \mathsf { O } _ { 7 } , } \end{array}$ respectively.",0.371797,low,"Additionally, in an earlier study, Gabb et al. [42] measured the chemistries of the γ phase in LSHR and ME3 using phase extraction techniques.",0.369135,low,"Despite the microstructural and room temperature mechanical similarities between the two alloys, LSHR presents significantly better creep properties.",0.369121,low,"S3) of the Al-Zr-Ce-Cu alloy indicates that a slight hardness increase (\~10 HV) occurs at $3 5 0 ^ { \circ } \mathrm { C } ,$ with near-peak aging condition achieved at 375 C.",0.368367,low,Ti additions in alloy T5 mostly exist in $\gamma ^ { \prime }$ precipitates.,0.367724,low,The comparative grain sizes implied no significant grain coarsening after heat treatment at elevated temperatures occurred in this LPBF-fabricated Al-Cu-Li-Sc-Zr alloy.
image_0004,5,../02_images/figures/image_0004.jpg,"Fig. 3 | TEM characterization results of $\mathbf { ( D y _ { 0 . 2 5 } H o _ { 0 . 2 5 } Y b _ { 0 . 2 5 } L u _ { 0 . 2 5 } ) _ { 2 } S i _ { 2 } O _ { 7 } }$ and $( \mathbf { L } \mathbf { a } _ { \mathbf { x } \mathbf { 1 } } \mathbf { C } \mathbf { e } _ { \mathbf { x } \mathbf { 2 } } \mathbf { Y } \mathbf { b } _ { \mathbf { x } \mathbf { 3 } } \mathbf { L } \mathbf { u } _ { \mathbf { x } \mathbf { 4 } } ) _ { \mathbf { 2 } } \mathbf { S } \mathbf { i } _ { \mathbf { 2 } } \mathbf { O } _ { \mathbf { \overline { { \xi } } } }$ bulk samples. a, e The bright-field images of phase 1 and phase 2 in $( \mathrm { D y } _ { 0 . 2 5 } \mathrm { H o } _ { 0 . 2 5 } \mathrm { Y b } _ { 0 . 2 5 } \mathrm { L u } _ { 0 . 2 5 } ) _ { 2 } \mathrm { S i } _ { 2 } \mathrm { O } _ { 7 }$ sample. b, f The Scanning transmission electron microscopic high-angle annular dark-field (HAADF-STEM) images of phase 1 and phase 2 in $( \mathrm { D } \mathbf { y } _ { 0 . 2 5 } \mathrm { H o } _ { 0 . 2 5 } \mathsf { Y b } _ { 0 . 2 5 } \mathsf { L u } _ { 0 . 2 5 } ) _ { 2 } \mathsf { S i } _ { 2 } \mathsf { O } _ { 7 } . \mathbf { c } , \mathbf { \updownarrow }$ g The Fast Fourier transform (FFT) of the HAADF-STEM images of $( \mathrm { D y } _ { 0 . 2 5 } \mathrm { H o } _ { 0 . 2 5 } \mathrm { Y b } _ { 0 . 2 5 } \mathrm { L u } _ { 0 . 2 5 } ) _ { 2 } \mathrm { S i } _ { 2 } \mathrm { O } _ { 2 }$ in b and f, taken in the [112] zone axis and [100] zone axis, respectively. d, h The corresponding atomic-resolution EDS elemental maps for Dy, Ho, Yb and Lu of $\beta \mathrm { - ( D y _ { 0 . 2 5 } H o _ { 0 . 2 5 } Y b _ { 0 . 2 5 } L u _ { 0 . 2 5 } ) _ { 2 } S i _ { 2 } O _ { 7 } }$ and $\gamma { \cdot } ( \mathrm { D } \mathsf { y } _ { 0 . 2 5 } \mathsf { H o } _ { 0 . 2 5 } \mathsf { Y b } _ { 0 . 2 5 } \mathsf { L u } _ { 0 . 2 5 } ) _ { 2 } \mathsf { S i } _ { 2 } \mathrm { O } _ { 7 } . \mathsf { i }$ , m The bright-field images of phase 1 and phase 2 in (l $\mathsf { \_ m C e _ { x 2 } Y b _ { x 3 } L u _ { x 4 } } ) _ { 2 } \mathsf { S i } _ { 2 } \mathsf { O _ { 7 } }$ sample.",0.546843,high,"The microstructure evolution of the trilayer Si-HfO2/ $\mathrm { Y b } _ { 2 } \mathrm { S i } _ { 2 } \mathrm { O } _ { 7 } / \mathrm { Y b } _ { 2 } \mathrm { S i O } _ { 5 }$ coating was investigated after the thermal cycling test at 1400 °C, as shown in Fig. 3.",0.543931,high,Fig. 3 presents the typical microstructures of the LPBFed $\mathrm { M g A l B } _ { 4 \mathrm { w } } /$ AA2024 alloy.,0.536389,high,"The 3D images and pore distribution of the CL and PL samples are illustrated in Figure 3(a,b), respectively, with the quantitative statistics provided in Table 2.",0.530996,high,"Although localized agglomeration of hafnia-rich precipitates into masses was observed (Fig. 3(b3)), these instances were uniformly distributed across the bond coating, ensuring that the overall distribution remained uniform, as shown in Fig.",0.524399,high,A series of timedependent spatially very localized rapid melting-solidification process (panels iv of Fig. 3(a)) within a very short duration is shown for a magnified section of panels ii of Fig. 3(a).
chart_0005,6,../02_images/figures/chart_0005.jpg,"Fig. 4 | The average $\mathbb { R } \mathbb { E } ^ { 3 + }$ radius $\bar { ( r ) }$ and the deviations (o,) for $( { \pmb n } { \pmb R } { \pmb E } _ { x i } ) _ { 2 } { \pmb S } { \mathbf i } _ { 2 } { \pmb 0 } _ { 7 }$ compounds. a The versus o, diagram for $( \mathrm { R E } _ { 0 . 2 5 } ^ { 1 } \mathrm { R E } _ { 0 . 2 5 } ^ { 1 1 } \mathrm { R E } _ { 0 . 2 5 } ^ { 1 1 } \mathrm { R E } _ { 0 . 2 5 } ^ { 1 1 } \mathrm { R E } _ { 0 . 2 5 } ^ { 1 \vee } ) _ { 2 } \mathrm { S i } _ { 2 } \mathrm { O } _ { 7 }$ compositions. The crosses represent the calculated and o, parameters for all the possible $\mathsf { R E } _ { 0 . 2 5 } ^ { \mathsf { I } } \mathsf { R E } _ { 0 . 2 5 } ^ { \mathsf { I I } } \mathsf { R E } _ { 0 . 2 5 } ^ { \mathsf { I I } } \mathsf { R E } _ { 0 . 2 5 } ^ { \mathsf { I I I } } \mathsf { R E } _ { 0 . 2 5 } ^ { \mathsf { I V } }$ combinations, wherein RE elements varies from the lanthanides (La-Lu) and Y elements. b The versus o, diagram for some equimolar or non-equimolar $( n \mathrm { R E } _ { x i } ) _ { 2 } \mathrm { S i } _ { 2 } \mathrm { O } _ { 7 } ( n = 2 , 5$ and $6 ; 0 \leq x _ { i } \leq 1 )$ materials,",0.560047,high,"Complementary XPS (S-Figs. 4, 5) and TEM (S-Fig. 6) analyses revealed the coupled evolution of surface oxides and internal phase transformations during powder recycling.",0.555487,high,"At the end of discharging, only 57.5% of the NCM811 particle demonstrates full lithiation, consistent with the limited C-rate performance $( P _ { \mathfrak { m } } )$ of ASLBs with heterogeneous cathodes (Fig. 4fand Supplementary Table 1).",0.554604,high,"XPS demonstrated a progressive transition from mixed TiO2/Al203 (46.02 %/53.98 %) to Al2O3- dominated (82.11 %) surface oxides after 70 cycles, accompanied by $\mathrm { T i } ^ { 3 + } / \mathrm { C r } ^ { 3 + }$ enrichment and Al-0 peak shifts (531.75 → 532.02 eV), indicative of oxide densification (S-Figs. 4, 5).",0.550291,high,"Fig. 4ad presents the mechanical properties of CF/PEI composites modified with different sizing agents, including interlaminar shear strength (ILSS) and flexural strength.",0.548059,high,"The difference in the yield strength results from the differences in the as-quenched microstructure (Fig. 4). 10Ni4Mo has finer martensite (than the other two alloys), which increases the Hall-Petch effects."
chart_0006,7,../02_images/figures/chart_0006.jpg,"Fig. 5 | Statistical parameters for the Gaussian-fitted mixing energy (Ej) distribution spectrum for β-type and y-type ensembles. a The distribution of mixing energy (E) for all the studied ensembles. The scatters are the normalized density for E analyzed by breaking the entire range of $E _ { i }$ values into small intervals ∆E, and then adding up the number of E; that falls with each interval; herein,",0.541831,high,Fig. 5(c) shows the MD simulation results of the microstructural evolution during LPBF of CoCrFeNi high-entropy aloy at varying laser energy densities.,0.535754,high,"EDS analysis in Figure 5(d) shows a network of Al-Cu eutectic phases at grain boundaries, with no accumulation of ${ \sf S c } / { \sf Z r }$ elements, consistent with the uniform grain sizes observed in PL sample.",0.535472,high,The 3D reflection loss data of RGO/MXene microspheres at different thicknesses calculated by electromagnetic parameters was shown in Fig. 5.,0.52805,high,"Further quantitative characterization of the elemental partitioning behavior between the two phases in the aged alloy was carried out with the aid of APT, as shown in Fig. 5.",0.527428,high,The multi-scale stress analysis of the HAM-HT manufactured AlMgSc alloy is shown in Figure 5.
chart_0007,8,../02_images/figures/chart_0007.jpg,"according to the works of ref. $^ { 3 1 , 4 1 - 4 7 } .$ The red hexagon mark and the orange star represent the data for $( \Upsilon \mathsf { b } _ { 0 . 2 } \Upsilon _ { 0 . 2 } \mathrm { L u } _ { 0 . 2 } \mathsf { S c } _ { 0 . 2 } \mathsf { G } \mathrm { d } _ { 0 . 2 } ) _ { 2 } \mathsf { S i } _ { 2 } \mathsf { O } _ { 7 }$ and $\mathrm { ( G d _ { 1 / 6 } T b _ { 1 / 6 } D y _ { 1 / 6 } T m _ { 1 / } }$ $_ { 6 } \Upsilon \mathsf { b } _ { 1 / 6 } \mathbf { L } \mathbf { u } _ { 1 / 6 } ) _ { 2 } \mathsf { S i } _ { 2 } \mathbf { O } \cdot$ , compounds, respectively; and ""2-RE"", ""5-RE"" and ""6-RE"" represent the two-, five- and six-RE-principal-component disilicates. The β-γ boundary at r-0.885 Å is marked in dash lines for emphasis.",0.386507,low,"The Al and Zr-rich oxides in the internal layers of the H230AM sample indicate that the high activity $\mathsf { A l } ^ { 3 + }$ and $\mathrm { Z r } ^ { \check { 4 } + }$ diffuse to the surface to form an oxide layer, which can hinder the further inward diffusion of $0 ^ { 2 \cdot }$ .",0.38625,low,"Compared with other typical ASLBs with $\mathsf { L i C o O } _ { 2 } ,$ Ni-Mn-Co-based ternary cathodes or sulfur-containing cathodes, the significant advantages $\mathbf { 0 } \mathbf { f } \mathbf { L } \mathbf { T } \mathbf { G } _ { 0 . 2 5 } \mathbf { P } \mathbf { S } \mathbf { S } \mathbf { e } _ { 0 . }$ 2 are highlighted.",0.385296,low,"In the most definitive work identifying stacking fault ribbons by Rae and co-workers [21], and in single crystal alloys with large secondary $\gamma ^ { \prime }$ precipitates, it was possible to record the transition between the SISF and APB within the precipitates.",0.384269,low,"For example, although the high-power ASLB with LiCoO2 composite cathode and a $\mathbf { L i } _ { 4 } \mathbf { T i } _ { 5 } \mathbf { O } _ { 1 2 }$ anode reported by Kato et al.37 can achieve a high $P _ { \mathrm { { m } } }$ of 2,391 W ${ \sf k g } ^ { - 1 }$ ,the $E _ { \mathrm { m } }$ is estimated to be 266 Wh kg-1, which are both inferior to our values.",0.384066,low,The results show that compositions that are capable of forming an amorphous phase predominantly exhibit $P _ { a }$ values in the range of −0.6 kJ/mol to −0.2 kJ/ mol (Fig.
chart_0008,9,../02_images/figures/chart_0008.jpg,"$\begin{array} { r } { \triangle E = { \frac { 5 } { N } } \left( E _ { \mathrm { m a x } } - E _ { \mathrm { m i n } } \right) } \end{array}$ is used, and N' is the total number of the sampled microstates in an ensemble. The solid lines are the Gaussian fitting of the $E _ { i }$ distribution spectrum. b The full width at half maximum (FWHM) of the Gaussian-fitted E distribution spectrum. c The standard deviation of mixing energy (oE) for all the configurations in each ensemble.",0.377754,low,"As observed, the residual elastic strain field relative to the reference region (i.e., the lowest kernel average misorientation value within a grain) in the Cu-ANP sample exhibits much lower magnitudes and more uniform distributions across all selected grains, compared with its crystallized counterpart.",0.376979,low,"Although the diffusion coefficient of Cu was relatively high, the diffusion of Cu can be mitigated by a high density of vacancies and Sc microalloying atoms [40].",0.373704,low,"Elemental segregation and a relatively high level of absorbed oxygen resulted in the formation of surface oxides and preferential precipitation at prior particle boundaries along grain boundaries, inhibiting densification of the WA samples - since solid-state element diffusion and grain boundary migration were hindered by surface oxides [1,23].",0.371307,low,"However, as strain gradients can be associated with GNDs, new internal-variable constitutive formulations were developed that incorporate dislocation densities as physically based state variables [9,18,19,24, 25,232] instead of strain measures, which were often used in phenomenological formulations (also see Section 4.3).",0.371104,low,It may be observed from this plot that much less hydrogen is required to embrittle materials in a hydrogen environment as compared to internal hydrogen.
chart_0009,10,../02_images/figures/chart_0009.jpg,Fig. 6 | The configurational entropy of mixing for the β-type and γ-type ensembles. The calculated configurational entropy of mixing $( S _ { \mathrm { c o n f i g } } )$ as a function of thermal-energy excitation $( k _ { \mathrm { B } } T )$ as well as the temperature (T) for each configuration ensemble.,0.567394,high,"Plastic anisotropy of the yield strength shown in the as-EBM alloy at room temperature became small at high temperatures, and the tensile elongation rose rapidly above 700 °C (Fig. 6(d) and (e)).",0.556973,high,"Based on the wave transmission model established in our preoptimized by adding simulation parameters (environmental temperature) to investigate the relationship between simulated wave transmission $( E _ { \mathsf { T } ( \mathsf { s i m u l a t i o n } ) } ) _ { i }$ frequency, temperature, and thickness (Figure 6).",0.551681,high,The as-EBM alloy built at $\theta = 4 5 ^ { \circ }$ demonstrated the largest tensile elongation (Fig. 6(c)).,0.547922,high,"However, given the FCC-structured interior with a diameter of ${ \sim } 5$ μm in the HT-HEA, the critical stress for twinning $\sigma _ { \mathrm { t w } }$ is determined as \~1120 MPa that is higher than the measured YS of \~748 MPa (Fig. 6), making twin nucleation more difficult and thus leading to the SF formation.",0.545625,high,"Figures 6(h)(k) show interlayer USP promotes the formation of low-angle grain boundaries (LAGBs), and the LAGBs content reached the highest in the HAM-HT sample."
