figure_id,figure_index,figure_path,caption,top1_score,top1_confidence,top1_text,top2_score,top2_confidence,top2_text,top3_score,top3_confidence,top3_text,top4_score,top4_confidence,top4_text,top5_score,top5_confidence,top5_text
image_0000,1,../02_images/figures/image_0000.jpg,phase map.,0.38186,low,"To evaluate the antibacterial properties of the Cu-containing steel, the live/dead staining was employed to assess the viability of sessile SRB cells on the surfaces of steel during SRB MIC.",0.373696,low,"Notably, distinct microstructural variations are evident in CoCrNi(Al0.6TiFe)0.4 and CoCr-Ni(Al0.6TiFe)0.5 alloys, where micrometer-sized BCC precipitates are observed within the primary dendritic network.",0.370037,low,These findings indicate that Cu addition improves the steel's work hardening rate.,0.368162,low,"As the effect of compressive residual stress (CRS) depth of USP was critical for pore closure and mechanical properties[28], different amplitudes of vibrating head, i.e. 30 µm, 35 µm, and 40 µm, were set to optimise the CRS.",0.367708,low,The corrosion behaviors of Cu-free and Cu-containing steels were evaluated in an SRB-inoculated solution with an initial bacterial concentration of ${ 1 0 } ^ { 6 }$ cfu/mL at a temperature $3 0 \pm 3 ^ { \circ } \mathrm { C }$ over 14 days.
image_0001,2,../02_images/figures/image_0001.jpg,"η-NiTi precipitate, (e) and (f) HR-TEM image and the corresponding FFT patterns of a 9R-Cu precipitate.",0.370127,low,"OM micrographs of shape, size, and distribution of grains and porosity of differently sintered samples (Suppl.",0.369349,low,"Thus, the segregation of B atoms can improve the cohesive strength of the grain boundaries in present CCIMA and reduce the tendency of brittle morphologies of deformation substructures of the CCIMA at different strains. g, i High-resolution TEM and corresponding FFT images (insets) revealing the changes in the types of deformation substructures from APB-coupled superlattice dislocations (5%) to intersected SFs (35%). h Atomic-resolution STEM-HAADF image illustrating the existence of SISF at a strain of 15%.",0.369258,low,"To evaluate the antibacterial properties of the Cu-containing steel, the live/dead staining was employed to assess the viability of sessile SRB cells on the surfaces of steel during SRB MIC.",0.368273,low,Microstructure and morphology characteristics analysis of the white and dark layers under SEM,0.366744,low,"These morphological anomalies directly contributed to the broadening particle size distribution in R45 and R70, as elongated agglomerates (53150 µm) and adhered fines (<50 µm) coexisted within the recycled powder system."
chart_0002,3,../02_images/figures/chart_0002.jpg,"precipitate, and (d) 1D concentration profiles along the cylinder in (c).",0.367297,low,"Therefore, high-density NT FCC phases precipitated from B2 phases, rather than L12 precipitated from FCC phases, are expected to provide the dominant contribution to nanoprecipitation strengthening.",0.366785,low,"The NN surrogate model, which connects elemental concentrations to coarsening metrics reliably, was then used as a forward prediction model.",0.362047,low,"The darker regions in the Cr and Co maps show higher elemental concentrations, indicating this is γ-phase (Ni-matrix) in",0.360977,low,"Notably, compared with those of Cu-CNPs, the crystallographic families of Cu-ANPs are more resistant to softening due to the greater uniform elongation values of the composites.",0.360928,low,"Thus, based on these findings, it is determined that to test the alloy design concept Mo can be introduced to delay the precipitation process, and Ni to promote the austenite reversion process."
chart_0003,4,../02_images/figures/chart_0003.jpg,Fig. 4. Engineering tensile stress-strain curves of the steels.,0.575016,high,Figure 4 illustrates the TEM/STEM results of the CoCrNi(Al0.6TiFe)0.4 alloy.,0.568013,high,"Fig. 4ad presents the mechanical properties of CF/PEI composites modified with different sizing agents, including interlaminar shear strength (ILSS) and flexural strength.",0.566818,high,"For CL sample (Figure 4(a), the XOZ plane exhibit a heterogeneous microstructure comprising both columnar and equiaxed grains, attributed to the epitaxial growth along the [001] direction and the heterogeneous nucleation of primary Al(Li,Sc,Zr).",0.564308,high,"Figures 4(d3) and 4(d4) also show that as the coating was thermally cycled, the thermal stress accumulated continuously, contributing to the ongoing initiation, propagation, and transformation of oriented cracks into interconnected cracks.",0.56194,high,"XPS demonstrated a progressive transition from mixed TiO2/Al203 (46.02 %/53.98 %) to Al2O3- dominated (82.11 %) surface oxides after 70 cycles, accompanied by $\mathrm { T i } ^ { 3 + } / \mathrm { C r } ^ { 3 + }$ enrichment and Al-0 peak shifts (531.75 → 532.02 eV), indicative of oxide densification (S-Figs. 4, 5)."
chart_0004,5,../02_images/figures/chart_0004.jpg,"Fig. 6. Weight-loss of the steels after 14 days of corrosion in SRB-inoculated solution. (""\*\*"" indicates a statistically significant difference with $p < 0 . 0 0 1 $",0.574577,high,"Figure 6(g) shows that USP and HT treatments have no evident impact on the coarse grain size, but facilitated the formation of equiaxed grains.",0.546935,high,"As shown in Fig. 6ad, all CF/PEEK composites modified with PAAs exhibited pronounced enhancements in both interlaminar shear strength and flexural performance compared to the untreated Bare-CF/PEEK samples.",0.546169,high,"The microstructure of LPBF-manufactured AlMgSc alloy is shown in Figure 6(a), which exhibits multimodal grains with coarse columnar grains (CCGs), coarse equiaxed grains (CEGs), and fine equiaxed grains (FEGs).",0.542157,high,Results of both the corrosion immersion (Figs. 6 and 9) and the electrochemical experiments (Fig. 8) indicate that the Cu-containing steel exhibits better corrosion resistance in SRB-inoculated solution compared to the Cu-free steel.,0.542078,high,"The grain morphology changed obviously in HAM and HAM-HT samples, especially in the HAM-HT sample, almost without CCGs, as shown in Figures 6(c) and (d)."
chart_0005,6,../02_images/figures/chart_0005.jpg,"(d); Fi 8 immersion times, (b) the evolution of $R _ { \mathrm { c t } }$ corrosion immersion.",0.400717,medium,"Therefore, the higher volume fraction of austenite in the Cu-containing steel (12.8 %) compared to the Cu-free steel (8.2 %) suggests a more pronounced work hardening behavior in the Cu-containing steel.",0.396549,low,"The Cu-containing steel shows a much higher density of Ni3Ti precipitates $( 9 . 8 \times 1 0 ^ { 2 3 } \mathrm { m } ^ { - 3 } )$ compared to the Cu-free steel $( 1 . 9 \times 1 0 ^ { 2 3 }$ $\mathbf { m } ^ { - 3 } ) ,$ accompanied by a significant increase in precipitate volume fraction.",0.393691,low,"Although the Cu-containing steel has a higher content of soft austenite, which could reduce strength, it exhibits a similar yield strength to the Cu-free steel, likely due to compensating effects from precipitation strengthening.",0.390787,low,"However, further increases in austenite fraction do not improve ductility (at 580 C).",0.386852,low,"As a result, the Cu-containing steel achieves an excellent balance of yield strength (\~1.8 GPa) and elongation (\~12 %)."
chart_0006,7,../02_images/figures/chart_0006.jpg,Fi. 9 formed on steels.,0.398637,low,"Consequently, (Cr, Mo)-enriched clusters are detected in the Cu-free steel but not in the Cu-containing steel.",0.392762,low,"For comparison, we analyzed the APT and 1DNN distributions of Cu-free steel in AQ state (Supplementary, Fig.",0.386856,low,"As a result, the Cu-containing steel achieves an excellent balance of yield strength (\~1.8 GPa) and elongation (\~12 %).",0.384941,low,"In contrast, the lower Ni concentration in the Cu-containing steel inhibits spinodal decomposition.",0.384724,low,These results imply that the fine lamellar grain with high Cr content and the β phase are the source of the high strength of the 444 alloy rods at RT.
chart_0007,8,../02_images/figures/chart_0007.jpg,Fi. 11. at 0 V (vs. SCE) for 1 h at room temperature.,0.372316,low,"Interestingly, such findings are counter-intuitive: having more amount of ""brittle"" material (i.e., PH174) and less ""ductile"" material (i.e., 316L) leads to mesoscale HSs with better ductility.",0.370107,low,Ponomareva et al. [54] also discovered that Ni accelerates spinodal decomposition by reducing the stability of FeCr alloys and increasing the mixing enthalpy.,0.369185,low,Miller et al. [53] have noted that the addition of Ni to FeCr-based alloys increases the critical temperature of the miscibility gap.,0.36899,low,"The residual surface oxygen functional groups, local defects and charge carriers of RGO and Ti3C2Tx MXene would produce dipoles under the action of electric field to obtain dipole polarization.",0.368448,low,"Specifically, a high concentration of Ti is observed to remain in the oxide-rich layer, while the continuous F distribution confirms that the polymer matrix is well-integrated."
image_0008,9,../02_images/figures/image_0008.jpg,F. 1HAATE iC temperature.,0.363928,low,This gradual transformation of LAGBs into HAGBs reduced the density of dislocations inside grains.,0.354636,low,"This improvement is attributed to the robust interfacial structure induced by the PAA-based coating, which not only suppresses microcrack propagation but also maintains interface stability under sustained shear and frictional stress.",0.352007,low,The microstructure of PBF-EB sample is significantly refined when compared to that processed by conventional means.,0.351408,low,"The formation of nanograins induces local hardening and augments microstructural inhomogeneity in specific regions, thereby fostering crack initiation and early growth.",0.350343,low,"The microstructures, electrochemical behavior, and associated passive film characteristics of the novel additively manufactured Al5Ti5 HEA in the as-printed and aged states were investigated in detail."
chart_0009,10,../02_images/figures/chart_0009.jpg,(d); containing steel.,0.362994,low,"From an experimental view point the new approach does not require a specific parametrization, as other PFF based fatigue models, since it relies directly on the Paris' law parameters fit in standard experiments.",0.362641,low,"At a depth of 1 µm from the top surface, the strain and strain rate increased dramatically.",0.359147,low,"After defining the optimum set of hyperparameters for each technique, the prediction error was measured on the test data set for different percentages of the training data.",0.358865,low,This analysis results in a characteristic distance between 10 and 50 µm.,0.357368,low,S7); Work hardening rate of the multi-spot sample (Fig.
