figure_id,figure_index,figure_path,caption,top1_score,top1_confidence,top1_text,top2_score,top2_confidence,top2_text,top3_score,top3_confidence,top3_text,top4_score,top4_confidence,top4_text,top5_score,top5_confidence,top5_text
chart_0000,1,../02_images/figures/chart_0000.jpg,the powders.,0.39202,low,"Yb2SiO5) exhibited high sphericity and a particle size distribution of approximately 1155 µm (reported in our previous work, Ref. [34]), which is suitable for PS-PVD process to prepare dense coatings.",0.389371,low,Lithium plating/ stripping stability was examined by cyclic voltammetry (CV) of Li/SSE/ Cu cells between −0.2 and 3.0 V.,0.38883,low,"Furthermore, the transformation from metastable Yb-silicate phase to stable phase [31] also can be contributed to the appearance of second exothermal peak in the YbDS-YbMS and YbMS coating.",0.386426,low,Li et al.[19] fabricated a novel AlMgScZr alloy by LPBF and achieved a yield strength of,0.384683,low,"X-ray photoelectron spectroscopy (XPS, ESCALAB 250, Thermo VG) measurements were conducted using a monochromatic Al $\mathrm { K } _ { \alpha }$ source, with the survey scans collected over a wide binding energy range to identify the elemental composition, and the high-resolution scans performed on the key alloying elements (e.g., C, O, S, Fe) to investigate chemical states and interactions within the biofilm."
image_0001,2,../02_images/figures/image_0001.jpg,"ZC20; MC20; YC20; unceal mo -ray C20 a C2 ,nC20 c, c.",0.389631,low,Chen et al.[24] developed an effective ultrasonic surface rolling process technology to improve the fatigue life of AM-processed CoCrNi alloy.,0.387909,low,"This study focuses on Al-Cu-Li-Sc-Zr alloy, characterised by its high specific strength and stiffness.",0.386173,low,The comparative grain sizes implied no significant grain coarsening after heat treatment at elevated temperatures occurred in this LPBF-fabricated Al-Cu-Li-Sc-Zr alloy.,0.384494,low,The precipitation behavior significantly influences the mechanical properties of the LPBF-fabricated Al-Cu-Li-Sc-Zr alloy at elevated temperatures.,0.382833,low,"Notably, distinct microstructural variations are evident in CoCrNi(Al0.6TiFe)0.4 and CoCr-Ni(Al0.6TiFe)0.5 alloys, where micrometer-sized BCC precipitates are observed within the primary dendritic network."
image_0002,3,../02_images/figures/image_0002.jpg,Fi 3. Cross-sectional morphology and EDS elemental mappings of as-sprayed ZC20 catng.,0.383721,low,Careful examination of the contrast variations in these microstructures reveals the precipitation of particles and various types of carbides and the presence of what we will identify below as grain boundary borides in the boron containing alloys.,0.379856,low,"Notably, distinct microstructural variations are evident in CoCrNi(Al0.6TiFe)0.4 and CoCr-Ni(Al0.6TiFe)0.5 alloys, where micrometer-sized BCC precipitates are observed within the primary dendritic network.",0.375411,low,"OM micrographs of shape, size, and distribution of grains and porosity of differently sintered samples (Suppl.",0.374489,low,"Surface roughness of Ti-6Al-4V fatigue specimens was characterised using focus variation microscopy (Alicona Infinite Focus microscope) with a vertical resolution of 0.5 µm, lateral resolution of 3.5 µm and a sample length of 2 mm.",0.373975,low,"Our findings demonstrate that the inherent thermal cycling and rapid solidification of PBF-LB can be leveraged to create an NT microstructure, resulting in exceptional mechanical properties."
chart_0003,4,../02_images/figures/chart_0003.jpg,"Fig. 4. The porosity (a) and Rockwell hardness (b) of ZC20, MC20 and YC20 coatings.",0.559183,high,"When using auto-clean function, the minimum resolved percentage change is 2.2 % (Fig. 4) and the maximum resolved percentage change is 8.37 % (Fig. 3c).",0.557777,high,XRD characterization (Fig. 4) revealed changes in phase composition as the number of recycling cycles increased.,0.557762,high,Bar charts for the calculated mechanical properties are presented in Fig. 4.,0.556064,high,"Fig. 4 shows the CTE curves of B100C40, B100C20 and a PIP $\mathrm { S i C _ { f } / S i C }$ composite.",0.552174,high,Fig. 4 presents the room-temperature engineering stress-strain curves for the steels in both AQ and aged conditions.
chart_0004,5,../02_images/figures/chart_0004.jpg,"Fig. 5., MC20 and YC20 coatings.",0.556152,high,"In order to further interpret the appearance of second exothermal peak in the DSC curves, the phase compositions of YbDS-YbMS and YbMS coatings during heat treatment was detected by XRD, as shown in Fig. 5.",0.534805,high,"Fig. 5 also shows that the compressive stress increases with increasing the volume fraction of PIP SiC matrix when PIP SiC content is more than 19.1 %, which illustrates that the PIP process may cause a larger compressive stress than the CVI process.",0.533964,high,"When the stress rupture strain reaches about (17.94±0.05)% and (9.45±0.03)%, it gets into the tertiary stage and fractures within 12.35 or 7.80 h, respectively. (II) According to the strain rate-strain and strain rate-time curves (Fig. 5(c, d)), the stress rupture strain rate increases firstly, then decreases and stabilizes at the minimum strain rate, and finally increases rapidly until fractured during the testing at 760 °C/780 MPa.",0.531005,high,Fig. 5 displays the microstructures after annealing at different temperatures ranging from 873 K to 1073 K.,0.529672,high,Fig. 5 summarizes the microstructural changes in the $_ { \mathrm { A l - Z r - C e - C u } }$ alloy after peak aging (375 C/100 h).
image_0005,6,../02_images/figures/image_0005.jpg,"SM age wo rack ZC20 (a MC20 , )ndYC20 (c, ) c r u $9 0 0 ~ ^ { \circ } \mathrm { C } .$",0.388595,low,"The microscopic morphologies results revealed that the ZC20 and MC20 coatings possessed apparent penetrating cracks, and the YC20 coating presented more microcracks without penetrating cracks.",0.381899,low,"Within samples printed using different parameters and strategies, no significant change in microstructure features such as grain size or morphology are identified, as shown in our recent work [60] and Supplementary Fig.",0.379909,low,"To further elucidate the excellent comprehensive mechanical properties of the N1-LAG material with gradient structure, detailed TEM characterizations were performed before and after tensile deformation.",0.376602,low,Post-creep microstructures were characterized using TEM to gain insight into the precipitate-dislocation interaction nature and the dynamic recovery processes.,0.375612,low,The formation of high-melting-temperature intermetallics in the melt pools may promote heterogeneous nucleation of Al grains during subsequent solidification and thus reduce the grain size of Al.
image_0006,7,../02_images/figures/image_0006.jpg,Fig. 7. EDS elemental mappings of worn track of ZC20 coating at $9 0 0 ^ { \circ } \mathrm { C } .$,0.563196,high,The SEM images of the films formed on the surfaces of Cu-free and Cu-containing steel samples after 14 days of corrosion in the SRBinoculated solution are shown in Fig. 7.,0.553507,high,"To assess the interfacial adhesion between CF and the resin matrix, SEM analyses had been conducted on the CF surfaces before and after IFSS tests (Fig. 6(b-g)), as well as the fracture surfaces after flexural tests of CF/PPS composites (Fig. 7(c-f)).",0.55301,high,"To further confirm the source of failure at 760 C/780 MPa, the crack initiation and propagation were investigated by the longitudinal section microstructures near fracture obtained by SEM (Fig. 7).",0.545727,high,The cross-sectional microstructure of Si/YbDS-YbMS/YbMS/LMA coating after heat treatment at 950 C for 10 h in atmospheric environment is shown in Fig. 7.,0.531834,high,"Conversely, M-CF/PPS composites (Fig. 7(d, f)) exhibited a compact interface with the PPS matrix, reduced CF pull-out, and minimized gaps."
image_0007,8,../02_images/figures/image_0007.jpg,"Fig. 8. Macroscopic images of ZC20, MC20 and YC20 composite coatings after oxidation for 100 h at $1 1 0 0 ^ { \circ } \mathrm { C } ,$ 1200 and $1 3 0 0 ^ { \circ } \mathrm { C } .$",0.589182,high,Fig. 8 shows the cross-sectional microstructure of Si/YbDS-YbMS/ YbMS/LMA coating after heat treatment at 1050 °C for 10 h.,0.587039,high,"For comparison, representative bright-field STEM micrographs of Al-Zr-Ce-Cu alloy in the as-fabricated state as well as after single-step aging are provided in Fig. 8, which show a low density of matrix dislocations prior to creep.",0.57505,high,Fig. 8 exhibits the macro-morphology of fracture surfaces after testing at 980 °C/260 MPa.,0.550347,high,"The PBF-EB samples displayed excellent yield strength (YS) and UTS but poor EL at RT, with an obvious brittle fracture after the tensile test, as shown in Fig. 8(d).",0.54931,high,Fig. 8 shows the morphology characteristics of carbide particles at a depth of 6 µm from the top surface.
chart_0008,9,../02_images/figures/chart_0008.jpg,"Fig. 9. XRD patterns of ZC20 (a), MC20 (b) and YC20 (c) coatings after oxidation at $1 1 0 0 ~ ^ { \circ } \mathrm { C } .$",0.547888,high,Fig. 9 shows the cross-sectional microstructure of Si/YbDS-YbMS/ YbMS/LMA coating after heat treatment at 1200 °C for 10 h.,0.544025,high,Fig. 9(a) shows several typical XRD spectra at varying depths and applied strains in the ${ \sf G S } _ { 5 } ^ { 1 }$ sample.,0.536109,high,"The local misorientations of PBF-LB and PBF-EB samples were evaluated by using the kernel average misorientation (KAM) approach to investigate the effect of residual stress, as shown in Figs. 9(a) and 9(b), respectively.",0.534715,high,"With further increasing temperature $( > ~ 1 7 5 ~ ^ { \circ } \mathrm { C } ) ,$ the tanδ values of PBO fibers/BADCy laminated composites increase significantly, mainly attributed to the moving molecular chain segments at the glass transition interval (Fig. 9(f)).",0.533729,high,"The physical and thermophysical properties that were calculated by the JMatPro software were very close for all samples as displayed in Table $^ { 4 , }$ Furthermore, as shown in Fig. 9, the JMatPro software gave the solidification curves of all samples."
chart_0009,10,../02_images/figures/chart_0009.jpg,oxidation at 1100 C.,0.392946,low,"PVDF-HFP SPE exhibited an endothermic peak at ${ 1 3 8 } ^ { \circ } \mathrm { C } ,$ whereas the melting points of LAZTP 50% HSE and LAZTP Dual HSE correspondingly decreased to $1 2 7 ~ ^ { \circ } \mathrm { C }$ and ${ 1 3 0 ~ ^ { \circ } \mathrm { C } } .$ The decrease in Tm indicates reduced polymer crystallinity due to the plasticizing effect of oxide fillers, which increases the amorphous phase fraction and facilitates $\mathrm { L i ^ { + } }$ conduction, improving the ionic conductivity of the solid electrolyte [41,42].",0.391685,low,"All the samples exhibited oxidation stability above 4.7 V at room temperature. $\mathrm { A t } 5 5 ^ { \circ } \mathrm { C } ,$ the oxidation onset voltages were measured as 4.5 V for PVDF-HFP SPE, 4.8 V for LAZTP 50% HSE, and 4.6 V for LAZTP Dual HSE, indicating that higher oxide contents contribute to improved oxidative stability.",0.385073,low,The X-ray absorption spectroscopy (XAS) spectra of the Ti/P K-edge is obtained utilizing the fluorescence yield mode the BL 16 A of National Synchrotron Radiation Research Center.,0.383633,low,Subsequent thermal treatment $( 8 0 0 \ ^ { \circ } \mathbf { C } / 4 \ \mathrm { h } )$ leads to an ultrahigh UTS of \~1148 MPa with an excellent ductility of \~28 %.,0.382315,low,"The Cu-containing steel shows a much higher density of Ni3Ti precipitates $( 9 . 8 \times 1 0 ^ { 2 3 } \mathrm { m } ^ { - 3 } )$ compared to the Cu-free steel $( 1 . 9 \times 1 0 ^ { 2 3 }$ $\mathbf { m } ^ { - 3 } ) ,$ accompanied by a significant increase in precipitate volume fraction."
