figure_id,figure_index,figure_path,caption,top1_score,top1_confidence,top1_text,top2_score,top2_confidence,top2_text,top3_score,top3_confidence,top3_text,top4_score,top4_confidence,top4_text,top5_score,top5_confidence,top5_text
image_0000,1,../02_images/figures/image_0000.jpg,Fig. 1. SEM image of gas atomized MAR-M247 powder.,0.563744,high,Powder particle micrographs showed irregular WA and spherical GA powder particles (Fig. 1).,0.543646,high,A secondary electron image of MAR-M247 powder shows a spherical morphology being typical for the applied atomization technique (Fig. 1).,0.53907,high,Fig. 1 summarizes the typical as-fabricated microstructures of the AM Al-Zr-Ce-Cu alloy.,0.53747,high,"The powder blends with spherical morphologies and the associated elemental distributions (Co, Ni, Cr, Fe, Al, and Ti) are provided in Fig. 1.",0.533712,high,We used atom probe tomography (APT) to study the nanoscale compositions of the amorphous nanoparticles and the atomic diffusion across the interface (Fig. 1fh).
image_0001,2,../02_images/figures/image_0001.jpg,Fig. 2. Ilustration of the Binder Jetting process in 2D. The build direction is represented by z.,0.55707,high,"At the micro-scale, the nanoscale precipitates are observed in both colonies after annealing (Fig. 2bi, Fig.",0.554917,high,The main working principle of the Binder Jetting process is illustrated in Fig. 2.,0.542844,high,"From Fig. 2(d) of SS-L-40, the typical layered structure constituted by alternating ""black"" and ""grey"" two phases in the matrix near BN interphase is clearly observed, which is derived from the pyrolysis of low concentration PCS solution.",0.537687,high,Fig. 2 shows the meso-scale to micro-scale initial microstructure of the as-printed alloy.,0.53387,high,Fig. 2 shows the alloying element partitioning behavior in the alloys measured by APT.
image_0002,3,../02_images/figures/image_0002.jpg,Fig. 3. Dimensions of cuboids and hexagonal tensile specimens in CAD before up-scaling in mm (left) and actual binder-jetted hexagonal tensile specimens and cuboids after sintering (right).,0.588936,high,"Samples produced through binder jetting showed a consistent microstructure regardless of build orientation, with an amount of porosity present in both microstructural directions (Fig. 3(A)).",0.583612,high,The microstructure of LPBF fabricated parts appears homogenous and with equiaxed grains compared to those of produced by EPBF and binder jetting in both studied orientations (Fig. 3(C)).,0.580239,high,The microstructure of EPBF fabricated components has distinct characteristics that appear to be dependent on build orientation (Fig. 3(B)).,0.580179,high,"As shown in Fig. 2(e)(h) and Fig. 3, the porosity of the samples fabricated with the layer thickness of 30 µm is significantly reduced.",0.577987,high,Microstructure evolution shown in Figs. 3(f)(h) demonstrate that the homogenizations at 1180 °C for a long time can promote more NbC carbide formation.
image_0003,4,../02_images/figures/image_0003.jpg,Fig. 4. Overview of the applied process-chains of MAR M247 specimen made by Binder Jetting.,0.531793,high,"In Fig. 4, an overview of the experimental procedure, including the applied process-chains in this work, is shown.",0.518932,high,Fig. 4 illustrates the EBSD information of the as-built sample.,0.514409,high,"As shown in Fig. 4(a), there seems to be three carbon layers around the SiC fiber.",0.513977,high,The latter situation requires appropriate submodels that describe the evolving fractions (e.g. of the twinned volume) and the interactions of coexisting and competing deformation mechanisms at the same field point (Fig. 4).,0.508587,high,"IPF figures obtained using EBSD for specimens manufactured at 0°, 30° and $9 0 ^ { \circ }$ are presented in Fig. 4."
image_0004,5,../02_images/figures/image_0004.jpg,Fig. 5. Technical drawing of the machined tensile specimens.,0.539816,high,"Fig. 5 displays the surface roughness at varying grinding speeds, demonstrating a trend where roughness decreases initially and then increases.",0.531169,high,"Fig. 5(a) and (c) show typical OM images of cross sections of R6 and R1, respectively.",0.529534,high,"As presented in Supplementary Fig. 5 and Supplementary Tables 2 and 3, the as-printed holes and rods show high dimensional accuracy with very small experimental errors, indicating a high printability of the CCIMA.",0.529497,high,"As shown in Fig. 5(b), the DOC determines the interaction position between the cutting edge and the SiC particles.",0.529109,high,"Fig. 5 (a, b) records the variation of friction coefficients of ZC20, MC20, and YC20 coatings with time at room temperature and 900 °C."
chart_0005,6,../02_images/figures/chart_0005.jpg,Fig. 7 principle. The error bars represent the respective standard deviations.,0.532534,high,"The 10° specimens had a significant influence on regression curves and were therefore omitted from a supplementary S-N curve to analyse their impact on the overall data set (Fig. 7, Bottom).",0.52229,high,A comparison of the rate independent fracture toughness values for both IHE and HEE as a function of bulk hydrogen concentration is shown in Fig. 7.,0.514139,high,"Fig. 7a,b displays the temporal creep strain evolution curves of Al-Zr-Ce-Cu alloy at 200 °C in compression in the as-fabricated and two-stepaged states (Fig. 7).",0.514036,high,"For comparison, Fig. 7 gives a series of EBSD maps of the undeformed and deformed (\~28 % plastic strain) HT-HEAs as well as the AP-HEA deformed to \~30 % plastic strain.",0.513279,high,"The results shown in Fig. 7 reveal that the model is able to capture the expected trends — for a given number of cycles, the higher the hydrogen concentration, the larger the crack extension."
chart_0006,7,../02_images/figures/chart_0006.jpg,(a); (c),0.38922,low,"Refractory elements Mo and Cr cause active solid s0 lution hardening in Ni-based superalloys, and have higher moduli and melting temperatures than Nb.",0.384483,low,"Due to the large difference in thermal expansion coefficient and elastic modulus between SiC particles and Al matrix, residual stress is produced during temperature change or material deformation.",0.384236,low,"Schloffer et al. and Wang et al. reported that the ${ \mathfrak { o } } _ { 0 }$ phase is transformed from the β phase during isothermal treatment at temperature range from 973 K to 1098 K and significantly increases the hardness of the β phase [51,52].",0.382401,low,"In agreement with the literature, this study found that very high sintering temperatures (1290 and $1 3 0 0 ^ { \circ } \mathrm { C } )$ resulted in pore coarsening and consequently lower density.",0.382118,low,"Besides, the introduction of $\mathrm { L C F E } _ { 2 }$ simultaneously improves the intrinsic thermal conductivity of the $\mathtt { L C F E } _ { 2 } \mathtt { - B A D C y }$ resin (Fig."
image_0007,8,../02_images/figures/image_0007.jpg,(c); Fi condition. The enlarged views show an additional magnification of 2.4x and traced contours.,0.366387,low,The interactions between dislocations and precipitates in sample AM12h are found to follow both Orowan bowing and dislocation cutting mechanisms.,0.365565,low,The decreased density of HAGB leads to a rising average grain size of the microstructure of the CoCrFeNi HEAs.,0.364109,low,unidirectional (UD) SiCf/SiC composites with CVI BN interphase were fabricated by PIP process.,0.363882,low,XRD and SEM analyses of samples (S0-S70) revealed microstructural evolution.,0.363798,low,Post-creep microstructures were characterized using TEM to gain insight into the precipitate-dislocation interaction nature and the dynamic recovery processes.
image_0008,9,../02_images/figures/image_0008.jpg,Fi. 10. image in the xy-plane with porosity (without HIP).,0.365101,low,"This degree of scatter might be attributed to the banded ferrite-pearlite microstructure of pipeline steels (material anisotropy), the presence of welded areas and the consideration of modern and vintage steels.",0.363874,low,The precipitates of LPBF-fabricated Al-Cu-Li-Sc-Zr alloy exhibited superior thermal stability during aging at 300 a.,0.363367,low,Post-creep microstructures were characterized using TEM to gain insight into the precipitate-dislocation interaction nature and the dynamic recovery processes.,0.361948,low,unidirectional (UD) SiCf/SiC composites with CVI BN interphase were fabricated by PIP process.,0.360321,low,"The corresponding FFT pattern reveals stacking faults habit plane is (001). e An inverse FFT image masking circled diffraction spots shows lattice distortion around stacking faults with some additional half planes, indicating the existence of dislocations. f An HRTEM micrograph for the Al9(Fe,Co,Ni)2 particle in (b) slightly off the pillar top with planar defects."
chart_0009,10,../02_images/figures/chart_0009.jpg,(c); conditions (c).,0.372118,low,The primary diffraction peak observed in all samples is α-Al.,0.36945,low,Many points with color inversion can be seen in the corresponding GPA diagram.,0.367011,low,"For $L _ { t } = 3 0$ μm and α=10, $ { \mathrm { h } } { \sim } 1 7 3 { \mu \mathrm { m } }$ , and for $\alpha { = } 3 0 ^ { \circ } , \mathrm { h } { = } 6 0 \ \mu \mathrm { m }$ .Powder particles tend to adhere at layer edges, and when their size is comparable to $L _ { t }$ and h, they will have a significant impact on surface roughness characterisations [63].",0.363996,low,"where the index, y, of the gradient operator refers to the fact that it is evaluated at the current location of the material point.",0.356093,low,"Here, the aspect ratio was calculated from short axes/long axes of defects."
