figure_id,figure_index,figure_path,caption,top1_score,top1_confidence,top1_text,top2_score,top2_confidence,top2_text,top3_score,top3_confidence,top3_text,top4_score,top4_confidence,top4_text,top5_score,top5_confidence,top5_text
image_0000,1,../02_images/figures/image_0000.jpg,tive graphs.,0.378628,low,The initial microstructure and crystallographic texture as well as the microstructure evolution and corresponding deformation mechanism after stress rupture tests are studied in detail using a range of techniques.,0.377827,low,"Zhang et al. [36] suggested that the fine grains in IN718 fabricated by SLM underwent much more serious plastic deformation to accommodate heterogeneous stran from surrounding coarse grains, resulting in a high-risk area of the initiation and propagation of cracks and worse stress rupture properties under 690 MPa at $6 5 0 ~ ^ { \circ } \mathrm { C } .$ Pasiowiec et al. [37] suggested the evenly distributed 8 particles enhanced the creep life of IN625 additively manufactured by SLM at the temperature range $7 0 0 { - } 8 0 0 ~ ^ { \circ } \mathrm { C } .$ Probstle et al. [38] implied the higher amount of strengthening precipitates and the lack of 8 phases in LPBF-ed IN718, leading to longer creep life compared with conventionally cast and wrought alloys.",0.376697,low,"By using the multi-spot melt strategy, Kirka et al. fabricated Inconel 718 sample with equiaxed grains and weak crystallographic texture [23].",0.376024,low,These findings provide valuable insights for developing multiprincipal element alloys with heterogeneous microstructures for advanced engineering applications.,0.37479,low,Microstructure and morphology characteristics analysis of the white and dark layers under SEM
image_0001,2,../02_images/figures/image_0001.jpg,Fig. 2. TEM micrograph of fully heat treated microstructure from a grain boundary region of high boron alloy showing an intergranular MC carbide.,0.57361,high,Fig. 2 shows the overall viewing (observation direction parallels the building direction) of microstructures of as-built alloy ZGH451 obtained by SEM and TEM.,0.572173,high,"Fig. 2(a) and (b) show scanning electron microscope (SEM) images of the MSZ powder cross section, which has a spherical shape with a large cavity inside, a characteristic of powders produced by the HOSpTM process.",0.571446,high,Fig. 2 shows the meso-scale to micro-scale initial microstructure of the as-printed alloy.,0.567922,high,These particles exhibit the brightest Z contrast in the backscattered images and have a cubic structure which corresponds to MC-type carbides; a TEM micrograph of a typical grain boundary MC carbide is given in Fig. 2.,0.56598,high,The representative SEM image (Fig. 2(c)) reveals that cellular structures with an average size of \~400 nm prevail inside the grains.
image_0002,3,../02_images/figures/image_0002.jpg,"Fig. 3. TEM micrograph of fully heat treated microstructure from a grain bounda ry region of the medium boron alloy. Representative M5B3 borides along the grain boundary and grain boundary are illustrated. The grain boundary direction is denoted by the red arrow. (For interpretation of the references to colour in this fi gure legend, the reader is referred to the web version of this article.)",0.588715,high,"Samples produced through binder jetting showed a consistent microstructure regardless of build orientation, with an amount of porosity present in both microstructural directions (Fig. 3(A)).",0.587291,high,Microstructure evolution in suction-cast and LPBF alloys during homogenization are shown in Fig. 3 as SEM-BSE (backscattered electron) images for comparison.,0.578529,high,The initial microstructure characterization of the aged alloy is shown in Fig. 3.,0.57701,high,"Additionally, to examine the internal nanostructure of recrystallized layer, observation samples were prepared using a focused ion beam system (Helios 600i), as depicted in Fig. 3.",0.572034,high,"Fig. 3(d) shows the high magnification microscopic morphology of interface debonding, where the interface debonding occurs both at the SiC fibers/BN (SiCf/BN) interface and the BN/SiC matrix $\left( \mathrm { B N } / \mathrm { S i C _ { m } } \right)$ interface."
image_0003,4,../02_images/figures/image_0003.jpg,Fig. 4. TEM micrograph of fully heat treated microstructure of the high boron alloy. Representative ${ \mathrm { M } } _ { 2 3 } { \mathrm { C } } _ { 6 }$ carbides and tertiary in the matrix are illustrated.,0.560856,high,Fig. 4(a-d) showed the SEM images of CF before and after sizing with PAAs of different molecular weight.,0.557131,high,Typical TEM images representing the microstructure of the sample after one pass of ECAP are shown in Fig. 4.,0.551562,high,"Fig. 4 shows the microstructure and morphology of the white layer, dark layer, and bulk material in the secondary electron (SE) mode of SEM.",0.550353,high,"There are only 9 coarse columnar grains with high aspect ratios observed (misorientation between grains > 10°) in alloy ZGH451, whose average grain size is 395.4 µm (Fig. 4(c)), much greater than those of selective laser melting samples [48,49].",0.544445,high,"On the other hand, Fig. 4(d) showed that H-CF again presented a rough and uneven morphology, where many small granules of H-PAAs scattered onto the grooved surface."
image_0004,5,../02_images/figures/image_0004.jpg,"Fig. 5. Selected grain boundary regions of fully heat treated microstructures of a) boron free, b) low boron, c) medium boron and d) high boron alloys for atom probe tomography.",0.593861,high,"Fig. 5 shows the microstructure and morphology of the white layer, dark layer, and bulk material in the backscattered electron (BSE) mode of SEM.",0.575684,high,Fig. 5 is a series of TEM images showing typical microstructure in the original coarse-grain interior at the depth of \~180 µm.,0.573725,high,"As shown in Fig. 5(b), a small pore size (approximately 3 µm) was observed in the PBF-EB samples because of insufficient heat input, as confirmed in SEM images (Fig. 5(e) and 5(f)).",0.570882,high,"Combining with the EBSD result presented in Fig. 5(a), the SEM image also proves the coarse columnar grains in the microstructure.",0.568592,high,"Fig. 5(e) shows the high magnification micrograph of carbon layer, and it can be seen that the carbon layer consists of turbostratic carbon."
chart_0005,6,../02_images/figures/chart_0005.jpg,Fi 7 at γM5B3 interface from the medium boron alloy. Error less than 0.05 at.%.,0.368552,low,"Besides the boron enrichment, higher concentrations of cobalt were found at the γ/MB3 interface in both reconstructions.",0.36742,low,"The change of decomposition of initial carbides induces the difference in shape, size, and distribution of carbides between two testing conditions.",0.366621,low,"The elastic modulus of deposited YbMS and $\mathrm { Y b } _ { 2 } \mathrm { O } _ { 3 }$ coating is 97.3 GPa [32] and 100.8 GPa [29], respectively, and the bulk modulus is also closed [44], indicating that the changes of $\mathrm { Y b M S – Y b _ { 2 } O _ { 3 } }$ ratio have a small effect for elastic modulus of YbMS coating.",0.366124,low,"Similar behaviour for boron was not observed for any other interface, including γ/y and γM5B3.",0.365724,low,"From the MP center to the MP boundary, the solidification rate gradually decreases [46]."
image_0006,7,../02_images/figures/image_0006.jpg,Fi. 8.,0.365765,low,"Focus variation microscopy is also a capable surface roughness characterisation technique, with results that are in strong agreement with high-resolution $( 5 \mu \mathrm { m } )$ computed tomography (CT) surface characterisation data presented in [61].",0.362964,low,"These findings suggest that the dislocation density in LPBF-fabricated CoCrFeNi HEA microstructures is related to the fraction of the crystal boundary, which, in turn, is associated with the grain size.",0.361529,low,"Thirdly, dynamic formation of deformation-induced SFs and their interactions is another important factor for sustaining the strain hardening of the cellular-structured HEA.",0.358956,low,Post-creep microstructures were characterized using TEM to gain insight into the precipitate-dislocation interaction nature and the dynamic recovery processes.,0.358269,low,"The previously expanded bifurcated cracks interconnected to form interlaminar cracks at $\mathrm { Y b } _ { 2 } \mathrm { S i } _ { 2 } \mathrm { O } _ { 7 } / \mathrm { Y b } _ { 2 } \mathrm { S i O } _ { 5 }$ interface, illustrating that continuing thermal cycling tests could pose a risk of spalling for the top Yb2SiO5 layer."
chart_0007,8,../02_images/figures/chart_0007.jpg,"Fig. 9. Line-scans across the grain boundaries as labelled in the NanoSIMS maps (see Fig. 8), confirming the precipitation of Cr-rich borides.",0.559207,high,The main precipitates in this alloy were identified as Al3Sc and $\mathrm { A l } _ { 3 } \mathrm { Z r }$ by XRD scan (Figure 9) together with phase diagram calculation in Supplementary Figure S3.,0.558538,high,"Similar to the thickness, samples with a smaller width of the prior-β phase had higher UTS values, as shown in Supplementary Fig. 9.",0.556357,high,"In contrast, at 980 C/260 MPa, the initial carbides mainly decompose into typical $\mathsf { M } _ { 6 } \mathsf { C }$ carbides enriched Mo and W, which precipitate at higher temperatures (870 ${ } ^ { \circ } \mathsf { C } ) .$ Due to the relatively short time of stress rupture life, the $\mathsf { M } _ { 6 } C$ carbides grow up insufficiently even at high temperatures, showing a shape of discontinuous fine granular (Fig. 9(e)).",0.553647,high,"Calibration of the diffraction spots of the bright aggregates suggested a composition primarily of cubic Cr-Ti (Cr1.93Ti1.07, C15 Laves phase, Fig. 9 b2).",0.550637,high,"Taking the ${ \sf G S } _ { 5 } ^ { 1 }$ sample as an example, the α' martensite transformation is prolonged to the strain of more than 0.3, as compared to \~0.25 in the CG sample (see Fig. 9(b))."
image_0008,9,../02_images/figures/image_0008.jpg,Fig. 10. Backscattered SEM images from areas investigated by NanoSIMS. Images correspond to the red boxes in Fig. 8.,0.565585,high,"To further analyze the relationship between the microstructure and the fracture behavior of the as-printed samples, EBSD, KAM, and SEM maps near the fractures of the PBF-LB and PBF-EB samples were obtained at $6 5 0 ~ ^ { \circ } \mathrm { C } ,$ as seen in Fig. 10.",0.564297,high,This heterogeneous microstructure of the as-fabricated sample is further verified in the EPMA image shown in Fig. 10(a).,0.540802,high,Fig. 10 shows photographs of the failed TBCs after thermal ccling.,0.534384,high,"First, for samples after annealing at 530 °C (Fig. 10, circle points), the overall UTS of 8Ni4Mo samples is higher than 8Ni and 10Ni4Mo.",0.526251,high,"The surface morphologies were measured by a laser scanning confocal microscope (Olympus Lext OLS 4000), as shown in Fig. 10."
chart_0009,10,../02_images/figures/chart_0009.jpg,Fig. 11. Concentration profi les analysis across the γM23C6 interface from the boron free alloy collected by atom probe tomography (see Fig. 6). Dashed ellipses indicate the carbon and boron enrichment. Error less than 0.05 at.%.,0.556414,high,"Fig. 11 presents the calculation results of vaporization rates of $\mathrm { { \dot { C } u , L i , } }$ Sc, and Zr in AlCuLiScZr alloy.",0.550383,high,Fig. 11(b) shows that the significance between the characteristic peaks of each Raman spectrum obtained at different laser powers does not change compared with the polished matrix.,0.54787,high,"By comparing XRD and EBSD results, in the white layer, the distortion of lattice (Fig. 11) was intensified, grains were refined, and the content of austenite phase was increased.",0.54483,high,"Moreover, secondary pits can be observed around the main pit on the aged alloy (Fig. 11(d)).",0.54332,high,"The combination of the gradient structure and the TRIP effect produces a combination of strength and ductility that is superior to what was reported earlier, as shown in Fig. 11."
