figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
image_0000,1,../02_images/figures/image_0000.jpg,"Fig. 1. The schematic diagram of test directions of different specimens (SS0, SS90, PDC SiC, F0 and F90).",1,0.537407,0.287407,high,paper::sent::11,text_item,"A possible alternative technology is solid-state batteries, shown exemplarily in Figure 1."
image_0000,1,../02_images/figures/image_0000.jpg,"Fig. 1. The schematic diagram of test directions of different specimens (SS0, SS90, PDC SiC, F0 and F90).",2,0.537243,0.287243,high,paper::sent::39,text_item,"The layout of the PBF-LB and PBF-EB samples, and the electron beam scanning strategy on the substrate perpendicular to the building direction (BD) are illustrated in Fig. 1(a) and 1(b)."
image_0000,1,../02_images/figures/image_0000.jpg,"Fig. 1. The schematic diagram of test directions of different specimens (SS0, SS90, PDC SiC, F0 and F90).",3,0.536519,0.286519,high,paper::sent::42,text_item,"To study the fracture and deformation at RT and 650°C, the samples were designed for high-temperature tensile tests, roomtemperature tests and microstructural characterization, as shown in Fig. 1(c) and 1(d)."
image_0000,1,../02_images/figures/image_0000.jpg,"Fig. 1. The schematic diagram of test directions of different specimens (SS0, SS90, PDC SiC, F0 and F90).",4,0.528651,0.278651,high,paper::sent::37,text_item,Fig. 1 shows an image of representative tensile sample.
image_0000,1,../02_images/figures/image_0000.jpg,"Fig. 1. The schematic diagram of test directions of different specimens (SS0, SS90, PDC SiC, F0 and F90).",5,0.526366,0.276366,high,paper::sent::38,text_item,The representative tensile curves of the AF and HT aluminum alloy samples at various testing temperatures are presented in Figure 1(a) and Figure 1(b).
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fig. 2. The stress-displacement curves of SS0, SS90 and PDC SiC.",1,0.564016,0.314016,high,paper::sent::70,text_item,"In addition, there were different contrast differences within the coatings, which can be attributed to the different $\mathrm { C a F } _ { 2 }$ content and the decomposition of the Yb2SiO5 and Yb2Si2O7 (Fig. 2(df))."
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fig. 2. The stress-displacement curves of SS0, SS90 and PDC SiC.",2,0.548443,0.298443,high,paper::sent::90,text_item,Fig. 2 $\mathrm { { d - f ) } }$ since super-solidus liquid phase sintering was active.
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fig. 2. The stress-displacement curves of SS0, SS90 and PDC SiC.",3,0.540663,0.290663,high,paper::sent::47,text_item,"The spherical nanoparticles are mainly distributed at the grooves of dendrites (Fig. 2c), as confirmed by the elemental mapping (Fig. 2di), acquired using energy dispersive X-ray spectroscopy (EDS) in scanning electron microscope (SEM)."
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fig. 2. The stress-displacement curves of SS0, SS90 and PDC SiC.",4,0.538634,0.288634,high,paper::sent::81,text_item,"Fig. 2(c) illustrates that H-PAAs commenced decomposition at $5 5 5 ^ { \circ } \mathrm { C } ,$ with a 5 % mass loss temperature $\mathrm { ( T _ { d 5 \% } ) }$ of $5 8 7 ~ ^ { \circ } \mathrm { C }$ and a char yield of $6 5 . 6$ % at $8 0 0 ~ ^ { \circ } \mathrm { C } .$ The M-PAAs initiated decomposition at $4 4 6 \ ^ { \circ } \mathrm { C } ,$ exhibiting a Td5% of 533 C and a char yield of 62.2 % at $8 0 0 ^ { \circ } \mathrm { C } .$ The L-PAAs started to decompose at $4 4 0 ^ { \circ } \mathrm { C } ,$ with a $\mathrm { T _ { d 5 \% } }$ of $5 1 3 ^ { \circ } \mathrm { C }$ and a char yield of 50.9 % at $8 0 0 ^ { \circ } \mathrm { C }$ These results indicate that the thermal stability varied among PAAs of different molecular weights, with H-PAAs demonstrating superior thermal stability and the highest char retention, followed by M-PAAs and L-PAAs."
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fig. 2. The stress-displacement curves of SS0, SS90 and PDC SiC.",5,0.538634,0.288634,high,paper::sent::41,text_item,"Fig. 2 is 1H NMR, $^ { 1 3 } { \sf C }$ NMR, and FT-IR spectra of $\mathrm { F E } _ { 0 } ,$ LCFE2, and $\operatorname { L C F E } _ { 5 } .$ Chemical shifts at 6.827.24 ppm in $\mathrm { F E } _ { 0 }$ (Fig. 2(a)) are attributed to the protons on biphenyl structures."
image_0002,3,../02_images/figures/image_0002.jpg,path of SS0 (g) and SS90 (h) after SENB tests.,1,0.383694,0.333694,low,paper::sent::39,text_item,Chen et al.[24] developed an effective ultrasonic surface rolling process technology to improve the fatigue life of AM-processed CoCrNi alloy.
image_0002,3,../02_images/figures/image_0002.jpg,path of SS0 (g) and SS90 (h) after SENB tests.,2,0.380876,0.330876,low,paper::sent::64,text_item,The comparative grain sizes implied no significant grain coarsening after heat treatment at elevated temperatures occurred in this LPBF-fabricated Al-Cu-Li-Sc-Zr alloy.
