figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
image_0000,1,../02_images/figures/image_0000.jpg,Fi electrolyte particle sizes.,1,0.392186,0.342186,low,paper::sent::18,text_item,"Shi et al.[12] used microstructure simulations to show how CAM utilization depends on different ratios of CAM and solid electrolyte particle sizes, focusing on the influence on electrochemical performance."
image_0000,1,../02_images/figures/image_0000.jpg,Fi electrolyte particle sizes.,2,0.387378,0.337378,low,paper::sent::17,text_item,"This was demonstrated by Bielefeld et al. by simulation and comparison of different geometry models of typical CAM arrangements.[9,10] Rana et al. [11] explored the particle size compatibility of CAM and solid electrolytes for an optimal packing density."
image_0000,1,../02_images/figures/image_0000.jpg,Fi electrolyte particle sizes.,3,0.380657,0.330657,low,paper::sent::10,text_item,"Several studies have separately demonstrated that the CAM and SE particle sizes affect the morphology of a cold-pressed cathode composite as well as the full-cell performance.[7,1316]"
image_0000,1,../02_images/figures/image_0000.jpg,Fi electrolyte particle sizes.,4,0.378371,0.328371,low,paper::sent::30,text_item,"This particle size range was selected to investigate the optimum size ratio of the solid electrolyte with the CAM, which has a D50 value of 3.4 µm (see Figure S1, Supporting Information)."
image_0000,1,../02_images/figures/image_0000.jpg,Fi electrolyte particle sizes.,5,0.378035,0.328035,low,paper::sent::14,text_item,"Minnmann et al. showed how high loadings of CAM result in a tortuous pathway for the mobile lithium-ions, which leads to a drop in ionic conductivity compared to the bulk material."
chart_0001,2,../02_images/figures/chart_0001.jpg,Figure 2. Characterization of $\mathsf { L i } _ { 6 } \mathsf { P S } _ { 5 } \mathsf { C l }$ o suggest no strong differences in the structure and transport at different particle sizes.,1,0.566122,0.316122,high,paper::sent::89,text_item,The APT reconstructions in Fig. 2(a) reveal the distribution of alloying element atoms in the y and $\gamma ^ { \prime }$ phases of alloys in the initial state.
chart_0001,2,../02_images/figures/chart_0001.jpg,Figure 2. Characterization of $\mathsf { L i } _ { 6 } \mathsf { P S } _ { 5 } \mathsf { C l }$ o suggest no strong differences in the structure and transport at different particle sizes.,2,0.562946,0.312946,high,paper::sent::51,text_item,"Moreover, the carbon atoms on alkyl chains and epoxy groups appear in the range of 20-60 ppm, and the number of peaks is consistent with the carbon atoms in molecular structures of $\mathrm { L C F E } _ { 2 }$ and $\operatorname { L C F E } _ { 5 } .$ ,Meanwhile, FT-IR spectra of $\mathrm { F E } _ { 0 } ,$ LCFE2, and LCFE5 (Fig. 2(g-i)) show stretching vibration peaks of $\left. - \mathrm { C H } _ { 2 } . \right.$ group $( 3 0 0 0 { - } 3 2 0 0 ~ \mathrm { c m } ^ { - 1 } )$ and characteristic peaks of epoxy group (958 cm-1)."
chart_0001,2,../02_images/figures/chart_0001.jpg,Figure 2. Characterization of $\mathsf { L i } _ { 6 } \mathsf { P S } _ { 5 } \mathsf { C l }$ o suggest no strong differences in the structure and transport at different particle sizes.,3,0.561597,0.311597,high,paper::sent::99,text_item,"To determine whether it applies to real GBs, we conducted MD simulations on the migration of the ∑39 [111] STGB and ATGB (the GBs in Fig. 2, A and B) under both oscillatory ψ and τ driving forces at $0 . 6 T _ { \mathrm { m } } .$ Here, $\Psi = \dot { \bf 1 } \dot { 5 } \times ( - 1 ) ^ { \vert \hbar \vert }$ (in milli-electron volts per atom) ${ \mathrm { o r } } \tau = 1 5 0 \times ( - 1 ) ^ { \lfloor \# \rfloor }$ (in megapascals), where $f = 1 \mathrm { n s ^ { - 1 } }$ (Fig. 4, A to D)."
chart_0001,2,../02_images/figures/chart_0001.jpg,Figure 2. Characterization of $\mathsf { L i } _ { 6 } \mathsf { P S } _ { 5 } \mathsf { C l }$ o suggest no strong differences in the structure and transport at different particle sizes.,4,0.561375,0.311375,high,paper::sent::41,text_item,"Fig. 2 is 1H NMR, $^ { 1 3 } { \sf C }$ NMR, and FT-IR spectra of $\mathrm { F E } _ { 0 } ,$ LCFE2, and $\operatorname { L C F E } _ { 5 } .$ Chemical shifts at 6.827.24 ppm in $\mathrm { F E } _ { 0 }$ (Fig. 2(a)) are attributed to the protons on biphenyl structures."
chart_0001,2,../02_images/figures/chart_0001.jpg,Figure 2. Characterization of $\mathsf { L i } _ { 6 } \mathsf { P S } _ { 5 } \mathsf { C l }$ o suggest no strong differences in the structure and transport at different particle sizes.,5,0.551757,0.301757,high,paper::sent::94,text_item,Fig. 2(b) displays the proximity histogram plots of the concentration profiles through the $\gamma / \gamma ^ { \prime }$ interfaces of alloys T0 and T5.
