figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
image_0000,1,../02_images/figures/image_0000.jpg,"Fig. 1. The EBSD maps of (a) ME3 and (b) LSHR. Below them are the grain boundary maps of the same region in (c) ME3 and (d) LSHR. Yellow boundaries denote twins, blue boundaries denote high angle grain boundaries and green denote low angle grain boundaries (below 15% misorientation). (For interpretation of the references to colour in this figure legend, the reader is referred to the Web version of this article.)",1,0.578476,0.328476,high,paper::sent::114,text_item,Fig. 1 summarizes the typical as-fabricated microstructures of the AM Al-Zr-Ce-Cu alloy.
image_0000,1,../02_images/figures/image_0000.jpg,"Fig. 1. The EBSD maps of (a) ME3 and (b) LSHR. Below them are the grain boundary maps of the same region in (c) ME3 and (d) LSHR. Yellow boundaries denote twins, blue boundaries denote high angle grain boundaries and green denote low angle grain boundaries (below 15% misorientation). (For interpretation of the references to colour in this figure legend, the reader is referred to the Web version of this article.)",2,0.571805,0.321805,high,paper::sent::53,text_item,The mean intercept grain size was 125 µm with small discrete $\mathbf { M } _ { 2 3 } \mathbf { C } _ { 6 }$ carbide precipitates decorating the grain boundaries as shown in Fig. 1.
image_0000,1,../02_images/figures/image_0000.jpg,"Fig. 1. The EBSD maps of (a) ME3 and (b) LSHR. Below them are the grain boundary maps of the same region in (c) ME3 and (d) LSHR. Yellow boundaries denote twins, blue boundaries denote high angle grain boundaries and green denote low angle grain boundaries (below 15% misorientation). (For interpretation of the references to colour in this figure legend, the reader is referred to the Web version of this article.)",3,0.56538,0.31538,high,paper::sent::47,text_item,Powder particle micrographs showed irregular WA and spherical GA powder particles (Fig. 1).
image_0000,1,../02_images/figures/image_0000.jpg,"Fig. 1. The EBSD maps of (a) ME3 and (b) LSHR. Below them are the grain boundary maps of the same region in (c) ME3 and (d) LSHR. Yellow boundaries denote twins, blue boundaries denote high angle grain boundaries and green denote low angle grain boundaries (below 15% misorientation). (For interpretation of the references to colour in this figure legend, the reader is referred to the Web version of this article.)",4,0.559253,0.309253,high,paper::sent::62,text_item,Fig. 1 provides the microstructural characterization of the H230 and H230AM samples.
image_0000,1,../02_images/figures/image_0000.jpg,"Fig. 1. The EBSD maps of (a) ME3 and (b) LSHR. Below them are the grain boundary maps of the same region in (c) ME3 and (d) LSHR. Yellow boundaries denote twins, blue boundaries denote high angle grain boundaries and green denote low angle grain boundaries (below 15% misorientation). (For interpretation of the references to colour in this figure legend, the reader is referred to the Web version of this article.)",5,0.553128,0.303128,high,paper::sent::35,text_item,"The spherical ZGH451 superalloy powder was prepared by argon gas atomization, of which the D50 is about 92.94 µm as shown in Fig. 1(a, b)."
image_0001,2,../02_images/figures/image_0001.jpg,Fig. 2. Low kV secondary electron SEM images of the γ' precipitate microstructure of (a) ME3 and (b) LSHR after their respective super-solvus heat treatments. Higher resolution images were used to characterize the tertiary precipitates.,1,0.57854,0.32854,high,paper::sent::77,text_item,These particles exhibit the brightest Z contrast in the backscattered images and have a cubic structure which corresponds to MC-type carbides; a TEM micrograph of a typical grain boundary MC carbide is given in Fig. 2.
image_0001,2,../02_images/figures/image_0001.jpg,Fig. 2. Low kV secondary electron SEM images of the γ' precipitate microstructure of (a) ME3 and (b) LSHR after their respective super-solvus heat treatments. Higher resolution images were used to characterize the tertiary precipitates.,2,0.573281,0.323281,high,paper::sent::65,text_item,Fig. 2 shows (a) a typical SEM image and (b) particle diameter distribution of the raw powder.
image_0001,2,../02_images/figures/image_0001.jpg,Fig. 2. Low kV secondary electron SEM images of the γ' precipitate microstructure of (a) ME3 and (b) LSHR after their respective super-solvus heat treatments. Higher resolution images were used to characterize the tertiary precipitates.,3,0.566395,0.316395,high,paper::sent::83,text_item,The inverse pole figure (IPF) image (Fig. 2(a)) first shows that the as-printed alloy has a conventional polycrystalline morphology with an average grain size of 29.7 µm (inset in Fig. 2(a)).
image_0001,2,../02_images/figures/image_0001.jpg,Fig. 2. Low kV secondary electron SEM images of the γ' precipitate microstructure of (a) ME3 and (b) LSHR after their respective super-solvus heat treatments. Higher resolution images were used to characterize the tertiary precipitates.,4,0.565157,0.315157,high,paper::sent::88,text_item,"Additionally, the porosity of the coating surface was determined to be 3.68% via image analysis with ImageJ, as shown in Fig. 2(b)."
image_0001,2,../02_images/figures/image_0001.jpg,Fig. 2. Low kV secondary electron SEM images of the γ' precipitate microstructure of (a) ME3 and (b) LSHR after their respective super-solvus heat treatments. Higher resolution images were used to characterize the tertiary precipitates.,5,0.562918,0.312918,high,paper::sent::73,text_item,"Furthermore, Fig. 2(e) exhibits the TEM images of the initial microstructures, it is obvious that the size of $\gamma ^ { \prime }$ phases in DC is smaller than those in IR due to the segregation of $\gamma ^ { \prime }$ forming elements [47]."
