figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
image_0000,1,../02_images/figures/image_0000.jpg,phase map.,1,0.38186,0.33186,low,paper::sent::133,text_item,"To evaluate the antibacterial properties of the Cu-containing steel, the live/dead staining was employed to assess the viability of sessile SRB cells on the surfaces of steel during SRB MIC."
image_0000,1,../02_images/figures/image_0000.jpg,phase map.,2,0.373696,0.323696,low,paper::sent::71,text_item,"Notably, distinct microstructural variations are evident in CoCrNi(Al0.6TiFe)0.4 and CoCr-Ni(Al0.6TiFe)0.5 alloys, where micrometer-sized BCC precipitates are observed within the primary dendritic network."
image_0000,1,../02_images/figures/image_0000.jpg,phase map.,3,0.370037,0.320037,low,paper::sent::132,text_item,These findings indicate that Cu addition improves the steel's work hardening rate.
image_0000,1,../02_images/figures/image_0000.jpg,phase map.,4,0.368162,0.318162,low,paper::sent::54,text_item,"As the effect of compressive residual stress (CRS) depth of USP was critical for pore closure and mechanical properties[28], different amplitudes of vibrating head, i.e. 30 µm, 35 µm, and 40 µm, were set to optimise the CRS."
image_0000,1,../02_images/figures/image_0000.jpg,phase map.,5,0.367708,0.317708,low,paper::sent::65,text_item,The corrosion behaviors of Cu-free and Cu-containing steels were evaluated in an SRB-inoculated solution with an initial bacterial concentration of ${ 1 0 } ^ { 6 }$ cfu/mL at a temperature $3 0 \pm 3 ^ { \circ } \mathrm { C }$ over 14 days.
image_0001,2,../02_images/figures/image_0001.jpg,"η-NiTi precipitate, (e) and (f) HR-TEM image and the corresponding FFT patterns of a 9R-Cu precipitate.",1,0.370127,0.320127,low,paper::sent::87,text_item,"OM micrographs of shape, size, and distribution of grains and porosity of differently sintered samples (Suppl."
image_0001,2,../02_images/figures/image_0001.jpg,"η-NiTi precipitate, (e) and (f) HR-TEM image and the corresponding FFT patterns of a 9R-Cu precipitate.",2,0.369349,0.319349,low,paper::sent::96,text_item,"Thus, the segregation of B atoms can improve the cohesive strength of the grain boundaries in present CCIMA and reduce the tendency of brittle morphologies of deformation substructures of the CCIMA at different strains. g, i High-resolution TEM and corresponding FFT images (insets) revealing the changes in the types of deformation substructures from APB-coupled superlattice dislocations (5%) to intersected SFs (35%). h Atomic-resolution STEM-HAADF image illustrating the existence of SISF at a strain of 15%."
image_0001,2,../02_images/figures/image_0001.jpg,"η-NiTi precipitate, (e) and (f) HR-TEM image and the corresponding FFT patterns of a 9R-Cu precipitate.",3,0.369258,0.319258,low,paper::sent::133,text_item,"To evaluate the antibacterial properties of the Cu-containing steel, the live/dead staining was employed to assess the viability of sessile SRB cells on the surfaces of steel during SRB MIC."
image_0001,2,../02_images/figures/image_0001.jpg,"η-NiTi precipitate, (e) and (f) HR-TEM image and the corresponding FFT patterns of a 9R-Cu precipitate.",4,0.368273,0.318273,low,paper::sent::92,text_item,Microstructure and morphology characteristics analysis of the white and dark layers under SEM
image_0001,2,../02_images/figures/image_0001.jpg,"η-NiTi precipitate, (e) and (f) HR-TEM image and the corresponding FFT patterns of a 9R-Cu precipitate.",5,0.366744,0.316744,low,paper::sent::97,text_item,"These morphological anomalies directly contributed to the broadening particle size distribution in R45 and R70, as elongated agglomerates (53150 µm) and adhered fines (<50 µm) coexisted within the recycled powder system."
chart_0002,3,../02_images/figures/chart_0002.jpg,"precipitate, and (d) 1D concentration profiles along the cylinder in (c).",1,0.367297,0.317297,low,paper::sent::128,text_item,"Therefore, high-density NT FCC phases precipitated from B2 phases, rather than L12 precipitated from FCC phases, are expected to provide the dominant contribution to nanoprecipitation strengthening."
chart_0002,3,../02_images/figures/chart_0002.jpg,"precipitate, and (d) 1D concentration profiles along the cylinder in (c).",2,0.366785,0.316785,low,paper::sent::106,text_item,"The NN surrogate model, which connects elemental concentrations to coarsening metrics reliably, was then used as a forward prediction model."
chart_0002,3,../02_images/figures/chart_0002.jpg,"precipitate, and (d) 1D concentration profiles along the cylinder in (c).",3,0.362047,0.312047,low,paper::sent::129,text_item,"The darker regions in the Cr and Co maps show higher elemental concentrations, indicating this is γ-phase (Ni-matrix) in"
chart_0002,3,../02_images/figures/chart_0002.jpg,"precipitate, and (d) 1D concentration profiles along the cylinder in (c).",4,0.360977,0.310977,low,paper::sent::106,text_item,"Notably, compared with those of Cu-CNPs, the crystallographic families of Cu-ANPs are more resistant to softening due to the greater uniform elongation values of the composites."
chart_0002,3,../02_images/figures/chart_0002.jpg,"precipitate, and (d) 1D concentration profiles along the cylinder in (c).",5,0.360928,0.310928,low,paper::sent::148,text_item,"Thus, based on these findings, it is determined that to test the alloy design concept Mo can be introduced to delay the precipitation process, and Ni to promote the austenite reversion process."
chart_0003,4,../02_images/figures/chart_0003.jpg,Fig. 4. Engineering tensile stress-strain curves of the steels.,1,0.575016,0.325016,high,paper::sent::97,text_item,Figure 4 illustrates the TEM/STEM results of the CoCrNi(Al0.6TiFe)0.4 alloy.
chart_0003,4,../02_images/figures/chart_0003.jpg,Fig. 4. Engineering tensile stress-strain curves of the steels.,2,0.568013,0.318013,high,paper::sent::118,text_item,"Fig. 4ad presents the mechanical properties of CF/PEI composites modified with different sizing agents, including interlaminar shear strength (ILSS) and flexural strength."
chart_0003,4,../02_images/figures/chart_0003.jpg,Fig. 4. Engineering tensile stress-strain curves of the steels.,3,0.566818,0.316818,high,paper::sent::98,text_item,"For CL sample (Figure 4(a), the XOZ plane exhibit a heterogeneous microstructure comprising both columnar and equiaxed grains, attributed to the epitaxial growth along the [001] direction and the heterogeneous nucleation of primary Al(Li,Sc,Zr)."
chart_0003,4,../02_images/figures/chart_0003.jpg,Fig. 4. Engineering tensile stress-strain curves of the steels.,4,0.564308,0.314308,high,paper::sent::131,text_item,"Figures 4(d3) and 4(d4) also show that as the coating was thermally cycled, the thermal stress accumulated continuously, contributing to the ongoing initiation, propagation, and transformation of oriented cracks into interconnected cracks."
chart_0003,4,../02_images/figures/chart_0003.jpg,Fig. 4. Engineering tensile stress-strain curves of the steels.,5,0.56194,0.31194,high,paper::sent::139,text_item,"XPS demonstrated a progressive transition from mixed TiO2/Al203 (46.02 %/53.98 %) to Al2O3- dominated (82.11 %) surface oxides after 70 cycles, accompanied by $\mathrm { T i } ^ { 3 + } / \mathrm { C r } ^ { 3 + }$ enrichment and Al-0 peak shifts (531.75 → 532.02 eV), indicative of oxide densification (S-Figs. 4, 5)."
chart_0004,5,../02_images/figures/chart_0004.jpg,"Fig. 6. Weight-loss of the steels after 14 days of corrosion in SRB-inoculated solution. (""\*\*"" indicates a statistically significant difference with $p < 0 . 0 0 1 $",1,0.574577,0.324577,high,paper::sent::145,text_item,"Figure 6(g) shows that USP and HT treatments have no evident impact on the coarse grain size, but facilitated the formation of equiaxed grains."
chart_0004,5,../02_images/figures/chart_0004.jpg,"Fig. 6. Weight-loss of the steels after 14 days of corrosion in SRB-inoculated solution. (""\*\*"" indicates a statistically significant difference with $p < 0 . 0 0 1 $",2,0.546935,0.296935,high,paper::sent::168,text_item,"As shown in Fig. 6ad, all CF/PEEK composites modified with PAAs exhibited pronounced enhancements in both interlaminar shear strength and flexural performance compared to the untreated Bare-CF/PEEK samples."
chart_0004,5,../02_images/figures/chart_0004.jpg,"Fig. 6. Weight-loss of the steels after 14 days of corrosion in SRB-inoculated solution. (""\*\*"" indicates a statistically significant difference with $p < 0 . 0 0 1 $",3,0.546169,0.296169,high,paper::sent::135,text_item,"The microstructure of LPBF-manufactured AlMgSc alloy is shown in Figure 6(a), which exhibits multimodal grains with coarse columnar grains (CCGs), coarse equiaxed grains (CEGs), and fine equiaxed grains (FEGs)."
chart_0004,5,../02_images/figures/chart_0004.jpg,"Fig. 6. Weight-loss of the steels after 14 days of corrosion in SRB-inoculated solution. (""\*\*"" indicates a statistically significant difference with $p < 0 . 0 0 1 $",4,0.542157,0.342157,high,paper::sent::248,text_item,Results of both the corrosion immersion (Figs. 6 and 9) and the electrochemical experiments (Fig. 8) indicate that the Cu-containing steel exhibits better corrosion resistance in SRB-inoculated solution compared to the Cu-free steel.
chart_0004,5,../02_images/figures/chart_0004.jpg,"Fig. 6. Weight-loss of the steels after 14 days of corrosion in SRB-inoculated solution. (""\*\*"" indicates a statistically significant difference with $p < 0 . 0 0 1 $",5,0.542078,0.292078,high,paper::sent::141,text_item,"The grain morphology changed obviously in HAM and HAM-HT samples, especially in the HAM-HT sample, almost without CCGs, as shown in Figures 6(c) and (d)."
chart_0005,6,../02_images/figures/chart_0005.jpg,"(d); Fi 8 immersion times, (b) the evolution of $R _ { \mathrm { c t } }$ corrosion immersion.",1,0.400717,0.350717,medium,paper::sent::198,text_item,"Therefore, the higher volume fraction of austenite in the Cu-containing steel (12.8 %) compared to the Cu-free steel (8.2 %) suggests a more pronounced work hardening behavior in the Cu-containing steel."
chart_0005,6,../02_images/figures/chart_0005.jpg,"(d); Fi 8 immersion times, (b) the evolution of $R _ { \mathrm { c t } }$ corrosion immersion.",2,0.396549,0.346549,low,paper::sent::209,text_item,"The Cu-containing steel shows a much higher density of Ni3Ti precipitates $( 9 . 8 \times 1 0 ^ { 2 3 } \mathrm { m } ^ { - 3 } )$ compared to the Cu-free steel $( 1 . 9 \times 1 0 ^ { 2 3 }$ $\mathbf { m } ^ { - 3 } ) ,$ accompanied by a significant increase in precipitate volume fraction."
chart_0005,6,../02_images/figures/chart_0005.jpg,"(d); Fi 8 immersion times, (b) the evolution of $R _ { \mathrm { c t } }$ corrosion immersion.",3,0.393691,0.343691,low,paper::sent::206,text_item,"Although the Cu-containing steel has a higher content of soft austenite, which could reduce strength, it exhibits a similar yield strength to the Cu-free steel, likely due to compensating effects from precipitation strengthening."
chart_0005,6,../02_images/figures/chart_0005.jpg,"(d); Fi 8 immersion times, (b) the evolution of $R _ { \mathrm { c t } }$ corrosion immersion.",4,0.390787,0.340787,low,paper::sent::255,text_item,"However, further increases in austenite fraction do not improve ductility (at 580 C)."
chart_0005,6,../02_images/figures/chart_0005.jpg,"(d); Fi 8 immersion times, (b) the evolution of $R _ { \mathrm { c t } }$ corrosion immersion.",5,0.386852,0.336852,low,paper::sent::225,text_item,"As a result, the Cu-containing steel achieves an excellent balance of yield strength (\~1.8 GPa) and elongation (\~12 %)."
chart_0006,7,../02_images/figures/chart_0006.jpg,Fi. 9 formed on steels.,1,0.398637,0.348637,low,paper::sent::283,text_item,"Consequently, (Cr, Mo)-enriched clusters are detected in the Cu-free steel but not in the Cu-containing steel."
chart_0006,7,../02_images/figures/chart_0006.jpg,Fi. 9 formed on steels.,2,0.392762,0.342762,low,paper::sent::274,text_item,"For comparison, we analyzed the APT and 1DNN distributions of Cu-free steel in AQ state (Supplementary, Fig."
chart_0006,7,../02_images/figures/chart_0006.jpg,Fi. 9 formed on steels.,3,0.386856,0.336856,low,paper::sent::225,text_item,"As a result, the Cu-containing steel achieves an excellent balance of yield strength (\~1.8 GPa) and elongation (\~12 %)."
chart_0006,7,../02_images/figures/chart_0006.jpg,Fi. 9 formed on steels.,4,0.384941,0.334941,low,paper::sent::282,text_item,"In contrast, the lower Ni concentration in the Cu-containing steel inhibits spinodal decomposition."
chart_0006,7,../02_images/figures/chart_0006.jpg,Fi. 9 formed on steels.,5,0.384724,0.334724,low,paper::sent::214,text_item,These results imply that the fine lamellar grain with high Cr content and the β phase are the source of the high strength of the 444 alloy rods at RT.
chart_0007,8,../02_images/figures/chart_0007.jpg,Fi. 11. at 0 V (vs. SCE) for 1 h at room temperature.,1,0.372316,0.322316,low,paper::sent::214,text_item,"Interestingly, such findings are counter-intuitive: having more amount of ""brittle"" material (i.e., PH174) and less ""ductile"" material (i.e., 316L) leads to mesoscale HSs with better ductility."
chart_0007,8,../02_images/figures/chart_0007.jpg,Fi. 11. at 0 V (vs. SCE) for 1 h at room temperature.,2,0.370107,0.320107,low,paper::sent::280,text_item,Ponomareva et al. [54] also discovered that Ni accelerates spinodal decomposition by reducing the stability of FeCr alloys and increasing the mixing enthalpy.
chart_0007,8,../02_images/figures/chart_0007.jpg,Fi. 11. at 0 V (vs. SCE) for 1 h at room temperature.,3,0.369185,0.319185,low,paper::sent::279,text_item,Miller et al. [53] have noted that the addition of Ni to FeCr-based alloys increases the critical temperature of the miscibility gap.
chart_0007,8,../02_images/figures/chart_0007.jpg,Fi. 11. at 0 V (vs. SCE) for 1 h at room temperature.,4,0.36899,0.31899,low,paper::sent::281,text_item,"The residual surface oxygen functional groups, local defects and charge carriers of RGO and Ti3C2Tx MXene would produce dipoles under the action of electric field to obtain dipole polarization."
chart_0007,8,../02_images/figures/chart_0007.jpg,Fi. 11. at 0 V (vs. SCE) for 1 h at room temperature.,5,0.368448,0.318448,low,paper::sent::238,text_item,"Specifically, a high concentration of Ti is observed to remain in the oxide-rich layer, while the continuous F distribution confirms that the polymer matrix is well-integrated."
image_0008,9,../02_images/figures/image_0008.jpg,F. 1HAATE iC temperature.,1,0.363928,0.313928,low,paper::sent::282,text_item,This gradual transformation of LAGBs into HAGBs reduced the density of dislocations inside grains.
image_0008,9,../02_images/figures/image_0008.jpg,F. 1HAATE iC temperature.,2,0.354636,0.304636,low,paper::sent::220,text_item,"This improvement is attributed to the robust interfacial structure induced by the PAA-based coating, which not only suppresses microcrack propagation but also maintains interface stability under sustained shear and frictional stress."
image_0008,9,../02_images/figures/image_0008.jpg,F. 1HAATE iC temperature.,3,0.352007,0.302007,low,paper::sent::208,text_item,The microstructure of PBF-EB sample is significantly refined when compared to that processed by conventional means.
image_0008,9,../02_images/figures/image_0008.jpg,F. 1HAATE iC temperature.,4,0.351408,0.301408,low,paper::sent::286,text_item,"The formation of nanograins induces local hardening and augments microstructural inhomogeneity in specific regions, thereby fostering crack initiation and early growth."
image_0008,9,../02_images/figures/image_0008.jpg,F. 1HAATE iC temperature.,5,0.350343,0.300343,low,paper::sent::235,text_item,"The microstructures, electrochemical behavior, and associated passive film characteristics of the novel additively manufactured Al5Ti5 HEA in the as-printed and aged states were investigated in detail."
chart_0009,10,../02_images/figures/chart_0009.jpg,(d); containing steel.,1,0.362994,0.312994,low,paper::sent::380,text_item,"From an experimental view point the new approach does not require a specific parametrization, as other PFF based fatigue models, since it relies directly on the Paris' law parameters fit in standard experiments."
chart_0009,10,../02_images/figures/chart_0009.jpg,(d); containing steel.,2,0.362641,0.312641,low,paper::sent::272,text_item,"At a depth of 1 µm from the top surface, the strain and strain rate increased dramatically."
chart_0009,10,../02_images/figures/chart_0009.jpg,(d); containing steel.,3,0.359147,0.309147,low,paper::sent::284,text_item,"After defining the optimum set of hyperparameters for each technique, the prediction error was measured on the test data set for different percentages of the training data."
chart_0009,10,../02_images/figures/chart_0009.jpg,(d); containing steel.,4,0.358865,0.308865,low,paper::sent::223,text_item,This analysis results in a characteristic distance between 10 and 50 µm.
chart_0009,10,../02_images/figures/chart_0009.jpg,(d); containing steel.,5,0.357368,0.307368,low,paper::sent::300,text_item,S7); Work hardening rate of the multi-spot sample (Fig.
