figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
image_0000,1,../02_images/figures/image_0000.jpg,Fig. 1. The preparation process routes of UD SiCf/SiC composites.,1,0.530951,0.280951,high,paper::sent::19,text_item,"In addition, the effects of introduction of preFABPBO interfacial compatibilizer on the mechanical properties, wave-transparent performances, insulation properties, and heat resistances of PBO fibers/FABPBO-BADCy composites (Figure 1) are investigated, and the corresponding microscopic action mechanism of the preFABPBO interfacial compatibilizer is further discussed."
image_0000,1,../02_images/figures/image_0000.jpg,Fig. 1. The preparation process routes of UD SiCf/SiC composites.,2,0.529322,0.279322,high,paper::sent::60,text_item,"Fig. 1 shows the XRD patterns of ZC20, MC20, and YC20 powders and coatings."
image_0000,1,../02_images/figures/image_0000.jpg,Fig. 1. The preparation process routes of UD SiCf/SiC composites.,3,0.529307,0.279307,high,paper::sent::95,text_item,The preparation process of FMCM was shown in Fig. 1.
image_0000,1,../02_images/figures/image_0000.jpg,Fig. 1. The preparation process routes of UD SiCf/SiC composites.,4,0.528221,0.278221,high,paper::sent::114,text_item,Fig. 1 summarizes the typical as-fabricated microstructures of the AM Al-Zr-Ce-Cu alloy.
image_0000,1,../02_images/figures/image_0000.jpg,Fig. 1. The preparation process routes of UD SiCf/SiC composites.,5,0.524759,0.274759,high,paper::sent::39,text_item,"In addition, the optimal modified BADCy resin $( \mathrm { L C F E } _ { 2 } \mathrm { - B A D C y } )$ as polymer matrix, poly(p-phenylene-2,6-benzobisoxazole) (PBO) fibers [52 54] as reinforcement, and fluorine/adamantane PBO precursor obtained from our previous work [55] as interfacial compatibilizer to prepare the corresponding PBO fibers/FABPBO/LCFE2-BADCy composites (Fig. 1)."
chart_0001,2,../02_images/figures/chart_0001.jpg,"and (e), line scanning energy spectrum analysis of line f (f).",1,0.378243,0.328243,low,paper::sent::69,text_item,Galvanostatic cycling of Li/SSE/Li symmetric cells was performed at 0.050.7 mA $\mathrm { c m } ^ { - 2 }$ at 55 °C to probe interfacial stability.
chart_0001,2,../02_images/figures/chart_0001.jpg,"and (e), line scanning energy spectrum analysis of line f (f).",2,0.375763,0.325763,low,paper::sent::25,text_item,Morscher et al. found that SiCf/BN/SiC composite with a weak interfacial shear strength have both high tensile strain and strength [6].
chart_0001,2,../02_images/figures/chart_0001.jpg,"and (e), line scanning energy spectrum analysis of line f (f).",3,0.375656,0.325656,low,paper::sent::60,text_item,"Ionic conductivity was measured using stainless steel (SS)/ solid-state electrolyte (SSE)/SS symmetric cells by electrochemical impedance spectroscopy (EIS, Zive SP1, Wonatech) over a frequency range of $1 0 ^ { 6 } – 1 0 ^ { - 1 }$ Hz with a 5 mV amplitude between 25 and $1 0 5 ^ { \circ } \mathrm { C } .$ Conductivity (σ) was calculated using Eq. (1):"
chart_0001,2,../02_images/figures/chart_0001.jpg,"and (e), line scanning energy spectrum analysis of line f (f).",4,0.375608,0.325608,low,paper::sent::85,text_item,"The elemental composition of the selected SiC particle includes Si, $\mathrm { C } ,$ and Al."
chart_0001,2,../02_images/figures/chart_0001.jpg,"and (e), line scanning energy spectrum analysis of line f (f).",5,0.375552,0.325552,low,paper::sent::38,text_item,"The resulting LPS SE shows an ionic conductivity of 0.39 mS $\mathrm { c m } ^ { - 1 }$ , consistent with previous reports.[27] The smallparticle-size LPS used in the cathode composite was prepared by wet ball milling the LPS SE with heptane and dibutyl ether using a Retsch PM200 ball mill.[7] LPS particles with different average diameters were prepared using $\mathrm { Z r O } _ { 2 }$ balls ranging in size from 1 to 10 mm under different ball-milling conditions."
