figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
image_0000,1,../02_images/figures/image_0000.jpg,"$L _ { \mathrm { { b o x } } } )$ to its final compact shape $f _ { \mathsf { C A M } } = ~ 8 0$ wt%, $\dot { \vec { D } } _ { 5 \mathsf { E } } = 5 \mu \dot { \mathsf { m } } ,$ $\overline { { D } } _ { \mathsf { C A M } } = 5 \mu \mathrm { m } . \mathrm { \Delta b } )$ nect CAM particles to the composite cathode/bulk SE interface (bottom of the simulation box).",1,0.388151,0.338151,low,paper::sent::18,text_item,"Shi et al.[12] used microstructure simulations to show how CAM utilization depends on different ratios of CAM and solid electrolyte particle sizes, focusing on the influence on electrochemical performance."
image_0000,1,../02_images/figures/image_0000.jpg,"$L _ { \mathrm { { b o x } } } )$ to its final compact shape $f _ { \mathsf { C A M } } = ~ 8 0$ wt%, $\dot { \vec { D } } _ { 5 \mathsf { E } } = 5 \mu \dot { \mathsf { m } } ,$ $\overline { { D } } _ { \mathsf { C A M } } = 5 \mu \mathrm { m } . \mathrm { \Delta b } )$ nect CAM particles to the composite cathode/bulk SE interface (bottom of the simulation box).",2,0.383562,0.333562,low,paper::sent::37,text_item,"The liquid crystal behavior of $\mathrm { L C F E } _ { 2 }$ and $\mathrm { L C F E } _ { 5 }$ is studied by differential scanning calorimetry (DSC), in-situ X-ray diffraction (in-situ XRD), and polarizing microscope (POM)."
image_0000,1,../02_images/figures/image_0000.jpg,"$L _ { \mathrm { { b o x } } } )$ to its final compact shape $f _ { \mathsf { C A M } } = ~ 8 0$ wt%, $\dot { \vec { D } } _ { 5 \mathsf { E } } = 5 \mu \dot { \mathsf { m } } ,$ $\overline { { D } } _ { \mathsf { C A M } } = 5 \mu \mathrm { m } . \mathrm { \Delta b } )$ nect CAM particles to the composite cathode/bulk SE interface (bottom of the simulation box).",3,0.379952,0.329952,low,paper::sent::10,text_item,"Several studies have separately demonstrated that the CAM and SE particle sizes affect the morphology of a cold-pressed cathode composite as well as the full-cell performance.[7,1316]"
image_0000,1,../02_images/figures/image_0000.jpg,"$L _ { \mathrm { { b o x } } } )$ to its final compact shape $f _ { \mathsf { C A M } } = ~ 8 0$ wt%, $\dot { \vec { D } } _ { 5 \mathsf { E } } = 5 \mu \dot { \mathsf { m } } ,$ $\overline { { D } } _ { \mathsf { C A M } } = 5 \mu \mathrm { m } . \mathrm { \Delta b } )$ nect CAM particles to the composite cathode/bulk SE interface (bottom of the simulation box).",4,0.378391,0.328391,low,paper::sent::17,text_item,"This was demonstrated by Bielefeld et al. by simulation and comparison of different geometry models of typical CAM arrangements.[9,10] Rana et al. [11] explored the particle size compatibility of CAM and solid electrolytes for an optimal packing density."
image_0000,1,../02_images/figures/image_0000.jpg,"$L _ { \mathrm { { b o x } } } )$ to its final compact shape $f _ { \mathsf { C A M } } = ~ 8 0$ wt%, $\dot { \vec { D } } _ { 5 \mathsf { E } } = 5 \mu \dot { \mathsf { m } } ,$ $\overline { { D } } _ { \mathsf { C A M } } = 5 \mu \mathrm { m } . \mathrm { \Delta b } )$ nect CAM particles to the composite cathode/bulk SE interface (bottom of the simulation box).",5,0.377791,0.327791,low,paper::sent::32,text_item,Strong dependence of CF processability on the molecular weight was observed and optimized molecular weight was suggested to booster the interfacial adhesion between sized CF and the PPS matrix.
image_0001,2,../02_images/figures/image_0001.jpg,". e, SEM images of LZO-coated NMC cathode particles with average diameters of e) 5 and f) 12 µm.",1,0.381633,0.331633,low,paper::sent::35,text_item,The gas-atomized Al5Ti5 HEA powders with an average particle size of 36.36 µm were used to fabricate Al5Ti5 bulk specimens.
image_0001,2,../02_images/figures/image_0001.jpg,". e, SEM images of LZO-coated NMC cathode particles with average diameters of e) 5 and f) 12 µm.",2,0.378865,0.328865,low,paper::sent::73,text_item,RGO/MXene microspheres were synthesized by high temperature reduction self-assembly method through ultrasonic atomizer (Beijing Oriental Jin Rong Ultrasonic Electric Appliance Co.
image_0001,2,../02_images/figures/image_0001.jpg,". e, SEM images of LZO-coated NMC cathode particles with average diameters of e) 5 and f) 12 µm.",3,0.378562,0.328562,low,paper::sent::42,text_item,"LPS with four different average particle sizes (8, 5, 3, and 1.5 µm) was tested with LZO-coated NMC particles with average particle sizes of 5 and 12 µm."
image_0001,2,../02_images/figures/image_0001.jpg,". e, SEM images of LZO-coated NMC cathode particles with average diameters of e) 5 and f) 12 µm.",4,0.378109,0.328109,low,paper::sent::34,text_item,"However, it failed to achieve effective precipitation of Al3(Sc, Zr), particularly secondary Al3(Sc, Zr) nanoparticles in this AlMgScZr alloy due to the hindered nanoparticles nucleation by the intrinsic rapdcoolngrate LPB procs[0,21 Heat ent HT) is an effective method for enhancing the mechanical properties of the LPBF-manufactured AlMgSc alloy, which precipitates Al3(Sc, Zr) nanoparticles (L12 structure) and inhibits grain boundary segregation."
image_0001,2,../02_images/figures/image_0001.jpg,". e, SEM images of LZO-coated NMC cathode particles with average diameters of e) 5 and f) 12 µm.",5,0.377711,0.327711,low,paper::sent::65,text_item,"The feedstock powders observed in the SEM images are uniformly distributed in terms of particle size and showed spherical and agglomerated shapes, which is the typical shape of the spray-granulating suitable for APS technology."
