figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
image_0000,1,../02_images/figures/image_0000.jpg,"Fil. 1. cylindrical specimens, while (B) shows the final test specimens after machining.",1,0.374556,0.324556,low,paper::sent::29,text_item,"Only 0° (horizontal), 45° and 90° (vertical) build orientations are available in the summarised data (Table 1)."
image_0000,1,../02_images/figures/image_0000.jpg,"Fil. 1. cylindrical specimens, while (B) shows the final test specimens after machining.",2,0.370432,0.320432,low,paper::sent::21,text_item,The 2D preform was formed by alternately stacking four plain SiC fiber layers (cansas in Table 1.
image_0000,1,../02_images/figures/image_0000.jpg,"Fil. 1. cylindrical specimens, while (B) shows the final test specimens after machining.",3,0.369983,0.319983,low,paper::sent::38,text_item,"In addition, microstructural analysis and coupled finite element modelling are conducted to interpret the results and provide a mechanistic rationale to the differences between: (i) the material behavior in CGHAZ and base metal regions, and (ii) the two testing methodologies (ex-situ vs in-situ hydrogen charging)."
image_0000,1,../02_images/figures/image_0000.jpg,"Fil. 1. cylindrical specimens, while (B) shows the final test specimens after machining.",4,0.369598,0.319598,low,paper::sent::48,text_item,"The strength-ductility synergy of our CCIMA is superior to these conventional intermetallic alloys fabricated by various AM methods (including A,1ATTA illustrating a highly ordered L12 structure of the grain interior. d 3D-APT results showing the homogeneous elements distribution within the grain interior. e Onedimensional concentration profile showing the element distributions across the 3D-APT tip, the error bar representing the standard deviation of atomic fraction of each element. f Atomic EDS maps taken from the ordered grain interior along the [001] crystal zone axis, showing the spatial occupations of each element."
image_0000,1,../02_images/figures/image_0000.jpg,"Fil. 1. cylindrical specimens, while (B) shows the final test specimens after machining.",5,0.368036,0.318036,low,paper::sent::91,text_item,Whereas the retention of cylindrical shape of pillars in the fine rosettes implies uniform co-deformation of matrix and precipitates to constrain the generation of localized shear bands.
image_0001,2,../02_images/figures/image_0001.jpg,"Fi. 2. SEM images of Inconel 625 powders used for (A) binder jetting, (B) EPBF and (C) LPBF fabrication.",1,0.397114,0.347114,low,paper::sent::65,text_item,"The feedstock powders observed in the SEM images are uniformly distributed in terms of particle size and showed spherical and agglomerated shapes, which is the typical shape of the spray-granulating suitable for APS technology."
image_0001,2,../02_images/figures/image_0001.jpg,"Fi. 2. SEM images of Inconel 625 powders used for (A) binder jetting, (B) EPBF and (C) LPBF fabrication.",2,0.382395,0.332395,low,paper::sent::67,text_item,Powder morphology and particle size distribution were analyzed using a Zeiss Sigma360 SEM coupled with laser particle analysis (D10/ D50/D90 parameters).
image_0001,2,../02_images/figures/image_0001.jpg,"Fi. 2. SEM images of Inconel 625 powders used for (A) binder jetting, (B) EPBF and (C) LPBF fabrication.",3,0.377852,0.327852,low,paper::sent::69,text_item,WA powder particles have more contact area which facilitates their sintering behavior compared to spherical powder particles (e.g.
image_0001,2,../02_images/figures/image_0001.jpg,"Fi. 2. SEM images of Inconel 625 powders used for (A) binder jetting, (B) EPBF and (C) LPBF fabrication.",4,0.373798,0.323798,low,paper::sent::137,text_item,"Furthermore, solvent evaporation is facilitated by the thinner polymer-rich layer, whereby the time taken for crystal nuclei to grow is shortened, consequently leading to the formation of smaller spherulites and reduced porosity."
image_0001,2,../02_images/figures/image_0001.jpg,"Fi. 2. SEM images of Inconel 625 powders used for (A) binder jetting, (B) EPBF and (C) LPBF fabrication.",5,0.373304,0.323304,low,paper::sent::83,text_item,"S4, each single-component water-soluble PAA forms nanoscale colloidal particles in water, with narrow particle size distributions and average diameters in the submicron range."
image_0002,3,../02_images/figures/image_0002.jpg,"microstructure, (B) EPBF microstructure and (C) LPBF microstructure.",1,0.381786,0.331786,low,paper::sent::92,text_item,Microstructure and morphology characteristics analysis of the white and dark layers under SEM
image_0002,3,../02_images/figures/image_0002.jpg,"microstructure, (B) EPBF microstructure and (C) LPBF microstructure.",2,0.376902,0.326902,low,paper::sent::135,text_item,Shallow impact angles and shadowing effects from surface topography contribute to the development of columnar structures in the deposited coatings [21].
image_0002,3,../02_images/figures/image_0002.jpg,"microstructure, (B) EPBF microstructure and (C) LPBF microstructure.",3,0.376583,0.326583,low,paper::sent::147,text_item,"The bottom-left inset is an SAED pattern, indicating low angle grain boundaries of these austenite grains."
image_0002,3,../02_images/figures/image_0002.jpg,"microstructure, (B) EPBF microstructure and (C) LPBF microstructure.",4,0.375273,0.325273,low,paper::sent::119,text_item,"After identifying LPBF process parameters and post-HT conditions that could lead to the production of Ti-6Al-4V alloys with high strength and ductility, microstructural analyses were conducted to validate the source of their strength and ductility; aiming to confirm whether the microstructures of the alloys produced in this study simultaneously exhibit the microstructural characteristics of those with high UTS and those with high TE that were respectively identified in previous studies."
