figure_id,figure_index,figure_path,caption,top1_score,top1_confidence,top1_text,top2_score,top2_confidence,top2_text,top3_score,top3_confidence,top3_text,top4_score,top4_confidence,top4_text,top5_score,top5_confidence,top5_text
chart_0000,1,../02_images/figures/chart_0000.jpg,Fig. 1. Raw powder: (a) SEM morphology; (b) Powder particle size distribution.,0.594107,high,Fig. 1 displays the powder morphology with the particle size distribution.,0.563725,high,The mean intercept grain size was 125 µm with small discrete $\mathbf { M } _ { 2 3 } \mathbf { C } _ { 6 }$ carbide precipitates decorating the grain boundaries as shown in Fig. 1.,0.561046,high,"Fig. 1(a), (d), and (g) show uniform distribution of SiC fibers in all the samples.",0.560774,high,Fig. 1 shows the grain size and structure of the two alloys after their respective heat treatments.,0.559998,high,"Based on the Θε curve of ${ \sf G S } _ { 5 } ^ { 1 }$ sample shown in Fig. 1(d), several tensile strains were selected for conducting Hv measurements to correlate the global strain hardening with local strain hardening."
image_0001,2,../02_images/figures/image_0001.jpg,Fi. 2. hatch spacing of 0.1 mm.,0.38165,low,"The morphological assessment of CF and the fracture surface of CF/PPS composites after bending was performed using a field emission scanning electron microscope (SEM, S-4800, Hitachi, Japan) at an acceleration voltage of 10 kV.",0.378248,low,"Crack initiating mechanisms of high-strength steels [2931], aluminum alloys [3234] and titanium alloys [3539] during VHCF process have been widely investigated.",0.378189,low,"To evaluate the antibacterial properties of the Cu-containing steel, the live/dead staining was employed to assess the viability of sessile SRB cells on the surfaces of steel during SRB MIC.",0.376261,low,"Wang et al. [21] conducted ultra-high-speed cutting experiments on IN718 superalloy and 7050-T7451 aluminum alloy, and observed distinct brittle cracks and cleavage steps in the chips, confirming that brittle-mode removal under the ultra-high-speed condition also applies to IN718 superalloy.",0.375331,low,"General morphology and internal porosity of the powder particles, as-printed samples and sintered samples were visualized with a Bruker SkyScan1272 micro-computed tomography scanner (microCT) at 100 kV and 100 µA and a 0.11 mm Cu filter."
chart_0002,3,../02_images/figures/chart_0002.jpg,Fig. 3. Effect of the scanning velocity and layer thickness on the relative density for the LPBF 2195 samples built with a constant laser power of 200 W and a hatch spacing of 0.1 mm.,0.569553,high,The surface roughness Sa obtained with different laser powers is shown in Fig. 3.,0.561753,high,Fig. 3(d) showed that the size of SiC grains was in the range from 4 nm to 16 nm and the average grain size was 9.20 ± 2.50 nm.,0.561525,high,"As shown in Fig. 2(e)(h) and Fig. 3, the porosity of the samples fabricated with the layer thickness of 30 µm is significantly reduced.",0.560141,high,Microstructure evolution in suction-cast and LPBF alloys during homogenization are shown in Fig. 3 as SEM-BSE (backscattered electron) images for comparison.,0.557584,high,"Fig. 3 illustrates the strain-time curves, strain rate-time curves, and strain rate-strain curves of the creep tests for alloys T0 and T5 at $1 0 3 0 ~ ^ { \circ } C$ and 230 MPa."
chart_0003,4,../02_images/figures/chart_0003.jpg,"Fig. 5. Solidification curves of 2195 (red) and AlSi10Mg (blue). (For interpretation of the references to colour in this figure legend, the reader is referred to the web version of this article.)",0.583911,high,The solidification curves of the 2195 and the AlSi1oMg alloys are drawn in Fig. 5.,0.576554,high,"As depicted in Fig. 5, for the suction-cast alloys, the average grain size increases significantly with increased homogenization duration.",0.571459,high,"As shown in Fig. 5, the mass of SiC matrix and SiC fibers do not change after annealing at 900 °C for 1 h, which indicates that SiC matrix and SiC fibers can be thermostable at 900 C.",0.566654,high,Fig. 5 shows the weight loss of SiC matrix and SiC fibers after annealing at $9 0 0 { - } 1 4 0 0 ^ { \circ } \mathrm { C }$ for 1 h.,0.557468,high,"Fig. 5 also shows that the compressive stress increases with increasing the volume fraction of PIP SiC matrix when PIP SiC content is more than 19.1 %, which illustrates that the PIP process may cause a larger compressive stress than the CVI process."
image_0004,5,../02_images/figures/image_0004.jpg,article.),0.389791,low,"In wrought and cast Ni-based superalloys, cracks are initiated primarily by grain facets and non-metallic inclusions (NMIs) [1,13,40,41].",0.389333,low,Wang et al. [20] found that cracking occurs in Nb depletion regions and at α2/ βo phase interface during selective laser melting of Ti-48Al-2Cr-2Nb alloy.,0.384982,low,"Qin et al. [20] introduced h-BN into $\mathrm { Y b } _ { 2 } \mathrm { S i } _ { 2 } \mathrm { O } _ { 7 }$ coatings by mechanical mixing and found that coatings showed the obvious lamellar structure, which effectively decreased the hardness and friction coefficients and improved the volume wear rates of the coatings.",0.383871,low,Amato et al. described the microstructure of HIPed Inconel 625 processed by LPBF as consisting of a NiCr equiaxed grains with the presence of annealing twins.,0.383791,low,"By using the multi-spot melt strategy, Kirka et al. fabricated Inconel 718 sample with equiaxed grains and weak crystallographic texture [23]."
chart_0005,6,../02_images/figures/chart_0005.jpg,Fig. 6. Effect of solidification curves on the liquid feeding between two columnar grains: (a) 2195; (b) AlSi10Mg.,0.578405,high,The unimodal grain size distribution of sample AC20m shown in Fig. 6(a) indicates a uniform grain growth during the homogenization of the as-cast samples at 1180 °C for 20 min with the microstructure evolution from Figs. 6(b)(c).,0.572345,high,The grain size distribution of AM12h is close to unimodal (Fig. 6(f)).,0.57081,high,"Comparing Fig. 6(a) and (b), when the feed speed increases to 3 µm/r, there are no obvious feed marks.",0.568938,high,"Correspondingly, a trimodal grain size distribution can also be observed in sample AC12h (Fig. 6(a)), of which two peaks appearing with smaller grain diameters of 150 µm and 400 µm.",0.568706,high,The distinct large and small grains observed in sample AC12h (Fig. 6(e)) indicate an abnormal grain growth during homogenization.
image_0006,7,../02_images/figures/image_0006.jpg,Fig. 7. Schematic diagram of the molten pool length.,0.550139,high,Fig. 7(a) shows the cracks path traced in the unreinforced regions.,0.548399,high,Fig. 7 displays the schematic diagram of the MP length.,0.54178,high,Fig. 7(b) demonstrates that the cracks path outside the transverse fiber bundles grew parallel to the fibers and deflected at the BN interface.,0.535466,high,"To investigate the occurrence of phase transformation, XRD analyses were conducted on ground surfaces at different linear speeds, as shown in Fig. 7.",0.53408,high,"The results shown in Fig. 7 reveal that the model is able to capture the expected trends — for a given number of cycles, the higher the hydrogen concentration, the larger the crack extension."
chart_0007,8,../02_images/figures/chart_0007.jpg,Fig. 8. Relationship between the scanning velocity and the molten pool lifetime on the centerline of the molten pool top.,0.612473,high,Fig. 8 presents the calculation results of the variation of the MP lifetime with the scanning velocity.,0.553728,high,Fig. 8 summarizes the calculated average GND densities.,0.550937,high,Fig. 8 shows the typical shear stress—displacement curve behaviors of five composites.,0.537139,high,Fig. 8 displays the net intensity elemental maps of an isolated SESF in LSHR.,0.530262,high,"It is important to note that there are more ultrafine lamellar grains $( f _ { \alpha 2 / \gamma \mathrm { G } } )$ in the low ED, but the proportion of the lamellar region $( f _ { \alpha 2 / \gamma \ R } )$ increases with increasing ED (Fig. 8(d))."
image_0008,9,../02_images/figures/image_0008.jpg,Fig. 9. SEM images of the as-fabricated LPBF 2195 sample.,0.567746,high,Fig. 9 shows the SEM images of the asfabricated LPBF 2195 sample.,0.562782,high,There are three different forms of the precipitates (white phases) in the SEM image with higher magnification in Fig. 9(b).,0.562734,high,SEM micrographs are illustrated in Fig. 9 and show similarly to OM micrographs small amounts of porosity in intergranular regions.,0.56054,high,"In Fig. 9(d), the pulled-out fiber is coated with the continuous film-like SiC matrix, which means that cracks are likely to be deflected between layered matrix composed of carbon layers and SiC matrix, leading to a debonding of SiC fibers with a small amount of matrix.",0.555054,high,"Fig. 10 and Table 3 show the cross-sectional morphologies and EDS results of the ZC20 coatings after oxidation for 100 h at $1 1 0 0 \ ^ { \circ } \mathrm { C } .$ Apparent microcracks and a large number of pores were present inside the coating, and the EDS results (region 1) suggested that $\mathrm { C a F } _ { 2 }$ solidsolution with YSZ formed $\mathrm { C a } _ { 0 . 1 5 } \mathrm { Z r } _ { 0 . 8 5 } \mathrm { O } _ { 1 . 8 5 }$ phase after oxidation, which was consistent with the XRD results, Fig. 9(a)."
image_0009,10,../02_images/figures/image_0009.jpg,Fig. 10. EPMA images of the LPBF 2195 samples under different conditions: (a) as-fabricated; (b) T6.,0.523888,high,"Fig. 10 and Table 3 show the cross-sectional morphologies and EDS results of the ZC20 coatings after oxidation for 100 h at $1 1 0 0 \ ^ { \circ } \mathrm { C } .$ Apparent microcracks and a large number of pores were present inside the coating, and the EDS results (region 1) suggested that $\mathrm { C a F } _ { 2 }$ solidsolution with YSZ formed $\mathrm { C a } _ { 0 . 1 5 } \mathrm { Z r } _ { 0 . 8 5 } \mathrm { O } _ { 1 . 8 5 }$ phase after oxidation, which was consistent with the XRD results, Fig. 9(a).",0.510978,high,The increase in size and decrease of phase fraction of $\overrightarrow { \boldsymbol { \gamma } }$ after HIP1 is further observable at higher magnification in the backscatter electron images shown in Fig. 10.,0.502855,high,"The interfacial XRD results (Fig. 10(e)) revealed that the interface mainly contained the YSZ, $\mathrm { C a S i O _ { 3 } } ,$ and $\mathrm { S i O _ { 2 } }$ phases generated by the oxidation of the Si bonding layer, which is consistent with the EDS results.",0.497204,high,"In addition, $\sigma _ { \mathrm { B } }$ and EL of the rods at 1023 K are plotted against ED in Fig. 10 (c) and (d), respectively. σB of these alloys at 1023 K remains almost constant up to an ED of approximately 3 $\scriptstyle { { \mathrm { J / m m } } ^ { 2 } }$ and then increases with an increase in ED.",0.492724,high,"Third, quasi-continuous networks of intragranular whiskers subdivide the grains into finer deformation subdomains, enhancing dislocation storage and strain partitioning (Fig. 10)."
