figure_id,figure_index,figure_path,caption,top1_score,top1_confidence,top1_text,top2_score,top2_confidence,top2_text,top3_score,top3_confidence,top3_text,top4_score,top4_confidence,top4_text,top5_score,top5_confidence,top5_text
image_0000,1,../02_images/figures/image_0000.jpg,"(c); Fi 2. (a), (b) MSZ powder cross section SEM images with two different magnifications and (c) EDX analysis.",0.352582,low,"The TEM images of RGO/MXene microspheres with mass ratios of 2:1, 3:1 and 5:1 were shown in Fig.",0.35102,low,"To evaluate the antibacterial properties of the Cu-containing steel, the live/dead staining was employed to assess the viability of sessile SRB cells on the surfaces of steel during SRB MIC.",0.348057,low,"While SKPFM potential measurements cannot be directly quantified due to tip contamination and work function instability, potential contrast offers insights into the varying physiological states of the sessile SRB cells.",0.347604,low,This demonstrates enhanced segregation of Ti and Al at dislocation cell boundaries.,0.344104,low,The low Zr content cannot provide enough AlZr nuclei for the heterogeneous nucleation sites of Al [45].
chart_0001,2,../02_images/figures/chart_0001.jpg,(c); of 5 % solid load suspensions of MSZ/MSZ-7.5TiO2 in ethanol after 168 h milling.,0.380862,low,"LPS with four different average particle sizes (8, 5, 3, and 1.5 µm) was tested with LZO-coated NMC particles with average particle sizes of 5 and 12 µm.",0.377727,low,We note that the ionic conductivities of the LPS decrease with smaller particle sizes.,0.375985,low,Particles smaller than 1 µm have low momentum due to their size and exhibit a low Stokes number.,0.374148,low,"Yb2SiO5) exhibited high sphericity and a particle size distribution of approximately 1155 µm (reported in our previous work, Ref. [34]), which is suitable for PS-PVD process to prepare dense coatings.",0.373434,low,"The size, number density and volume fraction of nanoparticles were determined as 90 ± 38 nm, $0 . 2 8 \pm 0 . 1 4 ~ \mu \mathrm { m } ^ { - 2 }$ and $0 . 8 \pm 0 . 2 \ \%$ , respectively, based on"
chart_0002,3,../02_images/figures/chart_0002.jpg,Fig. 4. Viscosity curves of MSZ/MSZ-7.5TiO2 suspensions.,0.569202,high,Fig. 4 presents the room-temperature engineering stress-strain curves for the steels in both AQ and aged conditions.,0.567551,high,"The rheological behavior of the homemade suspensions was evaluated by measuring viscosity at different shear rates, see Fig. 4.",0.565485,high,"Thin films of pure L-PAAs, M-PAAs and H-PAAs were produced by solution casting from their solutions with concentration of 1 wt%, and the data of contact angle were measured and listed in Fig. 4(h).",0.564934,high,Fig. 4(a) displays the relative density of the LPBF-fabricated samples as function of laser energy density η and the corresponding microstructures.,0.562271,high,Fig. 4(b) illustrates the neutron diffraction spectra of the creep specimens of the experimental alloys interrupted at 1% strain.
image_0003,4,../02_images/figures/image_0003.jpg,(d); Fig. 5. MZ coating: (a) - (c) cross-sectional SEM micrographs showing microstructure in different magnifications and (d) EDX analysis.,0.563359,high,"Microstructures of irregular powders like R70 were non-uniform due to varying Al loss during melting, resulting in uneven Al content within the powder and appearing as lamellar agglomerates (α2 + γ) in Al-poor areas (Fig. 5 e2).",0.552537,high,Fig. 5 summarizes the microstructural changes in the $_ { \mathrm { A l - Z r - C e - C u } }$ alloy after peak aging (375 C/100 h).,0.546563,high,"Initially, the powder particles exhibited a dendritic microstructure (Fig. 5 a) with dark solidification segregation (S-segregation) [28] enriched in Al (Fig. 5 f1, g1) and bright β segregation (Fig. 5 f1, g2) enriched in Ti and Cr [29,30].",0.540772,high,Fig. 5 shows the microstructures in the transverse and longitudinal sections of the creep specimens interrupted at 1% strain at $1 0 3 0 ^ { \circ } \mathrm { C }$ and 230 MPa.,0.539323,high,Fig. 5(a-c) shows SEM images of the MSZ coating sprayed by the APS system A at different magnifications.
image_0004,5,../02_images/figures/image_0004.jpg,FZJ: IEK1 2024 G EHT = 8.00 KV Detector = BSD1 WD = 8.5 mm 100 μm,0.357607,low,"This suggests the formation of a biofilm layer on the Cu-free steel surface, corroborating with the SEM observations.",0.357247,low,"The matrix exhibits a duplex microstructure consisting of $\alpha _ { 2 } / \gamma$ lamellar colonies, equiaxed $\gamma$ and B2 grains, as shown by the BSE-SEM image in Fig, 5b.",0.357104,low,"It's noteworthy that the equiaxed grains observed in TEM and TKD results could be as small as a few hundred nanometers, indicating the presence of a nanoscale structure in the LPBF-fabricated Al-Cu-Li-Sc-Zr alloy.",0.356521,low,These coarse columnar grains are formed by epitaxial growth through multiple building layers.,0.355086,low,The SEM and TEM investigations revealed the precipitation of borides along the grain boundaries of the boron-containing alloys.
image_0005,6,../02_images/figures/image_0005.jpg,FZJ: IEK1 2024 G EHT = 8.00 KV Detector = BSD1 WD = 8.4 mm 100 μm; (c); (d); Fi sprayed by SPS on IN738.,0.382252,low,"To further elucidate the excellent comprehensive mechanical properties of the N1-LAG material with gradient structure, detailed TEM characterizations were performed before and after tensile deformation.",0.379284,low,Grain orientation spread (GOS) generated from EBSD analysis is useful for quantifying microstructure attributes during recrystallization [7686].,0.37875,low,This study shows that the particle size distribution of $\mathrm { L i } _ { 6 } \mathrm { P S } _ { 5 } \mathrm { C l }$ in solid-state battery composites is a key factor in determining the overall cell performance.,0.375646,low,"Turker et al. [6] used powder between 20 and 53 µm and reported that the grain size of the alloy 718 printed by BJP and sintered at $1 2 8 0 ~ ^ { \circ } \mathrm { C }$ was 100150 µm, which is larger and less favorable than grain sizes produced in the present study.",0.375365,low,"Microstructural features, phase compositions, crystal structures, and deformation substructure were characterized using TEM (JEOL 2100 F and Talos F200) coupled with EDS and SAED."
chart_0006,7,../02_images/figures/chart_0006.jpg,(d); (e),0.383367,low,Mg2ZrsO12 was observed to decay to MgZr4O9 and MgO + ZrO2.,0.382698,low,"Szczerba et al. [37] reported something similar regarding the doping of zirconia with cations such as $\mathsf { M } \mathsf { g } ^ { 2 + }$ , whose ions have a size of 0.89 Å.",0.382119,low,"Most of the precipitates are ZrC and still maintain their original size and morphology, and M6C carbides with a size of about 380 nm are precipitated along the grain boundaries.",0.381944,low,"All the samples exhibited oxidation stability above 4.7 V at room temperature. $\mathrm { A t } 5 5 ^ { \circ } \mathrm { C } ,$ the oxidation onset voltages were measured as 4.5 V for PVDF-HFP SPE, 4.8 V for LAZTP 50% HSE, and 4.6 V for LAZTP Dual HSE, indicating that higher oxide contents contribute to improved oxidative stability.",0.380313,low,"PVDF-HFP SPE exhibited an endothermic peak at ${ 1 3 8 } ^ { \circ } \mathrm { C } ,$ whereas the melting points of LAZTP 50% HSE and LAZTP Dual HSE correspondingly decreased to $1 2 7 ~ ^ { \circ } \mathrm { C }$ and ${ 1 3 0 ~ ^ { \circ } \mathrm { C } } .$ The decrease in Tm indicates reduced polymer crystallinity due to the plasticizing effect of oxide fillers, which increases the amorphous phase fraction and facilitates $\mathrm { L i ^ { + } }$ conduction, improving the ionic conductivity of the solid electrolyte [41,42]."
chart_0007,8,../02_images/figures/chart_0007.jpg,(f); (system B) as-cycled.,0.391627,low,"PVDF-HFP SPE exhibited an endothermic peak at ${ 1 3 8 } ^ { \circ } \mathrm { C } ,$ whereas the melting points of LAZTP 50% HSE and LAZTP Dual HSE correspondingly decreased to $1 2 7 ~ ^ { \circ } \mathrm { C }$ and ${ 1 3 0 ~ ^ { \circ } \mathrm { C } } .$ The decrease in Tm indicates reduced polymer crystallinity due to the plasticizing effect of oxide fillers, which increases the amorphous phase fraction and facilitates $\mathrm { L i ^ { + } }$ conduction, improving the ionic conductivity of the solid electrolyte [41,42].",0.38658,low,"All the samples exhibited oxidation stability above 4.7 V at room temperature. $\mathrm { A t } 5 5 ^ { \circ } \mathrm { C } ,$ the oxidation onset voltages were measured as 4.5 V for PVDF-HFP SPE, 4.8 V for LAZTP 50% HSE, and 4.6 V for LAZTP Dual HSE, indicating that higher oxide contents contribute to improved oxidative stability.",0.380884,low,"Szczerba et al. [37] reported something similar regarding the doping of zirconia with cations such as $\mathsf { M } \mathsf { g } ^ { 2 + }$ , whose ions have a size of 0.89 Å.",0.380202,low,"During solidification of the Al alloy system (Al-Er-Zr-Y-Yb-Ni), several precipitates form, including ${ \tt D } 0 _ { 2 3 } { \cdot } { \tt A l } _ { 3 } { \ Z } { \mathrm { r } }$ (referred as $\mathrm { A l } _ { 3 } \mathrm { Z r }$ in this paper), $\mathrm { L } 1 _ { 2 } , \mathrm { A l } _ { 3 } \mathrm { N i }$ and metastable ternary phase $\begin{array} { r } { \mathsf { A l } _ { 2 3 } \mathsf { N i } _ { 6 } \mathsf { M } _ { 4 } . \mathsf { A l } _ { 3 } \mathsf { Z r } } \end{array}$ is brittle and undermines strength and ductility;[11] its lower solvus temperature and phase percentage minimize this phase.",0.37863,low,Mg2ZrsO12 was observed to decay to MgZr4O9 and MgO + ZrO2.
chart_0008,9,../02_images/figures/chart_0008.jpg,"Fig. 8. Phase compositions of the feedstock powder and coatings (Pretests - APS1, APS2 and APS3; As-sprayed MSZ SPS; and As-cycled MZ (APS MSZ) and DL MZ (SPS MSZ)).",0.50914,high,Both the lower and the upper bound estimates are plotted for comparison with the experimental data in Fig. 8.,0.494796,high,"The fatigue crack growth rates obtained for different ΔK and hydrogen concentrations are shown in Fig. 8, using a loglog plot.",0.492805,high,"Fig. 8 (a) illustrates results providing insights into dislocation densities, distributions, and lengths.",0.49096,high,"Fig. 8 shows the lever rule plots of alloys TO and ${ \mathrm { T } } 5 ,$ and the calculated volume fractions of the $\gamma ^ { \prime }$ phase in alloys T0 and T5 are 69.7% and 74.0%, respectively.",0.487814,high,"As the strain increased to 2 %, a pronounced rise in dislocation density was observed within the grains (Fig. 8)."
chart_0009,10,../02_images/figures/chart_0009.jpg,(c); Fi9 (c) Lattice strain of the MgZr4O and Mg2ZrsO phases.,0.365199,low,"For the APS-2 and −3 (29.7 kW) conditions with lower power, there is no significant change in strain for the MgZr4O9 phase compared to the initial powder.",0.362637,low,"Higher power, as observed in APS-1 (37.5 kW), increases the strain of the MgZr4O9 phase more than the Mg2Zr5O12 phase.",0.359622,low,The data for API X-grade pipeline steels were obtained for R values of 0.1 (dark blue points) and 0.5 (light blue points) and a loading frequency of 1 Hz.,0.356927,low,"This is believed to be the reason for the lower lifetime of the SPS samples compared to the APS samples, since the monoclinic phase forms gradually from the decay of MgZr4O9 and Mg2Zr5O12 in the SPS coating.",0.356031,low,"Zr and Er are the most influential elements on the coarsening metric (Figures S5S7, Supporting Information and Discussion S2, Supporting Information)."
