figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
chart_0000,1,../02_images/figures/chart_0000.jpg,Fig. 2. Stress—strain curves of 361L steel after ECAP followed by annealing at different temperatures from 873 K to 1073 K for 1 h.,1,0.599723,0.349723,high,paper::sent::150,text_item,"The original set of experimental stress—strain curves for the 316L steel in different structural states obtained after ECAP followed by annealing, Fig. 2, was converted to true stress—strain diagrams."
chart_0000,1,../02_images/figures/chart_0000.jpg,Fig. 2. Stress—strain curves of 361L steel after ECAP followed by annealing at different temperatures from 873 K to 1073 K for 1 h.,2,0.596507,0.346507,high,paper::sent::118,text_item,Fig. 2 shows the stress—strain diagrams for the initial asannealed and the ECAP-processed samples.
chart_0000,1,../02_images/figures/chart_0000.jpg,Fig. 2. Stress—strain curves of 361L steel after ECAP followed by annealing at different temperatures from 873 K to 1073 K for 1 h.,3,0.576889,0.326889,high,paper::sent::72,text_item,Representative tensile stress-strain curves of the homogenous and HS samples are presented in Fig. 2(a).
chart_0000,1,../02_images/figures/chart_0000.jpg,Fig. 2. Stress—strain curves of 361L steel after ECAP followed by annealing at different temperatures from 873 K to 1073 K for 1 h.,4,0.573674,0.323674,high,paper::sent::114,text_item,SEM images and corresponding particle size distribution histograms are depicted in Fig. 2.
chart_0000,1,../02_images/figures/chart_0000.jpg,Fig. 2. Stress—strain curves of 361L steel after ECAP followed by annealing at different temperatures from 873 K to 1073 K for 1 h.,5,0.569797,0.319797,high,paper::sent::74,text_item,The generation of matrix cracks is indicated by the end of the linear stressstrain curve shown in Fig. 2.
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fig. 3. Dependence of the yield stress $\sigma _ { 0 . 2 } ,$ ultimate tensile strength σus, and uniform elongation $\varepsilon _ { U }$ on the annealing temperature (engineering stress and strain are shown in this figure). The fraction of the recrystallized microstructure is also plotted for comparison.",1,0.547554,0.297554,high,paper::sent::67,text_item,The EDS map obtained from the equiaxed grain area of the AF sample (Figure 3(a)) revealed the stacking of Cu-rich and Sc-rich precipitates along the equiaxed grain boundaries.
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fig. 3. Dependence of the yield stress $\sigma _ { 0 . 2 } ,$ ultimate tensile strength σus, and uniform elongation $\varepsilon _ { U }$ on the annealing temperature (engineering stress and strain are shown in this figure). The fraction of the recrystallized microstructure is also plotted for comparison.",2,0.547164,0.297164,high,paper::sent::66,text_item,Figure 3(a-d) shows the TEM results for both AF and HT samples and Figure 3(e) presents the corresponding statistical results of precipitate size.
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fig. 3. Dependence of the yield stress $\sigma _ { 0 . 2 } ,$ ultimate tensile strength σus, and uniform elongation $\varepsilon _ { U }$ on the annealing temperature (engineering stress and strain are shown in this figure). The fraction of the recrystallized microstructure is also plotted for comparison.",3,0.545393,0.295393,high,paper::sent::90,text_item,"Both in Fig. 3(a) and Figs. 3(c-e), the occurrence of nitrogen components in PAAs treated CF proved the successful coating of PAAs on CF surface."
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fig. 3. Dependence of the yield stress $\sigma _ { 0 . 2 } ,$ ultimate tensile strength σus, and uniform elongation $\varepsilon _ { U }$ on the annealing temperature (engineering stress and strain are shown in this figure). The fraction of the recrystallized microstructure is also plotted for comparison.",4,0.535096,0.285096,high,paper::sent::74,text_item,"Similar to the equiaxed grain area of the AF sample, Al2Cu and AlCuSc precipitates also aggregate along the columnar grain boundaries as illustrated in Figure 3(b)."
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fig. 3. Dependence of the yield stress $\sigma _ { 0 . 2 } ,$ ultimate tensile strength σus, and uniform elongation $\varepsilon _ { U }$ on the annealing temperature (engineering stress and strain are shown in this figure). The fraction of the recrystallized microstructure is also plotted for comparison.",5,0.532522,0.282522,high,paper::sent::87,text_item,"For the HT sample, an increased number of precipitates can be observed in both equiaxed grain area (Figure 3(c)) and columnar grain area (Figure 3(d))."
