figure_id,figure_index,figure_path,caption,top1_score,top1_confidence,top1_text,top2_score,top2_confidence,top2_text,top3_score,top3_confidence,top3_text,top4_score,top4_confidence,top4_text,top5_score,top5_confidence,top5_text
image_0000,1,../02_images/figures/image_0000.jpg,(c); .,0.35544,low,"In this study, we successfully printed a novel CoNiCrFeAlTi-based HEA with cellular structures using the DED approach.",0.354515,low,"Our findings demonstrate that the inherent thermal cycling and rapid solidification of PBF-LB can be leveraged to create an NT microstructure, resulting in exceptional mechanical properties.",0.351628,low,"After staining, the samples were rinsed again with PBS to remove excess dye and immediately imaged using a confocal laser scanning microscope (CLSM).",0.35128,low,prepare an ideal lamella from a specific area of interest using traditional sampling techniques and (2) obtain high-resolution imaging of nanocrystals in morphology and substructure.,0.351116,low,"With just a single-step thermal stabilization treatment, the microstructural features composed of ordered grain and disordered nanolayer at grain boundary can be achieved."
image_0001,2,../02_images/figures/image_0001.jpg,Fi . a) Schematic representation of DED process. () and (c) show the scan paths in XOZ and XOY planes.,0.378337,low,"Eda et al. [17] initially proposed that when cutting speeds surpass the static plastic wave propagation speed, plastic deformation on the surface layer of the workpiece material is significantly suppressed.",0.369368,low,"Here, we report a novel hybrid additive manufacturing (HAM) approach to process ultrahigh-strength AlMgSc alloy, which combines laser powder bed fusion (LPBF) with interlayer ultrasonic shot peening (USP).",0.368233,low,"To overcome these limitations, this section introduces two novel energy-controlled schemes that build upon the crack growth control technique developed in [15] for FFT-based micromechanical solvers, adapting it for general macroscopic boundary value problems.",0.365766,low,"To overcome the limitations of single-layer electrolytes, various research strategies have been proposed, such as the introduction of protective interlayers or the implementation of multi-layered configurations including sandwich-type structures [26,27].",0.364204,low,"This multiscale nanohybrid architecture not only substantially augmented the surface roughness and surface energy of the fibers, but also promoted superior wettability and interfacial compatibility with the thermoplastic matrix, thereby conferring pronounced enhancements in both the flexural and interlaminar shear strengths of the resulting CF/PBPESK composites [14]."
image_0002,3,../02_images/figures/image_0002.jpg,patterns along the [110] zone axis (Z.A. is denoted as the zone axis).,0.376593,low,The α-Al composition measured by APT also demonstrates supersaturation of all Zr available in the alloy in α-Al matrix (Table 2).,0.374781,low,"Different atomic numbers can be distinguished in backscattered electron images with a basic rule that the larger the atomic number, the brighter the contrast [27].",0.372552,low,"The γ and $\alpha _ { 2 }$ phases in the lamellar grains are confirmed to satisfy the following orientation relationship as generally reported,",0.369963,low,"Atoms Ni and Co mainly occupy the faced centers (A-type sublattice) of the L12 unit cell, while the vertices (B-type sublattice) are occupied by the atoms Si, Ti, and Al.",0.369337,low,"The D value for PA molecules within ZVCOF was calculated to be $1 . 0 9 \times 1 0 ^ { - 4 }$ cm2 $\mathbf { S } ^ { - 1 }$ , significantly lower than that in NVCOF $( 4 . 9 4 \times 1 0 ^ { - 4 }$ $\mathrm { c m } ^ { 2 } \ \mathbf { s } ^ { - 1 } )$ , indicating lower molecular mobility due to stronger binding between PA and the zwitterionic OF."
image_0003,4,../02_images/figures/image_0003.jpg,(d); interior and dual-phase $( \mathrm { L } 1 _ { 2 } + \mathrm { F C C } )$ an average diameter of $3 1 . 0 \pm 5 . 1$ nm.,0.383276,low,"In sharp contrast, the darkfield (DF) TEM image captured from the superlattice reflections of the L12 phase (marked by the yellow circles) demonstrates high-density L12 nanoprecipitation in the wall.",0.375505,low,The microstructure of matrix in SS-L-40 was further characterized by TEM.,0.373854,low,"It's noteworthy that the equiaxed grains observed in TEM and TKD results could be as small as a few hundred nanometers, indicating the presence of a nanoscale structure in the LPBF-fabricated Al-Cu-Li-Sc-Zr alloy.",0.368675,low,"Considering that the microstructure of the cryptocrystalline region was refined to nanoscale, FIB-TEM was adopted instead of conventional SEM to examine the microstructure accurately.",0.368322,low,"To examine the nanostructure of matrix, a TEM sample was processed by FEI Helios 600i focused ion beam (FIB) system and was observed by a transmission electron microscope (TEM, Themis Z, FEI, USA)."
image_0004,5,../02_images/figures/image_0004.jpg,Table 1,0.3804,low,All three alloys show martensitic microstructure with retained austenite fractions below 1%.,0.375227,low,"Thus, the segregation of B atoms can improve the cohesive strength of the grain boundaries in present CCIMA and reduce the tendency of brittle morphologies of deformation substructures of the CCIMA at different strains. g, i High-resolution TEM and corresponding FFT images (insets) revealing the changes in the types of deformation substructures from APB-coupled superlattice dislocations (5%) to intersected SFs (35%). h Atomic-resolution STEM-HAADF image illustrating the existence of SISF at a strain of 15%.",0.371452,low,"temperatures. e Statistical calculation of the particle size distribution as a function of scanning time, as obtained from the simulation results. f SEM image of the asbuilt ${ \bf A l - B _ { 4 } C }$ composites and HAADF-STEM image of interfacial structure of the selected region, showing the same in-situ nanofragmentation behaviour as in Cu, now forming ANPs with sizes -200 nm.",0.370656,low,"The elemental segregation behavior at the cellular boundaries of the CP region is similar to that of the as-printed alloy, i.e., there is a pronounced enrichment of Ti and a small amount of depletion of Co and Cr.",0.369087,low,"The epitaxial growth of dendrites perpendicular to the fusion lines brings the approximate growth direction of columnar grains $\left( \mathrm { F i g . ~ } 4 ( \mathsf { a } ) \right)$ , forming the strong texture along the BD."
chart_0005,6,../02_images/figures/chart_0005.jpg,$\mathrm { L 1 } _ { 2 } / \mathrm { F C C }$ interface showing the elemental partitioning behaviors in the wall of the HT-HEA.,0.369637,low,Small peaks of FCC austenite (γ) phases are also presented.,0.36889,low,While Minnmann et all8] experimentally observed a reduction of the effective electronic conductivity with decreasing solid electrolyte particle size.,0.365671,low,"Bakan et al. [32] reported on the influence of process parameters (e.g., current and stand-off distances) on porosity levels in coatings.",0.364988,low,"Besides the boron enrichment, higher concentrations of cobalt were found at the γ/MB3 interface in both reconstructions.",0.364935,low,Recent results by Marchese et al. characterized the evolution of LPBF processed Inconel 625.
image_0006,7,../02_images/figures/image_0006.jpg,Fi. 6E implying typical ductile fracture modes.; (a),0.383914,low,"To obtain a better understanding of the effect of high-density L12 precipitates in the wall on the deformation mechanisms, the microstructure of the AP-HEA deformed to \~30 % plastic strain was also examined.",0.378629,low,The decreased density of HAGB leads to a rising average grain size of the microstructure of the CoCrFeNi HEAs.,0.375656,low,It shows that our current AM-fabricated HEAs have better strength-ductility combinations that are highly correlated with the AM-induced unique microstructure.,0.374054,low,"These findings demonstrate that the in-situ generation of $\mathrm { M g A l B } _ { 4 }$ phase effectively mitigates key challenges associated with LPBF processing of commercial AA2024, including coarse columnar grains, extensive hot cracking, and high defect density.",0.373366,low,"In contrast, the PI1-CF/PEI composite shows slightly improved matrix adhesion, although the fiber surface remains partially exposed, suggesting limited interfacial bonding capability."
image_0007,8,../02_images/figures/image_0007.jpg,(c); A sample deformed by \~28 % plastic strain. A large KAM value at the interior/wall interface was observed.,0.382416,low,"Thus, the segregation of B atoms can improve the cohesive strength of the grain boundaries in present CCIMA and reduce the tendency of brittle morphologies of deformation substructures of the CCIMA at different strains. g, i High-resolution TEM and corresponding FFT images (insets) revealing the changes in the types of deformation substructures from APB-coupled superlattice dislocations (5%) to intersected SFs (35%). h Atomic-resolution STEM-HAADF image illustrating the existence of SISF at a strain of 15%.",0.380361,low,The precipitates of LPBF-fabricated Al-Cu-Li-Sc-Zr alloy exhibited superior thermal stability during aging at 300 a.,0.375752,low,"After identifying LPBF process parameters and post-HT conditions that could lead to the production of Ti-6Al-4V alloys with high strength and ductility, microstructural analyses were conducted to validate the source of their strength and ductility; aiming to confirm whether the microstructures of the alloys produced in this study simultaneously exhibit the microstructural characteristics of those with high UTS and those with high TE that were respectively identified in previous studies.",0.373865,low,"To further elucidate the excellent comprehensive mechanical properties of the N1-LAG material with gradient structure, detailed TEM characterizations were performed before and after tensile deformation.",0.372631,low,The precipitation behavior significantly influences the mechanical properties of the LPBF-fabricated Al-Cu-Li-Sc-Zr alloy at elevated temperatures.
image_0008,9,../02_images/figures/image_0008.jpg,"(f); (e), and superlattice spots are highlighted by the yellow circles.",0.389488,low,"Szczerba et al. [37] reported something similar regarding the doping of zirconia with cations such as $\mathsf { M } \mathsf { g } ^ { 2 + }$ , whose ions have a size of 0.89 Å.",0.387058,low,Using a higher plasma power (APS 1) reduces the rhombohedral Mg2Zr5O12 phase and increases the cubic $\mathrm { M g Z r _ { 4 } O _ { 9 } }$ phase.,0.386825,low,"Pyczak et al. [34] reported that in the Ni-based alloys with $1 0 – 3 0 \mathrm { v o l } . \% \mathrm { C r } , \mathrm { C r } _ { 2 } 0 _ { 3 }$ was observed as external scales above the grain boundaries in addition to internal $\mathrm { C r } _ { 2 } \mathrm { O } _ { 3 } ,$ which are both expected to form in our sintered parts with 21.2 wt.% of Cr [34].",0.377625,low,"Correspondingly, B100C20, with both a thin BN interphase and high compressive stress, displays the highest $\tau _ { \mathrm { i } }$ and $\tau _ { \mathrm { f } } .$",0.377154,low,"The critical stress for twinning $\sigma _ { \mathrm { t w } }$ during the uniaxial tension can be derived as,"
image_0009,10,../02_images/figures/image_0009.jpg,(a); (b),0.388039,low,"In conventional machining, annealing twins and grain boundaries become optimal sites for dislocation nucleation, where dislocations move and accumulate to form dislocation cells and evolve further into new nanograins.",0.38644,low,Post-creep microstructures were characterized using TEM to gain insight into the precipitate-dislocation interaction nature and the dynamic recovery processes.,0.385537,low,"The development of similar microstructures were previously reported by Loeber et al. [15] and Terner et al. [31] in Ti-(46-48)Al-2Cr-2Nb and Ti-(47-48)Al-2Cr-8Nb EBM alloys, although the term ""layer"" was not mentioned.",0.382077,low,TEM observations were used to study the microstructural evolution in the parallelepiped domains with tensile strains in ${ \sf G S } _ { 5 } ^ { 1 }$ sample.,0.381522,low,"Similar enrichment/- segregation behaviors at the inter-dendritic and grain boundaries (GBs) have been often found in some other AM-fabricated metallic materials [36,4345]."
