figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
image_0000,1,../02_images/figures/image_0000.jpg,"(c); Fi 2. (a), (b) MSZ powder cross section SEM images with two different magnifications and (c) EDX analysis.",1,0.352582,0.302582,low,paper::sent::122,text_item,"The TEM images of RGO/MXene microspheres with mass ratios of 2:1, 3:1 and 5:1 were shown in Fig."
image_0000,1,../02_images/figures/image_0000.jpg,"(c); Fi 2. (a), (b) MSZ powder cross section SEM images with two different magnifications and (c) EDX analysis.",2,0.35102,0.30102,low,paper::sent::133,text_item,"To evaluate the antibacterial properties of the Cu-containing steel, the live/dead staining was employed to assess the viability of sessile SRB cells on the surfaces of steel during SRB MIC."
image_0000,1,../02_images/figures/image_0000.jpg,"(c); Fi 2. (a), (b) MSZ powder cross section SEM images with two different magnifications and (c) EDX analysis.",3,0.348057,0.298057,low,paper::sent::143,text_item,"While SKPFM potential measurements cannot be directly quantified due to tip contamination and work function instability, potential contrast offers insights into the varying physiological states of the sessile SRB cells."
image_0000,1,../02_images/figures/image_0000.jpg,"(c); Fi 2. (a), (b) MSZ powder cross section SEM images with two different magnifications and (c) EDX analysis.",4,0.347604,0.297604,low,paper::sent::75,text_item,This demonstrates enhanced segregation of Ti and Al at dislocation cell boundaries.
image_0000,1,../02_images/figures/image_0000.jpg,"(c); Fi 2. (a), (b) MSZ powder cross section SEM images with two different magnifications and (c) EDX analysis.",5,0.344104,0.294104,low,paper::sent::118,text_item,The low Zr content cannot provide enough AlZr nuclei for the heterogeneous nucleation sites of Al [45].
chart_0001,2,../02_images/figures/chart_0001.jpg,(c); of 5 % solid load suspensions of MSZ/MSZ-7.5TiO2 in ethanol after 168 h milling.,1,0.380862,0.330862,low,paper::sent::42,text_item,"LPS with four different average particle sizes (8, 5, 3, and 1.5 µm) was tested with LZO-coated NMC particles with average particle sizes of 5 and 12 µm."
chart_0001,2,../02_images/figures/chart_0001.jpg,(c); of 5 % solid load suspensions of MSZ/MSZ-7.5TiO2 in ethanol after 168 h milling.,2,0.377727,0.327727,low,paper::sent::40,text_item,We note that the ionic conductivities of the LPS decrease with smaller particle sizes.
chart_0001,2,../02_images/figures/chart_0001.jpg,(c); of 5 % solid load suspensions of MSZ/MSZ-7.5TiO2 in ethanol after 168 h milling.,3,0.375985,0.325985,low,paper::sent::133,text_item,Particles smaller than 1 µm have low momentum due to their size and exhibit a low Stokes number.
chart_0001,2,../02_images/figures/chart_0001.jpg,(c); of 5 % solid load suspensions of MSZ/MSZ-7.5TiO2 in ethanol after 168 h milling.,4,0.374148,0.324148,low,paper::sent::67,text_item,"Yb2SiO5) exhibited high sphericity and a particle size distribution of approximately 1155 µm (reported in our previous work, Ref. [34]), which is suitable for PS-PVD process to prepare dense coatings."
chart_0001,2,../02_images/figures/chart_0001.jpg,(c); of 5 % solid load suspensions of MSZ/MSZ-7.5TiO2 in ethanol after 168 h milling.,5,0.373434,0.323434,low,paper::sent::93,text_item,"The size, number density and volume fraction of nanoparticles were determined as 90 ± 38 nm, $0 . 2 8 \pm 0 . 1 4 ~ \mu \mathrm { m } ^ { - 2 }$ and $0 . 8 \pm 0 . 2 \ \%$ , respectively, based on"
chart_0002,3,../02_images/figures/chart_0002.jpg,Fig. 4. Viscosity curves of MSZ/MSZ-7.5TiO2 suspensions.,1,0.569202,0.319202,high,paper::sent::127,text_item,Fig. 4 presents the room-temperature engineering stress-strain curves for the steels in both AQ and aged conditions.
chart_0002,3,../02_images/figures/chart_0002.jpg,Fig. 4. Viscosity curves of MSZ/MSZ-7.5TiO2 suspensions.,2,0.567551,0.317551,high,paper::sent::146,text_item,"The rheological behavior of the homemade suspensions was evaluated by measuring viscosity at different shear rates, see Fig. 4."
chart_0002,3,../02_images/figures/chart_0002.jpg,Fig. 4. Viscosity curves of MSZ/MSZ-7.5TiO2 suspensions.,3,0.565485,0.315485,high,paper::sent::104,text_item,"Thin films of pure L-PAAs, M-PAAs and H-PAAs were produced by solution casting from their solutions with concentration of 1 wt%, and the data of contact angle were measured and listed in Fig. 4(h)."
chart_0002,3,../02_images/figures/chart_0002.jpg,Fig. 4. Viscosity curves of MSZ/MSZ-7.5TiO2 suspensions.,4,0.564934,0.314934,high,paper::sent::145,text_item,Fig. 4(a) displays the relative density of the LPBF-fabricated samples as function of laser energy density η and the corresponding microstructures.
chart_0002,3,../02_images/figures/chart_0002.jpg,Fig. 4. Viscosity curves of MSZ/MSZ-7.5TiO2 suspensions.,5,0.562271,0.312271,high,paper::sent::116,text_item,Fig. 4(b) illustrates the neutron diffraction spectra of the creep specimens of the experimental alloys interrupted at 1% strain.
image_0003,4,../02_images/figures/image_0003.jpg,(d); Fig. 5. MZ coating: (a) - (c) cross-sectional SEM micrographs showing microstructure in different magnifications and (d) EDX analysis.,1,0.563359,0.313359,high,paper::sent::119,text_item,"Microstructures of irregular powders like R70 were non-uniform due to varying Al loss during melting, resulting in uneven Al content within the powder and appearing as lamellar agglomerates (α2 + γ) in Al-poor areas (Fig. 5 e2)."
image_0003,4,../02_images/figures/image_0003.jpg,(d); Fig. 5. MZ coating: (a) - (c) cross-sectional SEM micrographs showing microstructure in different magnifications and (d) EDX analysis.,2,0.552537,0.302537,high,paper::sent::140,text_item,Fig. 5 summarizes the microstructural changes in the $_ { \mathrm { A l - Z r - C e - C u } }$ alloy after peak aging (375 C/100 h).
image_0003,4,../02_images/figures/image_0003.jpg,(d); Fig. 5. MZ coating: (a) - (c) cross-sectional SEM micrographs showing microstructure in different magnifications and (d) EDX analysis.,3,0.546563,0.296563,high,paper::sent::112,text_item,"Initially, the powder particles exhibited a dendritic microstructure (Fig. 5 a) with dark solidification segregation (S-segregation) [28] enriched in Al (Fig. 5 f1, g1) and bright β segregation (Fig. 5 f1, g2) enriched in Ti and Cr [29,30]."
image_0003,4,../02_images/figures/image_0003.jpg,(d); Fig. 5. MZ coating: (a) - (c) cross-sectional SEM micrographs showing microstructure in different magnifications and (d) EDX analysis.,4,0.540772,0.290772,high,paper::sent::122,text_item,Fig. 5 shows the microstructures in the transverse and longitudinal sections of the creep specimens interrupted at 1% strain at $1 0 3 0 ^ { \circ } \mathrm { C }$ and 230 MPa.
image_0003,4,../02_images/figures/image_0003.jpg,(d); Fig. 5. MZ coating: (a) - (c) cross-sectional SEM micrographs showing microstructure in different magnifications and (d) EDX analysis.,5,0.539323,0.289323,high,paper::sent::162,text_item,Fig. 5(a-c) shows SEM images of the MSZ coating sprayed by the APS system A at different magnifications.
image_0004,5,../02_images/figures/image_0004.jpg,FZJ: IEK1 2024 G EHT = 8.00 KV Detector = BSD1 WD = 8.5 mm 100 μm,1,0.357607,0.307607,low,paper::sent::158,text_item,"This suggests the formation of a biofilm layer on the Cu-free steel surface, corroborating with the SEM observations."
image_0004,5,../02_images/figures/image_0004.jpg,FZJ: IEK1 2024 G EHT = 8.00 KV Detector = BSD1 WD = 8.5 mm 100 μm,2,0.357247,0.307247,low,paper::sent::91,text_item,"The matrix exhibits a duplex microstructure consisting of $\alpha _ { 2 } / \gamma$ lamellar colonies, equiaxed $\gamma$ and B2 grains, as shown by the BSE-SEM image in Fig, 5b."
image_0004,5,../02_images/figures/image_0004.jpg,FZJ: IEK1 2024 G EHT = 8.00 KV Detector = BSD1 WD = 8.5 mm 100 μm,3,0.357104,0.307104,low,paper::sent::73,text_item,"It's noteworthy that the equiaxed grains observed in TEM and TKD results could be as small as a few hundred nanometers, indicating the presence of a nanoscale structure in the LPBF-fabricated Al-Cu-Li-Sc-Zr alloy."
image_0004,5,../02_images/figures/image_0004.jpg,FZJ: IEK1 2024 G EHT = 8.00 KV Detector = BSD1 WD = 8.5 mm 100 μm,4,0.356521,0.306521,low,paper::sent::114,text_item,These coarse columnar grains are formed by epitaxial growth through multiple building layers.
