figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
chart_0000,1,../02_images/figures/chart_0000.jpg,$\times 1 0 ^ { - 4 } s ^ { - 1 }$ CG: coarse grain. Subscript,1,0.400709,0.350709,medium,paper::sent::93,text_item,"Thus, it is apparent that the significance of the strain rate sensitivity in the necking strain is less important than the influence of the dynamic recovery coefficient $k _ { 2 } .$ Therefore, the role of m in the onset of necking should not be overestimated, at least for the materials, which do not exhibit a very strong strain rate dependence of flow stress."
chart_0000,1,../02_images/figures/chart_0000.jpg,$\times 1 0 ^ { - 4 } s ^ { - 1 }$ CG: coarse grain. Subscript,2,0.390764,0.340764,low,paper::sent::37,text_item,"With support from density functional theory (DFT) calculations and HAADF-STEM simulations, it is apparent that forming the ${ C o } _ { 3 } \mathsf { W }$ χ phase along SISFs correlates with enhanced creep resistance, suggesting that further $\gamma ^ { \prime }$ shearing in the form of stacking fault ribbons is inhibited."
chart_0000,1,../02_images/figures/chart_0000.jpg,$\times 1 0 ^ { - 4 } s ^ { - 1 }$ CG: coarse grain. Subscript,3,0.389969,0.339969,low,paper::sent::78,text_item,"The transformation of carbide characteristics stems from the high carbon affinity of the Zr element and its inhibition of the diffusion of the $\mathtt { M } _ { 6 } \mathtt { C }$ forming element towards grain boundaries [21,31]."
chart_0000,1,../02_images/figures/chart_0000.jpg,$\times 1 0 ^ { - 4 } s ^ { - 1 }$ CG: coarse grain. Subscript,4,0.388693,0.338693,low,paper::sent::91,text_item,"The lubrication effect of $\mathrm { C a F _ { 2 } }$ at $9 0 0 ~ ^ { \circ } \mathrm { C }$ dominated above the hardness impact, which was due to the decrease of the interaction force between the $\mathrm { C a F } _ { 2 }$ atoms caused by the higher temperature, and the cleavage plane was prone to sliding, and the brittle-to-plastic transition of $\mathrm { C a F } _ { 2 }$ took place."
chart_0000,1,../02_images/figures/chart_0000.jpg,$\times 1 0 ^ { - 4 } s ^ { - 1 }$ CG: coarse grain. Subscript,5,0.388632,0.338632,low,paper::sent::67,text_item,A twostage flow behavior is visible in the stress-strain (σ—ε) curves of both the GS and CG samples.
chart_0001,2,../02_images/figures/chart_0001.jpg,as-annealed CG sample. (b) Hv evolution along the depth in $\mathbf { G } \mathbf { L } _ { 5 } ^ { 0 . 0 7 }$ sample. Note that the strain is applied global strain.,1,0.394954,0.344954,low,paper::sent::157,text_item,"Although the workpiece maximum temperature of nanoindentation test and In-LAT are not consistent, the nanoindentation test results show that the mechanical properties variation tendency with temperature, which demonstrates the machinability improvement at elevated temperatures as the theoretical basis of In-LAT."
chart_0001,2,../02_images/figures/chart_0001.jpg,as-annealed CG sample. (b) Hv evolution along the depth in $\mathbf { G } \mathbf { L } _ { 5 } ^ { 0 . 0 7 }$ sample. Note that the strain is applied global strain.,2,0.384681,0.334681,low,paper::sent::88,text_item,"Remarkably, the creep lifetime of H230AM is also considerably better than the creep lifetimes of similar nickel-based superalloys under the same test conditions [3438], breaking the status quo that the creep property of the alloys fabricated by AM is generally inferior to that of the conventional processes (forging, rolling, etc.)."
chart_0001,2,../02_images/figures/chart_0001.jpg,as-annealed CG sample. (b) Hv evolution along the depth in $\mathbf { G } \mathbf { L } _ { 5 } ^ { 0 . 0 7 }$ sample. Note that the strain is applied global strain.,3,0.375571,0.325571,low,paper::sent::80,text_item,"As these tests were conducted on polycrystalline samples, it is extremely difficult to quantify the frequency of the varying observed deformation modes for both alloys."
chart_0001,2,../02_images/figures/chart_0001.jpg,as-annealed CG sample. (b) Hv evolution along the depth in $\mathbf { G } \mathbf { L } _ { 5 } ^ { 0 . 0 7 }$ sample. Note that the strain is applied global strain.,4,0.372413,0.322413,low,paper::sent::93,text_item,"Thus, it is apparent that the significance of the strain rate sensitivity in the necking strain is less important than the influence of the dynamic recovery coefficient $k _ { 2 } .$ Therefore, the role of m in the onset of necking should not be overestimated, at least for the materials, which do not exhibit a very strong strain rate dependence of flow stress."
chart_0001,2,../02_images/figures/chart_0001.jpg,as-annealed CG sample. (b) Hv evolution along the depth in $\mathbf { G } \mathbf { L } _ { 5 } ^ { 0 . 0 7 }$ sample. Note that the strain is applied global strain.,5,0.371539,0.321539,low,paper::sent::81,text_item,Tensile properties were evaluated using a YSL-100 quasi-static tensile testing machine with ± 20 kN load capacity and strain rate of $1 \times { 1 0 } ^ { - 4 } { s } ^ { - 1 }$ at RT.
