figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
image_0000,1,../02_images/figures/image_0000.jpg,t=300ps,1,0.376496,0.326496,low,paper::sent::102,text_item,Lammps provides diverse methods for simulating laser sources.
image_0000,1,../02_images/figures/image_0000.jpg,t=300ps,2,0.375967,0.325967,low,paper::sent::66,text_item,"In this study, the large-scale atomic/molecular massively parallel simulator (LAMMPS) is utilized to establish the binderless WC inprocess-heat laser-assisted nanometric cutting model."
image_0000,1,../02_images/figures/image_0000.jpg,t=300ps,3,0.375414,0.325414,low,paper::sent::56,text_item,"Specifically, a novel In-LAC MD simulation method is proposed to study the material removal mechanism, where the laser loading condition and the energy intensity are consistent with the experimental conditions."
image_0000,1,../02_images/figures/image_0000.jpg,t=300ps,4,0.371071,0.321071,low,paper::sent::92,text_item,"Considering the laser loading form of In-LAT, the material surface oxidation at elevated temperature is considered to have little influence on the material removal process and was not considered in the MD simulation."
image_0000,1,../02_images/figures/image_0000.jpg,t=300ps,5,0.370459,0.320459,low,paper::sent::76,text_item,"An electron backscattered diffraction system (EBSD, Lumis, Thermo Fisher Scientific, USA) was employed to better understand the grain texture and microstrain of the white and dark layers."
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fig. 1. (a) Molecular dynamicmodel of the laser-induced molten pool with box length 250 and box height 120 $\mathring { \mathsf { A } } ,$ panels i to iv of Fig. 1(a) show the snapshot of the cooling steps.",1,0.571476,0.321476,high,paper::sent::68,text_item,"We also conducted a simulation study on the temperature history of the molten pool center and obtained the temperature distribution of the molten pool center over time, as well as the cooling rate of the molten pool during both the heating and subsequent cooling steps, as shown in Fig. 1(b-c)."
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fig. 1. (a) Molecular dynamicmodel of the laser-induced molten pool with box length 250 and box height 120 $\mathring { \mathsf { A } } ,$ panels i to iv of Fig. 1(a) show the snapshot of the cooling steps.",2,0.569054,0.319054,high,paper::sent::38,text_item,The representative tensile curves of the AF and HT aluminum alloy samples at various testing temperatures are presented in Figure 1(a) and Figure 1(b).
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fig. 1. (a) Molecular dynamicmodel of the laser-induced molten pool with box length 250 and box height 120 $\mathring { \mathsf { A } } ,$ panels i to iv of Fig. 1(a) show the snapshot of the cooling steps.",3,0.565859,0.315859,high,paper::sent::90,text_item,"Based on the Θε curve of ${ \sf G S } _ { 5 } ^ { 1 }$ sample shown in Fig. 1(d), several tensile strains were selected for conducting Hv measurements to correlate the global strain hardening with local strain hardening."
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fig. 1. (a) Molecular dynamicmodel of the laser-induced molten pool with box length 250 and box height 120 $\mathring { \mathsf { A } } ,$ panels i to iv of Fig. 1(a) show the snapshot of the cooling steps.",4,0.5646,0.3146,high,paper::sent::44,text_item,"As seen in Figure 1, slower solidification via induction melting (casting) leads to micro-meter scale ternary and AlM phases (Figure S15, Supporting Information) and 80% lower hardness (40 HV) than the 3D-printed sample (200 HV in Figure S17, Supporting Information)."
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fig. 1. (a) Molecular dynamicmodel of the laser-induced molten pool with box length 250 and box height 120 $\mathring { \mathsf { A } } ,$ panels i to iv of Fig. 1(a) show the snapshot of the cooling steps.",5,0.562337,0.312337,high,paper::sent::39,text_item,The serrations observed in the room-temperature tensile stress-strain curve of Figure 1(a) can be explained by the Portevin-Le Chatelier (PLC) effect.
