figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
chart_0000,1,../02_images/figures/chart_0000.jpg,diameter and corresponding sphericity.,1,0.379599,0.329599,low,paper::sent::45,text_item,"For each sample, the diameters of ≈200 random particles were measured, and the average value was recorded."
chart_0000,1,../02_images/figures/chart_0000.jpg,diameter and corresponding sphericity.,2,0.375466,0.325466,low,paper::sent::141,text_item,"The average diameter for columnar grains in the EPBF processed Inconel 625 was measured at \~ 10 µm in size, although the average grain length was not reported."
chart_0000,1,../02_images/figures/chart_0000.jpg,diameter and corresponding sphericity.,3,0.368969,0.318969,low,paper::sent::111,text_item,"Interestingly, the average equivalent circle diameter of the grains in cast regions of sample #5 was increased to 18.2 µm, which was larger than that of samples #2-#4."
chart_0000,1,../02_images/figures/chart_0000.jpg,diameter and corresponding sphericity.,4,0.367688,0.317688,low,paper::sent::59,text_item,"The particle diameters ranged from 15 to 53 µm, displaying good sphericity and the absence of significant impurities."
chart_0000,1,../02_images/figures/chart_0000.jpg,diameter and corresponding sphericity.,5,0.366695,0.316695,low,paper::sent::93,text_item,"Despite differences in pore density and size between CL and PL samples, the density is comparable, suggesting no qualitative impact on the mechanical properties of the samples [29,30]."
image_0001,2,../02_images/figures/image_0001.jpg,"in HA1065 specimens, and (d) annealing twins in HA1100 specimens.",1,0.382589,0.332589,low,paper::sent::115,text_item,"Through theoretical modeling, Zhang et al. [58] demonstrates that the coherent interfaces between the FCC and B2 phases in a eutectic high-entropy alloy lead to simultaneous enhancement in strength and ductility."
image_0001,2,../02_images/figures/image_0001.jpg,"in HA1065 specimens, and (d) annealing twins in HA1100 specimens.",2,0.381809,0.331809,low,paper::sent::102,text_item,The orientation dependence of the deformation behavior of the as-EBM alloys derived from this layered microstructure is described in the next section.; 1;
image_0001,2,../02_images/figures/image_0001.jpg,"in HA1065 specimens, and (d) annealing twins in HA1100 specimens.",3,0.381431,0.331431,low,paper::sent::91,text_item,"The enrichment of precipitates at grain boundaries can compromise the material's ductility and elongation by promoting embrittlement, creating paths for crack propagation, hindering dislocation movement, and inducing stress concentration."
image_0001,2,../02_images/figures/image_0001.jpg,"in HA1065 specimens, and (d) annealing twins in HA1100 specimens.",4,0.380571,0.330571,low,paper::sent::96,text_item,"Thus, the segregation of B atoms can improve the cohesive strength of the grain boundaries in present CCIMA and reduce the tendency of brittle morphologies of deformation substructures of the CCIMA at different strains. g, i High-resolution TEM and corresponding FFT images (insets) revealing the changes in the types of deformation substructures from APB-coupled superlattice dislocations (5%) to intersected SFs (35%). h Atomic-resolution STEM-HAADF image illustrating the existence of SISF at a strain of 15%."
image_0001,2,../02_images/figures/image_0001.jpg,"in HA1065 specimens, and (d) annealing twins in HA1100 specimens.",5,0.380168,0.330168,low,paper::sent::96,text_item,It is believed that rupture life and ductility can be improved by enveloping the brittle grain boundary carbides and therefore retarding crack initiation at high temperatures[39].
image_0002,3,../02_images/figures/image_0002.jpg,Fig. 4. SEM images of precipitates at GBs in (a) HA1065 and (b) HA1100 specimens.,1,0.549207,0.299207,high,paper::sent::109,text_item,"Overall, due to the larger grain size in the CG region, the average grain size of the CL samples (1.52 µm) is greater than that of the PL samples (0.91 µm), as shown in Figure 4(c5)."
image_0002,3,../02_images/figures/image_0002.jpg,Fig. 4. SEM images of precipitates at GBs in (a) HA1065 and (b) HA1100 specimens.,2,0.542063,0.292063,high,paper::sent::116,text_item,"This explains the smaller average grain size observed in the PL samples (0.94 µm for CL and 0.91 µm for PL, as shown in Figure 4(c6))."
