figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
image_0000,1,../02_images/figures/image_0000.jpg,Fi. 1.,1,0.372058,0.322058,low,paper::sent::49,text_item,"Subsequently, a polymer solution without oxide fillers was cast onto the top, followed by additional vacuum drying at $5 0 ~ ^ { \circ } \mathrm { C }$ for 24 h, forming a dual-layer membrane structure."
image_0000,1,../02_images/figures/image_0000.jpg,Fi. 1.,2,0.366651,0.316651,low,paper::sent::39,text_item,"Liquid vinyl-containing hydrogen polycarbosilane (VH-PCS, Institute of Chemistry, Chinese Academy of Sciences) with molecular weight 600010000 was used as polymer precursor for the"
image_0000,1,../02_images/figures/image_0000.jpg,Fi. 1.,3,0.366615,0.316615,low,paper::sent::51,text_item,The different composites are used to build half-cells with $\mathrm { L i } _ { 5 . 5 } \mathrm { P S } _ { 4 . 5 } \mathrm { C l } _ { 1 . 5 }$ as the separator and In/LiIn alloy as the counter electrode. $\mathrm { L i } _ { 5 . 5 } \mathrm { P S } _ { 4 . 5 } \mathrm { C l } _ { 1 . 5 }$ was used as the separator because it has a conductivity of 8 mS $\mathrm { c m ^ { - 1 } }$ that ensures a low resistance of the separator and only a low effect on the performance of the cell.[14] The cells are either charged and discharged at various C-rates or at 0.1 C for 50 cycles.
image_0000,1,../02_images/figures/image_0000.jpg,Fi. 1.,4,0.363,0.313,low,paper::sent::21,text_item,"To address these issues, efforts have been focused on enhancing ionic conductivity by elemental doping of oxide SSEs and reducing interfacial resistance by forming hybrid solid electrolytes (HSEs) consisting of polymers and oxides."
image_0000,1,../02_images/figures/image_0000.jpg,Fi. 1.,5,0.362776,0.312776,low,paper::sent::35,text_item,And the modified BADCy resins are further prepared by copolymerization between the $\mathrm { L C F E } _ { 2 }$ & $\mathrm { L C F E } _ { 5 }$ and BADCy matrix.
image_0001,2,../02_images/figures/image_0001.jpg,of PI; f: Free volume model; g: PI molecular structure.,1,0.364729,0.314729,low,paper::sent::59,text_item,"Moreover, the thickness of interface phase formed by the diffusion between FABPBO-BADCy matrix and PBO fibers is further increased to 58.3 nm (Figure $4 \mathsf { e } _ { 3 } ) ,$ suggesting the outstanding interfacial compatibility of PBO fibers/FABPBO-BADCy."
image_0001,2,../02_images/figures/image_0001.jpg,of PI; f: Free volume model; g: PI molecular structure.,2,0.360503,0.310503,low,paper::sent::76,text_item,"These results reveal a clear dependence of proton transport behavior on PA content in both NVCOF and ZVCOF systems, where increasing PA incorporation progressively promotes a Grotthuss-type hopping mechanism."
image_0001,2,../02_images/figures/image_0001.jpg,of PI; f: Free volume model; g: PI molecular structure.,3,0.353129,0.303129,low,paper::sent::134,text_item,"Generally, PVDF-HFP-based membranes exhibit semi-crystalline morphology, and as the filler concentration increases, enhanced fillerpolymer interactions promote the formation of larger crystalline domains [36]."
image_0001,2,../02_images/figures/image_0001.jpg,of PI; f: Free volume model; g: PI molecular structure.,4,0.351056,0.301056,low,paper::sent::77,text_item,"Such an effective improvement indicates that the in-situ formed $\mathrm { M g A l B } _ { 4 }$ phase effectively suppress the formation of various LPBF-induced defects in AA2024, enabling the production of fully dense materials."
image_0001,2,../02_images/figures/image_0001.jpg,of PI; f: Free volume model; g: PI molecular structure.,5,0.349756,0.299756,low,paper::sent::83,text_item,"These findings suggest the formation of robust hydrogen-bonding networks between PA molecules and the sulfonate groups in ZVCOF, which facilitates a continuous and efficient proton-transfer pathway, accounting for the superior proton conduction of ZvCOF-based electrolytes."
chart_0002,3,../02_images/figures/chart_0002.jpg,i:1D SAXS intensity profiles corresponding to (h).,1,0.393949,0.343949,low,paper::sent::114,text_item,"Although all SAXS profiles show typical power law decay in the low-q region, the PI1/PI2 curve exhibits a larger exponent (—3.01) compared with PI1 (−2.56) and PI2 (2.62), indicating the presence of multiscale structures arising from interfacial heterogeneity."
chart_0002,3,../02_images/figures/chart_0002.jpg,i:1D SAXS intensity profiles corresponding to (h).,2,0.384319,0.334319,low,paper::sent::117,text_item,"During the further 8 h annealing, the metastability of the HCP phase relative to the FCC phase provides an additional thermodynamic driving force [63]."
chart_0002,3,../02_images/figures/chart_0002.jpg,i:1D SAXS intensity profiles corresponding to (h).,3,0.381516,0.331516,low,paper::sent::80,text_item,"In contrast, the corresponding RDF for the NVCOFbased system [H(PA)N(NVCOF)] exhibited a peak centered at 1.68 Å, reflecting weaker interactions between PA molecules and pyridinyl nitrogen sites."
chart_0002,3,../02_images/figures/chart_0002.jpg,i:1D SAXS intensity profiles corresponding to (h).,4,0.379221,0.329221,low,paper::sent::112,text_item,"More specifically, the low-q region of the PI2 curve is shifted further to the left, suggesting that the aggregates formed by the polymer are larger in size, which is primarily attributed to the longer chain segments in the molecular structure of PI2."
chart_0002,3,../02_images/figures/chart_0002.jpg,i:1D SAXS intensity profiles corresponding to (h).,5,0.377976,0.327976,low,paper::sent::190,text_item,Using a higher plasma power (APS 1) reduces the rhombohedral Mg2Zr5O12 phase and increases the cubic $\mathrm { M g Z r _ { 4 } O _ { 9 } }$ phase.
image_0003,4,../02_images/figures/image_0003.jpg,e; Fi 4 d: Flexural strength of CF/PEI; e: SEM images of CF/PEI fracture surfaces.,1,0.384077,0.334077,low,paper::sent::119,text_item,"After identifying LPBF process parameters and post-HT conditions that could lead to the production of Ti-6Al-4V alloys with high strength and ductility, microstructural analyses were conducted to validate the source of their strength and ductility; aiming to confirm whether the microstructures of the alloys produced in this study simultaneously exhibit the microstructural characteristics of those with high UTS and those with high TE that were respectively identified in previous studies."
image_0003,4,../02_images/figures/image_0003.jpg,e; Fi 4 d: Flexural strength of CF/PEI; e: SEM images of CF/PEI fracture surfaces.,2,0.376357,0.326357,low,paper::sent::133,text_item,The Burgers vector of the dislocations observed after the tensile deformation was determined by g·b contrast analysis on the bright-field TEM images with several different reflection vectors (g vectors).
