figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
image_0000,1,../02_images/figures/image_0000.jpg,"Fi. 1. (a) General microstructure and (b) grain boundary $\mathbf { M } _ { 2 3 } \mathbf { C } _ { 6 }$ precipitates in the material tested, alloy X-750 (condition HTH).",1,0.344249,0.294249,low,paper::sent::98,text_item,"The micrographs were consistent with this description, with striation marks (ductile fracture indicators) being clearly visible on the fracture surface of the 1 Hz samples."
image_0000,1,../02_images/figures/image_0000.jpg,"Fi. 1. (a) General microstructure and (b) grain boundary $\mathbf { M } _ { 2 3 } \mathbf { C } _ { 6 }$ precipitates in the material tested, alloy X-750 (condition HTH).",2,0.341187,0.291187,low,paper::sent::175,text_item,"From the bright field image, the precipitates (black dot mark by the white arrow) with less than 100 nm size are observed."
image_0000,1,../02_images/figures/image_0000.jpg,"Fi. 1. (a) General microstructure and (b) grain boundary $\mathbf { M } _ { 2 3 } \mathbf { C } _ { 6 }$ precipitates in the material tested, alloy X-750 (condition HTH).",3,0.336109,0.286109,low,paper::sent::82,text_item,"Moreover, the backscattered images revealed the precipitation of particles along the grain boundaries which exhibit the lowest Z contrast, suggesting the partitioning of light elements such as carbon and boron."
image_0000,1,../02_images/figures/image_0000.jpg,"Fi. 1. (a) General microstructure and (b) grain boundary $\mathbf { M } _ { 2 3 } \mathbf { C } _ { 6 }$ precipitates in the material tested, alloy X-750 (condition HTH).",4,0.333615,0.283615,low,paper::sent::172,text_item,The size of the white dots is less than 0.1 µm (measured by ImageJ based on the BSE image).
image_0000,1,../02_images/figures/image_0000.jpg,"Fi. 1. (a) General microstructure and (b) grain boundary $\mathbf { M } _ { 2 3 } \mathbf { C } _ { 6 }$ precipitates in the material tested, alloy X-750 (condition HTH).",5,0.333215,0.283215,low,paper::sent::115,text_item,"It has been found previously that finer powder particle sizes lead to a larger amount of satellite formations (Özbilen, 1999)."
image_0001,2,../02_images/figures/image_0001.jpg,phology.,1,0.386907,0.336907,low,paper::sent::212,text_item,"SEM images revealed equiaxed dimples in spherical morphology, which appear as the coalescence of voids formed at inclusions during plastic deformation (Anderson and Anderson, 2005)."
image_0001,2,../02_images/figures/image_0001.jpg,phology.,2,0.380454,0.330454,low,paper::sent::158,text_item,"This suggests the formation of a biofilm layer on the Cu-free steel surface, corroborating with the SEM observations."
image_0001,2,../02_images/figures/image_0001.jpg,phology.,3,0.376778,0.326778,low,paper::sent::165,text_item,"The microstructure of the as-printed sample was characterized by SEM (FEI, Scios, 20 kV, 3 nA) in the BSE mode."
image_0001,2,../02_images/figures/image_0001.jpg,phology.,4,0.374488,0.324488,low,paper::sent::154,text_item,"These two samples are considered representative, showcasing the two prevalent forms of defects that lead to fatigue crack initiation within the samples, namely a single large-sized pore and a colony of small-sized pores."
image_0001,2,../02_images/figures/image_0001.jpg,phology.,5,0.374286,0.324286,low,paper::sent::95,text_item,Two pore types were present: large pores at grain boundaries and small pores within grains.
image_0002,3,../02_images/figures/image_0002.jpg,Fig. 4. (continued),1,0.540717,0.290717,high,paper::sent::227,text_item,"The difference in the yield strength results from the differences in the as-quenched microstructure (Fig. 4). 10Ni4Mo has finer martensite (than the other two alloys), which increases the Hall-Petch effects."
image_0002,3,../02_images/figures/image_0002.jpg,Fig. 4. (continued),2,0.539421,0.289421,high,paper::sent::121,text_item,"However, as for the HT-HEA, we found a distinctly different cellular microstructure that contains a dual-phase-structured $( \mathrm { F C C } + \mathrm { L } 1 _ { 2 } )$ wall and a single-phase-structured (FCC) interior (Fig. 4)."
image_0002,3,../02_images/figures/image_0002.jpg,Fig. 4. (continued),3,0.522614,0.272614,high,paper::sent::160,text_item,"At the end of discharging, only 57.5% of the NCM811 particle demonstrates full lithiation, consistent with the limited C-rate performance $( P _ { \mathfrak { m } } )$ of ASLBs with heterogeneous cathodes (Fig. 4fand Supplementary Table 1)."
image_0002,3,../02_images/figures/image_0002.jpg,Fig. 4. (continued),4,0.518313,0.268313,high,paper::sent::203,text_item,The image taken on the interface region (Fig. 9(a)) reveals a greater amount of accumulated dislocations at the interface compared with the undeformed sample (Fig. 4(e1)).
image_0002,3,../02_images/figures/image_0002.jpg,Fig. 4. (continued),5,0.515267,0.265267,high,paper::sent::156,text_item,"The satisfactory ductility and work hardening ability can be primarily attributed to the HDI hardening [34,35,6062] (which owing to the formation of a large number of GNDs at the gradient and heterogeneous interfaces caused by the strain distribution and stress transfer between the different gradient regions (Fig. 2(b) and Fig. 4)), remarkable TWIP effect and dislocation slip (Fig. 5)."
chart_0003,4,../02_images/figures/chart_0003.jpg,bulk hydrogen concentration was calculated using Sievert's Law based on hydrogen pressure of test).,1,0.356126,0.306126,low,paper::sent::255,text_item,"However, further increases in austenite fraction do not improve ductility (at 580 C)."
chart_0003,4,../02_images/figures/chart_0003.jpg,bulk hydrogen concentration was calculated using Sievert's Law based on hydrogen pressure of test).,2,0.347638,0.297638,low,paper::sent::141,text_item,"The effects of different mass fractions of preFABPBO on the dielectric properties, mechanical properties, and heat resistances of the FABPBO-BADCy resin were analyzed to determine the optimal amount of preFABPBO."
chart_0003,4,../02_images/figures/chart_0003.jpg,bulk hydrogen concentration was calculated using Sievert's Law based on hydrogen pressure of test).,3,0.347532,0.297532,low,paper::sent::171,text_item,"The density of the specimens, determined via the Archimedes method utilizing XPR 205 (Mettler Toledo, USA), was measured as 4.406 ± 0.004, 4.407 ± 0.003, 4.418 ± 0.007, and 4.412 ± 0.002 g/cm3³ for the 1-1, 2-1, 3-1, and 3-2 samples, respectively."
chart_0003,4,../02_images/figures/chart_0003.jpg,bulk hydrogen concentration was calculated using Sievert's Law based on hydrogen pressure of test).,4,0.347038,0.297038,low,paper::sent::251,text_item,The large ductility of the alloys at 1023 K is attributed to the fine microstructure and the change in the fracture mode from brittle fracture mode to ductile fracture mode due to softening of the γ phase and the $\alpha _ { 2 } / \gamma$ lamellar region with low $\mathrm { c r . }$
