figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
image_0000,1,../02_images/figures/image_0000.jpg,$\mathsf { L } \mathsf { l } _ { 2 }$ phases inside grain .,1,0.383309,0.333309,low,paper::sent::37,text_item,"Fritzmeier, Walter, Meisels, and Jewett also investigated alloy 903, a FCC FeNi-base precipitation strengthened superalloy [10]."
image_0000,1,../02_images/figures/image_0000.jpg,$\mathsf { L } \mathsf { l } _ { 2 }$ phases inside grain .,2,0.378048,0.328048,low,paper::sent::5,text_item,"By reducing solid electrolyte particle size and increasing the cathode active material particle size, over 50 vol% cathode active material loading with high cathode utilization is able to be experimentally achieved, demonstrating that a commercially-relevant, energy-dense cathode composite is achievable through simple mixing and pressing method."
image_0000,1,../02_images/figures/image_0000.jpg,$\mathsf { L } \mathsf { l } _ { 2 }$ phases inside grain .,3,0.377853,0.327853,low,paper::sent::20,text_item,"The precipitation hardening is the most effective strengthening mechanism in cast/wrought Al alloys, but solutes retained in solid-solution alongside the precipitates substantially deteriorate alloy conductivity [2]."
image_0000,1,../02_images/figures/image_0000.jpg,$\mathsf { L } \mathsf { l } _ { 2 }$ phases inside grain .,4,0.377043,0.327043,low,paper::sent::18,text_item,"Shi et al.[12] used microstructure simulations to show how CAM utilization depends on different ratios of CAM and solid electrolyte particle sizes, focusing on the influence on electrochemical performance."
image_0000,1,../02_images/figures/image_0000.jpg,$\mathsf { L } \mathsf { l } _ { 2 }$ phases inside grain .,5,0.375725,0.325725,low,paper::sent::24,text_item,"Recently, we reported that the continuous network of segregated phases along cellular boundaries can effectively suppress cracking by relieving stress concentrations when the Zr content exceeds a certain value in nickel-based superalloys fabricated by AM [25]."
image_0001,2,../02_images/figures/image_0001.jpg,AA using the masked maps from (e).,1,0.35523,0.30523,low,paper::sent::143,text_item,"While SKPFM potential measurements cannot be directly quantified due to tip contamination and work function instability, potential contrast offers insights into the varying physiological states of the sessile SRB cells."
image_0001,2,../02_images/figures/image_0001.jpg,AA using the masked maps from (e).,2,0.351878,0.301878,low,paper::sent::133,text_item,"To evaluate the antibacterial properties of the Cu-containing steel, the live/dead staining was employed to assess the viability of sessile SRB cells on the surfaces of steel during SRB MIC."
image_0001,2,../02_images/figures/image_0001.jpg,AA using the masked maps from (e).,3,0.349448,0.299448,low,paper::sent::44,text_item,The microstructures and the associated strain partitioning behaviors were analyzed using electron backscattered diffraction (EBSD).
image_0001,2,../02_images/figures/image_0001.jpg,AA using the masked maps from (e).,4,0.346893,0.296893,low,paper::sent::42,text_item,prepare an ideal lamella from a specific area of interest using traditional sampling techniques and (2) obtain high-resolution imaging of nanocrystals in morphology and substructure.
image_0001,2,../02_images/figures/image_0001.jpg,AA using the masked maps from (e).,5,0.345093,0.295093,low,paper::sent::38,text_item,"Yang et al. [28] achieved significantly refined columnar grains separated by sub-micron equiaxed grains in LPBF-fabricated Al-Mg-Sc-Zr alloys by adding 1.08 wt.% Sc, linking the ultrafine grain formation to ${ \sf A l } _ { 3 } { \sf S c }$ particles in the remelting zone."
image_0002,3,../02_images/figures/image_0002.jpg,AA $\mathsf { A l / N i / Z r / E r }$ elenanoprecipitate in the interior the rains.,1,0.374884,0.324884,low,paper::sent::96,text_item,"Thus, the segregation of B atoms can improve the cohesive strength of the grain boundaries in present CCIMA and reduce the tendency of brittle morphologies of deformation substructures of the CCIMA at different strains. g, i High-resolution TEM and corresponding FFT images (insets) revealing the changes in the types of deformation substructures from APB-coupled superlattice dislocations (5%) to intersected SFs (35%). h Atomic-resolution STEM-HAADF image illustrating the existence of SISF at a strain of 15%."
image_0002,3,../02_images/figures/image_0002.jpg,AA $\mathsf { A l / N i / Z r / E r }$ elenanoprecipitate in the interior the rains.,2,0.374829,0.324829,low,paper::sent::44,text_item,The microstructures and the associated strain partitioning behaviors were analyzed using electron backscattered diffraction (EBSD).
image_0002,3,../02_images/figures/image_0002.jpg,AA $\mathsf { A l / N i / Z r / E r }$ elenanoprecipitate in the interior the rains.,3,0.368957,0.318957,low,paper::sent::87,text_item,"OM micrographs of shape, size, and distribution of grains and porosity of differently sintered samples (Suppl."
image_0002,3,../02_images/figures/image_0002.jpg,AA $\mathsf { A l / N i / Z r / E r }$ elenanoprecipitate in the interior the rains.,4,0.367197,0.317197,low,paper::sent::93,text_item,"Due to the visibility of carbides in the micrographs, a determination of relative density through light optical microscopy and image analysis is not feasible."
image_0002,3,../02_images/figures/image_0002.jpg,AA $\mathsf { A l / N i / Z r / E r }$ elenanoprecipitate in the interior the rains.,5,0.366031,0.316031,low,paper::sent::64,text_item,"The number density per unit area, volume fraction and size of nanoparticles were measured based on at least ten SEM images via ImageJ."
chart_0003,4,../02_images/figures/chart_0003.jpg,"reduced space of $: \dot { u } _ { \mathsf { a } - \mathsf { f } ^ { \prime } }$ only with respect to Er and Zr and $"" g ""$ only with respect to Ni, is explained in the Results and Discussions Section.",1,0.389982,0.339982,low,paper::sent::56,text_item,"During solidification of the Al alloy system (Al-Er-Zr-Y-Yb-Ni), several precipitates form, including ${ \tt D } 0 _ { 2 3 } { \cdot } { \tt A l } _ { 3 } { \ Z } { \mathrm { r } }$ (referred as $\mathrm { A l } _ { 3 } \mathrm { Z r }$ in this paper), $\mathrm { L } 1 _ { 2 } , \mathrm { A l } _ { 3 } \mathrm { N i }$ and metastable ternary phase $\begin{array} { r } { \mathsf { A l } _ { 2 3 } \mathsf { N i } _ { 6 } \mathsf { M } _ { 4 } . \mathsf { A l } _ { 3 } \mathsf { Z r } } \end{array}$ is brittle and undermines strength and ductility;[11] its lower solvus temperature and phase percentage minimize this phase."
chart_0003,4,../02_images/figures/chart_0003.jpg,"reduced space of $: \dot { u } _ { \mathsf { a } - \mathsf { f } ^ { \prime } }$ only with respect to Er and Zr and $"" g ""$ only with respect to Ni, is explained in the Results and Discussions Section.",2,0.373993,0.323993,low,paper::sent::121,text_item,"Compared with other typical ASLBs with $\mathsf { L i C o O } _ { 2 } ,$ Ni-Mn-Co-based ternary cathodes or sulfur-containing cathodes, the significant advantages $\mathbf { 0 } \mathbf { f } \mathbf { L } \mathbf { T } \mathbf { G } _ { 0 . 2 5 } \mathbf { P } \mathbf { S } \mathbf { S } \mathbf { e } _ { 0 . }$ 2 are highlighted."
