figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
image_0000,1,../02_images/figures/image_0000.jpg,tative cuboid samples and tensile plates of the Al-CuLiSc-Zr alloy produced by the LPBF.,1,0.376243,0.326243,low,paper::sent::36,text_item,"Liu et al. [20] conducted ultra-high-speed cutting experiments on AerMet100 steel, further confirming the brittle-mode removal via the non-plastic, granular chips."
image_0000,1,../02_images/figures/image_0000.jpg,tative cuboid samples and tensile plates of the Al-CuLiSc-Zr alloy produced by the LPBF.,2,0.375677,0.325677,low,paper::sent::39,text_item,Chen et al.[24] developed an effective ultrasonic surface rolling process technology to improve the fatigue life of AM-processed CoCrNi alloy.
image_0000,1,../02_images/figures/image_0000.jpg,tative cuboid samples and tensile plates of the Al-CuLiSc-Zr alloy produced by the LPBF.,3,0.372882,0.322882,low,paper::sent::37,text_item,"Surface nanocrystalline modification techniques, such as ultrasonic shot peening (USP), laser shock peening (LSP), and mechanical rolling, have been deployed to generate gradient nanostructured (GNS) materials with exceptional mechanical properties[23]."
image_0000,1,../02_images/figures/image_0000.jpg,tative cuboid samples and tensile plates of the Al-CuLiSc-Zr alloy produced by the LPBF.,4,0.372471,0.322471,low,paper::sent::81,text_item,"These NT nanoprecipitates should correspond to the $\mathrm { C o C r F e N i A l _ { 0 . 1 } }$ HEA, which are known for their exceptional ductility and excellent work-hardening capability under tensile deformation [29]."
image_0000,1,../02_images/figures/image_0000.jpg,tative cuboid samples and tensile plates of the Al-CuLiSc-Zr alloy produced by the LPBF.,5,0.372218,0.322218,low,paper::sent::30,text_item,"Unlike traditional preparation methods, the content and effect of $\beta _ { 0 }$ in Ti-48Al-2Cr-2Nb alloy formed under nonequilibrium solidification conditions in additive manufacturing (AM) become more pronounced [19,20]."
image_0001,2,../02_images/figures/image_0001.jpg,A1.5L.4c0.2ACu5i0.6.3Z A4C5Li0.c0.Z AC1.5Lc.,1,0.380672,0.330672,low,paper::sent::87,text_item,"OM micrographs of shape, size, and distribution of grains and porosity of differently sintered samples (Suppl."
image_0001,2,../02_images/figures/image_0001.jpg,A1.5L.4c0.2ACu5i0.6.3Z A4C5Li0.c0.Z AC1.5Lc.,2,0.37466,0.32466,low,paper::sent::121,text_item,The formation of high-melting-temperature intermetallics in the melt pools may promote heterogeneous nucleation of Al grains during subsequent solidification and thus reduce the grain size of Al.
image_0001,2,../02_images/figures/image_0001.jpg,A1.5L.4c0.2ACu5i0.6.3Z A4C5Li0.c0.Z AC1.5Lc.,3,0.373344,0.323344,low,paper::sent::83,text_item,Microstructures in the initial state and after aging at 1030 C
image_0001,2,../02_images/figures/image_0001.jpg,A1.5L.4c0.2ACu5i0.6.3Z A4C5Li0.c0.Z AC1.5Lc.,4,0.372834,0.322834,low,paper::sent::96,text_item,"Thus, the segregation of B atoms can improve the cohesive strength of the grain boundaries in present CCIMA and reduce the tendency of brittle morphologies of deformation substructures of the CCIMA at different strains. g, i High-resolution TEM and corresponding FFT images (insets) revealing the changes in the types of deformation substructures from APB-coupled superlattice dislocations (5%) to intersected SFs (35%). h Atomic-resolution STEM-HAADF image illustrating the existence of SISF at a strain of 15%."
image_0001,2,../02_images/figures/image_0001.jpg,A1.5L.4c0.2ACu5i0.6.3Z A4C5Li0.c0.Z AC1.5Lc.,5,0.372692,0.322692,low,paper::sent::92,text_item,Microstructure and morphology characteristics analysis of the white and dark layers under SEM
