figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
chart_0000,1,../02_images/figures/chart_0000.jpg,Fi N1-LAA work hardening.,1,0.376314,0.326314,low,paper::sent::62,text_item,"Compared with PDC SiC, the much higher flexural strength and fracture toughness of Ss0 illustrate that SiC fibers efficiently improve the mechanical properties of composites in the direction parallel to the axial direction of SiC fibers."
chart_0000,1,../02_images/figures/chart_0000.jpg,Fi N1-LAA work hardening.,2,0.375611,0.325611,low,paper::sent::22,text_item,Sauder et al. also found that the fiber surface roughness made a great influence on the interfacial shear stress.
chart_0000,1,../02_images/figures/chart_0000.jpg,Fi N1-LAA work hardening.,3,0.373843,0.323843,low,paper::sent::15,text_item,"Following the first strategy that is the focus of this study, strength has an inverse relationship with the precipitate size based on Orowan strengthening theory.[8] Thus, for a given volume fraction of precipitates, smaller precipitate size and spacing more effectively impede dislocation motion."
chart_0000,1,../02_images/figures/chart_0000.jpg,Fi N1-LAA work hardening.,4,0.371459,0.321459,low,paper::sent::35,text_item,"Therefore, in standard specimens with as-manufactured surfaces, the distinct impact of upward-facing surface roughness cannot be directly quantified as it is less critical than the associated downward-facing surfaces."
chart_0000,1,../02_images/figures/chart_0000.jpg,Fi N1-LAA work hardening.,5,0.369648,0.319648,low,paper::sent::114,text_item,Surface roughness Sa is an important index to evaluate the surface quality of heterogeneous materials.
chart_0001,2,../02_images/figures/chart_0001.jpg,"tensile deformation of the N1 alloy at HOMO, CR, LH and LAG states.",1,0.379926,0.329926,low,paper::sent::95,text_item,"The results indicate that the N1-HOMO material exhibits an excellent ductility, but its yield strength is only 358 MPa."
chart_0001,2,../02_images/figures/chart_0001.jpg,"tensile deformation of the N1 alloy at HOMO, CR, LH and LAG states.",2,0.378145,0.328145,low,paper::sent::44,text_item,"To investigate the effects of the different particle sizes of $\mathrm { L i } _ { 6 } \mathrm { P S } _ { 5 } \mathrm { C l }$ in the NCM composite electrode, cathode composites with 70 wt.% NCM811 and 30 wt.% $\mathrm { L i } _ { 6 } \mathrm { P S } _ { 5 } \mathrm { C l }$ are produced."
chart_0001,2,../02_images/figures/chart_0001.jpg,"tensile deformation of the N1 alloy at HOMO, CR, LH and LAG states.",3,0.376942,0.326942,low,paper::sent::100,text_item,The results show that the N1-LH and N1-LAG materials exhibit the higher work hardening ability during plastic deformation compared to the N1-HOMO and N1-CR materials with uniform microstructures.
chart_0001,2,../02_images/figures/chart_0001.jpg,"tensile deformation of the N1 alloy at HOMO, CR, LH and LAG states.",4,0.37655,0.32655,low,paper::sent::107,text_item,"Nitrogen content remained at 6.01 %, consistent with the presence of an imide-rich coating."
chart_0001,2,../02_images/figures/chart_0001.jpg,"tensile deformation of the N1 alloy at HOMO, CR, LH and LAG states.",5,0.373368,0.323368,low,paper::sent::81,text_item,"These NT nanoprecipitates should correspond to the $\mathrm { C o C r F e N i A l _ { 0 . 1 } }$ HEA, which are known for their exceptional ductility and excellent work-hardening capability under tensile deformation [29]."
