figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
image_0000,1,../02_images/figures/image_0000.jpg,Fig. 1. SEM image of gas atomized MAR-M247 powder.,1,0.563744,0.313744,high,paper::sent::47,text_item,Powder particle micrographs showed irregular WA and spherical GA powder particles (Fig. 1).
image_0000,1,../02_images/figures/image_0000.jpg,Fig. 1. SEM image of gas atomized MAR-M247 powder.,2,0.543646,0.293646,high,paper::sent::31,text_item,A secondary electron image of MAR-M247 powder shows a spherical morphology being typical for the applied atomization technique (Fig. 1).
image_0000,1,../02_images/figures/image_0000.jpg,Fig. 1. SEM image of gas atomized MAR-M247 powder.,3,0.53907,0.28907,high,paper::sent::114,text_item,Fig. 1 summarizes the typical as-fabricated microstructures of the AM Al-Zr-Ce-Cu alloy.
image_0000,1,../02_images/figures/image_0000.jpg,Fig. 1. SEM image of gas atomized MAR-M247 powder.,4,0.53747,0.28747,high,paper::sent::35,text_item,"The powder blends with spherical morphologies and the associated elemental distributions (Co, Ni, Cr, Fe, Al, and Ti) are provided in Fig. 1."
image_0000,1,../02_images/figures/image_0000.jpg,Fig. 1. SEM image of gas atomized MAR-M247 powder.,5,0.533712,0.283712,high,paper::sent::31,text_item,We used atom probe tomography (APT) to study the nanoscale compositions of the amorphous nanoparticles and the atomic diffusion across the interface (Fig. 1fh).
image_0001,2,../02_images/figures/image_0001.jpg,Fig. 2. Ilustration of the Binder Jetting process in 2D. The build direction is represented by z.,1,0.55707,0.30707,high,paper::sent::64,text_item,"At the micro-scale, the nanoscale precipitates are observed in both colonies after annealing (Fig. 2bi, Fig."
image_0001,2,../02_images/figures/image_0001.jpg,Fig. 2. Ilustration of the Binder Jetting process in 2D. The build direction is represented by z.,2,0.554917,0.304917,high,paper::sent::38,text_item,The main working principle of the Binder Jetting process is illustrated in Fig. 2.
image_0001,2,../02_images/figures/image_0001.jpg,Fig. 2. Ilustration of the Binder Jetting process in 2D. The build direction is represented by z.,3,0.542844,0.292844,high,paper::sent::73,text_item,"From Fig. 2(d) of SS-L-40, the typical layered structure constituted by alternating ""black"" and ""grey"" two phases in the matrix near BN interphase is clearly observed, which is derived from the pyrolysis of low concentration PCS solution."
image_0001,2,../02_images/figures/image_0001.jpg,Fig. 2. Ilustration of the Binder Jetting process in 2D. The build direction is represented by z.,4,0.537687,0.287687,high,paper::sent::82,text_item,Fig. 2 shows the meso-scale to micro-scale initial microstructure of the as-printed alloy.
image_0001,2,../02_images/figures/image_0001.jpg,Fig. 2. Ilustration of the Binder Jetting process in 2D. The build direction is represented by z.,5,0.53387,0.28387,high,paper::sent::88,text_item,Fig. 2 shows the alloying element partitioning behavior in the alloys measured by APT.
image_0002,3,../02_images/figures/image_0002.jpg,Fig. 3. Dimensions of cuboids and hexagonal tensile specimens in CAD before up-scaling in mm (left) and actual binder-jetted hexagonal tensile specimens and cuboids after sintering (right).,1,0.588936,0.338936,high,paper::sent::125,text_item,"Samples produced through binder jetting showed a consistent microstructure regardless of build orientation, with an amount of porosity present in both microstructural directions (Fig. 3(A))."
image_0002,3,../02_images/figures/image_0002.jpg,Fig. 3. Dimensions of cuboids and hexagonal tensile specimens in CAD before up-scaling in mm (left) and actual binder-jetted hexagonal tensile specimens and cuboids after sintering (right).,2,0.583612,0.333612,high,paper::sent::144,text_item,The microstructure of LPBF fabricated parts appears homogenous and with equiaxed grains compared to those of produced by EPBF and binder jetting in both studied orientations (Fig. 3(C)).
image_0002,3,../02_images/figures/image_0002.jpg,Fig. 3. Dimensions of cuboids and hexagonal tensile specimens in CAD before up-scaling in mm (left) and actual binder-jetted hexagonal tensile specimens and cuboids after sintering (right).,3,0.580239,0.330239,high,paper::sent::133,text_item,The microstructure of EPBF fabricated components has distinct characteristics that appear to be dependent on build orientation (Fig. 3(B)).
image_0002,3,../02_images/figures/image_0002.jpg,Fig. 3. Dimensions of cuboids and hexagonal tensile specimens in CAD before up-scaling in mm (left) and actual binder-jetted hexagonal tensile specimens and cuboids after sintering (right).,4,0.580179,0.330179,high,paper::sent::66,text_item,"As shown in Fig. 2(e)(h) and Fig. 3, the porosity of the samples fabricated with the layer thickness of 30 µm is significantly reduced."
image_0002,3,../02_images/figures/image_0002.jpg,Fig. 3. Dimensions of cuboids and hexagonal tensile specimens in CAD before up-scaling in mm (left) and actual binder-jetted hexagonal tensile specimens and cuboids after sintering (right).,5,0.577987,0.327987,high,paper::sent::81,text_item,Microstructure evolution shown in Figs. 3(f)(h) demonstrate that the homogenizations at 1180 °C for a long time can promote more NbC carbide formation.
image_0003,4,../02_images/figures/image_0003.jpg,Fig. 4. Overview of the applied process-chains of MAR M247 specimen made by Binder Jetting.,1,0.531793,0.281793,high,paper::sent::51,text_item,"In Fig. 4, an overview of the experimental procedure, including the applied process-chains in this work, is shown."
image_0003,4,../02_images/figures/image_0003.jpg,Fig. 4. Overview of the applied process-chains of MAR M247 specimen made by Binder Jetting.,2,0.518932,0.268932,high,paper::sent::89,text_item,Fig. 4 illustrates the EBSD information of the as-built sample.
image_0003,4,../02_images/figures/image_0003.jpg,Fig. 4. Overview of the applied process-chains of MAR M247 specimen made by Binder Jetting.,3,0.514409,0.264409,high,paper::sent::100,text_item,"As shown in Fig. 4(a), there seems to be three carbon layers around the SiC fiber."
image_0003,4,../02_images/figures/image_0003.jpg,Fig. 4. Overview of the applied process-chains of MAR M247 specimen made by Binder Jetting.,4,0.513977,0.263977,high,paper::sent::36,text_item,The latter situation requires appropriate submodels that describe the evolving fractions (e.g. of the twinned volume) and the interactions of coexisting and competing deformation mechanisms at the same field point (Fig. 4).
image_0003,4,../02_images/figures/image_0003.jpg,Fig. 4. Overview of the applied process-chains of MAR M247 specimen made by Binder Jetting.,5,0.508587,0.258587,high,paper::sent::85,text_item,"IPF figures obtained using EBSD for specimens manufactured at 0°, 30° and $9 0 ^ { \circ }$ are presented in Fig. 4."
image_0004,5,../02_images/figures/image_0004.jpg,Fig. 5. Technical drawing of the machined tensile specimens.,1,0.539816,0.289816,high,paper::sent::96,text_item,"Fig. 5 displays the surface roughness at varying grinding speeds, demonstrating a trend where roughness decreases initially and then increases."
image_0004,5,../02_images/figures/image_0004.jpg,Fig. 5. Technical drawing of the machined tensile specimens.,2,0.531169,0.281169,high,paper::sent::93,text_item,"Fig. 5(a) and (c) show typical OM images of cross sections of R6 and R1, respectively."
image_0004,5,../02_images/figures/image_0004.jpg,Fig. 5. Technical drawing of the machined tensile specimens.,3,0.529534,0.279534,high,paper::sent::40,text_item,"As presented in Supplementary Fig. 5 and Supplementary Tables 2 and 3, the as-printed holes and rods show high dimensional accuracy with very small experimental errors, indicating a high printability of the CCIMA."
image_0004,5,../02_images/figures/image_0004.jpg,Fig. 5. Technical drawing of the machined tensile specimens.,4,0.529497,0.279497,high,paper::sent::162,text_item,"As shown in Fig. 5(b), the DOC determines the interaction position between the cutting edge and the SiC particles."
image_0004,5,../02_images/figures/image_0004.jpg,Fig. 5. Technical drawing of the machined tensile specimens.,5,0.529109,0.279109,high,paper::sent::80,text_item,"Fig. 5 (a, b) records the variation of friction coefficients of ZC20, MC20, and YC20 coatings with time at room temperature and 900 °C."
chart_0005,6,../02_images/figures/chart_0005.jpg,Fig. 7 principle. The error bars represent the respective standard deviations.,1,0.532534,0.282534,high,paper::sent::102,text_item,"The 10° specimens had a significant influence on regression curves and were therefore omitted from a supplementary S-N curve to analyse their impact on the overall data set (Fig. 7, Bottom)."
chart_0005,6,../02_images/figures/chart_0005.jpg,Fig. 7 principle. The error bars represent the respective standard deviations.,2,0.52229,0.27229,high,paper::sent::125,text_item,A comparison of the rate independent fracture toughness values for both IHE and HEE as a function of bulk hydrogen concentration is shown in Fig. 7.
chart_0005,6,../02_images/figures/chart_0005.jpg,Fig. 7 principle. The error bars represent the respective standard deviations.,3,0.514139,0.264139,high,paper::sent::165,text_item,"Fig. 7a,b displays the temporal creep strain evolution curves of Al-Zr-Ce-Cu alloy at 200 °C in compression in the as-fabricated and two-stepaged states (Fig. 7)."
chart_0005,6,../02_images/figures/chart_0005.jpg,Fig. 7 principle. The error bars represent the respective standard deviations.,4,0.514036,0.264036,high,paper::sent::85,text_item,"For comparison, Fig. 7 gives a series of EBSD maps of the undeformed and deformed (\~28 % plastic strain) HT-HEAs as well as the AP-HEA deformed to \~30 % plastic strain."
chart_0005,6,../02_images/figures/chart_0005.jpg,Fig. 7 principle. The error bars represent the respective standard deviations.,5,0.513279,0.263279,high,paper::sent::151,text_item,"The results shown in Fig. 7 reveal that the model is able to capture the expected trends — for a given number of cycles, the higher the hydrogen concentration, the larger the crack extension."
chart_0006,7,../02_images/figures/chart_0006.jpg,(a); (c),1,0.38922,0.33922,low,paper::sent::126,text_item,"Refractory elements Mo and Cr cause active solid s0 lution hardening in Ni-based superalloys, and have higher moduli and melting temperatures than Nb."
chart_0006,7,../02_images/figures/chart_0006.jpg,(a); (c),2,0.384483,0.334483,low,paper::sent::209,text_item,"Due to the large difference in thermal expansion coefficient and elastic modulus between SiC particles and Al matrix, residual stress is produced during temperature change or material deformation."
chart_0006,7,../02_images/figures/chart_0006.jpg,(a); (c),3,0.384236,0.334236,low,paper::sent::154,text_item,"Schloffer et al. and Wang et al. reported that the ${ \mathfrak { o } } _ { 0 }$ phase is transformed from the β phase during isothermal treatment at temperature range from 973 K to 1098 K and significantly increases the hardness of the β phase [51,52]."
chart_0006,7,../02_images/figures/chart_0006.jpg,(a); (c),4,0.382401,0.332401,low,paper::sent::83,text_item,"In agreement with the literature, this study found that very high sintering temperatures (1290 and $1 3 0 0 ^ { \circ } \mathrm { C } )$ resulted in pore coarsening and consequently lower density."
chart_0006,7,../02_images/figures/chart_0006.jpg,(a); (c),5,0.382118,0.332118,low,paper::sent::113,text_item,"Besides, the introduction of $\mathrm { L C F E } _ { 2 }$ simultaneously improves the intrinsic thermal conductivity of the $\mathtt { L C F E } _ { 2 } \mathtt { - B A D C y }$ resin (Fig."
image_0007,8,../02_images/figures/image_0007.jpg,(c); Fi condition. The enlarged views show an additional magnification of 2.4x and traced contours.,1,0.366387,0.316387,low,paper::sent::176,text_item,The interactions between dislocations and precipitates in sample AM12h are found to follow both Orowan bowing and dislocation cutting mechanisms.
image_0007,8,../02_images/figures/image_0007.jpg,(c); Fi condition. The enlarged views show an additional magnification of 2.4x and traced contours.,2,0.365565,0.315565,low,paper::sent::210,text_item,The decreased density of HAGB leads to a rising average grain size of the microstructure of the CoCrFeNi HEAs.
image_0007,8,../02_images/figures/image_0007.jpg,(c); Fi condition. The enlarged views show an additional magnification of 2.4x and traced contours.,3,0.364109,0.314109,low,paper::sent::174,text_item,unidirectional (UD) SiCf/SiC composites with CVI BN interphase were fabricated by PIP process.
image_0007,8,../02_images/figures/image_0007.jpg,(c); Fi condition. The enlarged views show an additional magnification of 2.4x and traced contours.,4,0.363882,0.313882,low,paper::sent::150,text_item,XRD and SEM analyses of samples (S0-S70) revealed microstructural evolution.
image_0007,8,../02_images/figures/image_0007.jpg,(c); Fi condition. The enlarged views show an additional magnification of 2.4x and traced contours.,5,0.363798,0.313798,low,paper::sent::178,text_item,Post-creep microstructures were characterized using TEM to gain insight into the precipitate-dislocation interaction nature and the dynamic recovery processes.
