figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
image_0000,1,../02_images/figures/image_0000.jpg,". figure legend, the reader is referred to the web version of this article.)",1,0.380718,0.330718,low,paper::sent::5,text_item,"Anin-deph microstructure analysis of the deformation and fracture mechanisms o the as-printed sample was performed vi Scannig Electron Microscopy (), Electron Backscater Diffaction (E) n TranissEleco coy TEM)."
image_0000,1,../02_images/figures/image_0000.jpg,". figure legend, the reader is referred to the web version of this article.)",2,0.379643,0.329643,low,paper::sent::10,text_item,"This study elucidates superior high-temperature mechanical properties and nano-scale microstructural stability of LPBF-fabricated Al-Cu-Li-Sc-Zr alloy, offering valuable insights into grain boundary pinning effects and constrained diffusion rates for alloy design."
image_0000,1,../02_images/figures/image_0000.jpg,". figure legend, the reader is referred to the web version of this article.)",3,0.377143,0.327143,low,paper::sent::75,text_item,It can be seen that the introduction of 1 wt% Zr element in H230 alloy transforms the carbides from $\mathtt { M } _ { 6 } \mathtt { C }$ to ZrC in the heat-treated microstructure.
image_0000,1,../02_images/figures/image_0000.jpg,". figure legend, the reader is referred to the web version of this article.)",4,0.376833,0.326833,low,paper::sent::40,text_item,Wu et al. (2019) investigated the mechanisms of chip formation and subsurface damage by the microstructure-based model.
image_0000,1,../02_images/figures/image_0000.jpg,". figure legend, the reader is referred to the web version of this article.)",5,0.376593,0.326593,low,paper::sent::12,text_item,These findings provide valuable insights for developing multiprincipal element alloys with heterogeneous microstructures for advanced engineering applications.
image_0001,2,../02_images/figures/image_0001.jpg,"Fig. 2. Microstructures of the as-annealed $\mathbf { A l C o C r F e N i _ { 2 . 1 } }$ EHEA. (a) SEM morphology of the multiple-order hierarchical multi-phase structure. (b) BF-TEM image $( \mathbf { c } , \mathbf { d } )$ SAED references to colour in this figure legend, the reader is referred to the web version of this article.)",1,0.567054,0.317054,high,paper::sent::65,text_item,Fig. 2 shows (a) a typical SEM image and (b) particle diameter distribution of the raw powder.
image_0001,2,../02_images/figures/image_0001.jpg,"Fig. 2. Microstructures of the as-annealed $\mathbf { A l C o C r F e N i _ { 2 . 1 } }$ EHEA. (a) SEM morphology of the multiple-order hierarchical multi-phase structure. (b) BF-TEM image $( \mathbf { c } , \mathbf { d } )$ SAED references to colour in this figure legend, the reader is referred to the web version of this article.)",2,0.562094,0.312094,high,paper::sent::73,text_item,"Furthermore, Fig. 2(e) exhibits the TEM images of the initial microstructures, it is obvious that the size of $\gamma ^ { \prime }$ phases in DC is smaller than those in IR due to the segregation of $\gamma ^ { \prime }$ forming elements [47]."
image_0001,2,../02_images/figures/image_0001.jpg,"Fig. 2. Microstructures of the as-annealed $\mathbf { A l C o C r F e N i _ { 2 . 1 } }$ EHEA. (a) SEM morphology of the multiple-order hierarchical multi-phase structure. (b) BF-TEM image $( \mathbf { c } , \mathbf { d } )$ SAED references to colour in this figure legend, the reader is referred to the web version of this article.)",3,0.560473,0.310473,high,paper::sent::83,text_item,"In order to clarify the effect of LAG on the microstructure, we performed SEM characterizations on the longitudinal section (RD-ND plane) of the N1 alloy at HOMO, CR, LH and LAG states, respectively, as shown in Fig. 2(b)."
image_0001,2,../02_images/figures/image_0001.jpg,"Fig. 2. Microstructures of the as-annealed $\mathbf { A l C o C r F e N i _ { 2 . 1 } }$ EHEA. (a) SEM morphology of the multiple-order hierarchical multi-phase structure. (b) BF-TEM image $( \mathbf { c } , \mathbf { d } )$ SAED references to colour in this figure legend, the reader is referred to the web version of this article.)",4,0.556635,0.306635,high,paper::sent::65,text_item,Fig. 2 shows the overall viewing (observation direction parallels the building direction) of microstructures of as-built alloy ZGH451 obtained by SEM and TEM.
image_0001,2,../02_images/figures/image_0001.jpg,"Fig. 2. Microstructures of the as-annealed $\mathbf { A l C o C r F e N i _ { 2 . 1 } }$ EHEA. (a) SEM morphology of the multiple-order hierarchical multi-phase structure. (b) BF-TEM image $( \mathbf { c } , \mathbf { d } )$ SAED references to colour in this figure legend, the reader is referred to the web version of this article.)",5,0.556301,0.306301,high,paper::sent::100,text_item,"Powders near melt zones showed larger sizes than distal regions (S-Fig. 2 b), with SEM confirming irregular oversized particles in melt-adjacent areas (S-Fig. 2b2-3)."
image_0002,3,../02_images/figures/image_0002.jpg,( showing the element distributions across the NT FCC precipitate and B2-matrix.,1,0.372866,0.322866,low,paper::sent::73,text_item,"It's noteworthy that the equiaxed grains observed in TEM and TKD results could be as small as a few hundred nanometers, indicating the presence of a nanoscale structure in the LPBF-fabricated Al-Cu-Li-Sc-Zr alloy."
