figure_id,figure_index,figure_path,caption,top1_score,top1_confidence,top1_text,top2_score,top2_confidence,top2_text,top3_score,top3_confidence,top3_text,top4_score,top4_confidence,top4_text,top5_score,top5_confidence,top5_text
image_0000,1,../02_images/figures/image_0000.jpg,Fig. 1. Microstructural characteristics of ZGH451 powders and process of DED: (a) SEM morphology of powders; (b) size distribution of powders; (c) schematic diagram of the additive manufacturing process.,0.532625,high,"A possible alternative technology is solid-state batteries, shown exemplarily in Figure 1.",0.532378,high,"The fine distribution of metastable ternary phases (Al-Ni-M, M = Er, Zr, Y, Yb) through rapid solidification serves as the source for the reactive elements, enabling nano-meter scale precipitation of a high phase percentage of $[ \boldsymbol { 1 } _ { 2 } \mathbf { - A l } _ { 3 } \boldsymbol { \mathrm { M } } \ ( \boldsymbol { \mathrm { M } } = \boldsymbol { \mathrm { E r } } , \boldsymbol { \mathrm { Z r } } , \boldsymbol { \mathrm { Y } } ,$ b) strengthening phases (Figures 1 and 3).",0.530159,high,"In addition, the effects of introduction of preFABPBO interfacial compatibilizer on the mechanical properties, wave-transparent performances, insulation properties, and heat resistances of PBO fibers/FABPBO-BADCy composites (Figure 1) are investigated, and the corresponding microscopic action mechanism of the preFABPBO interfacial compatibilizer is further discussed.",0.529621,high,"A schematic diagram is shown in Fig. 1, where we show that the models may capture the structural features of grain boundaries.",0.527185,high,Fig. 1 shows an image of representative tensile sample.
image_0001,2,../02_images/figures/image_0001.jpg,F . .,0.386049,low,Amato et al. described the microstructure of HIPed Inconel 625 processed by LPBF as consisting of a NiCr equiaxed grains with the presence of annealing twins.,0.374128,low,"Notably, distinct microstructural variations are evident in CoCrNi(Al0.6TiFe)0.4 and CoCr-Ni(Al0.6TiFe)0.5 alloys, where micrometer-sized BCC precipitates are observed within the primary dendritic network.",0.372779,low,Chen et al.[24] developed an effective ultrasonic surface rolling process technology to improve the fatigue life of AM-processed CoCrNi alloy.,0.367055,low,It is believed that rupture life and ductility can be improved by enveloping the brittle grain boundary carbides and therefore retarding crack initiation at high temperatures[39].,0.362871,low,"Despite the microstructural and room temperature mechanical similarities between the two alloys, LSHR presents significantly better creep properties."
image_0002,3,../02_images/figures/image_0002.jpg,"$( \mathsf { b } , \mathsf { b } _ { 1 } )$ mean",0.361212,low,The grain size distribution was quantified using the image analysis software ImageJ.,0.360467,low,EBSD analysis was performed with a step size of 0.2 µm to analyze the grain size distribution and generated the kernel average misorientation (KAM) map.,0.358183,low,"Yb2SiO5) exhibited high sphericity and a particle size distribution of approximately 1155 µm (reported in our previous work, Ref. [34]), which is suitable for PS-PVD process to prepare dense coatings.",0.356419,low,"Prior to investigating the GB, we first analyzed the bulk region of α-iron.",0.355631,low,"The maximum concentration of the element Co inside the nanolayer can reach \~50.64 ± 1.23 at. %, which is much higher standard deviation of atomic fraction of each element. c Atomic-resolution STEM-HAADF image illustrating the atomic structures of the DINL and grain interior, the corresponding FFT images (insets in c) showing the disordered structure of the DINL and ordered structure of grain interior."
chart_0003,4,../02_images/figures/chart_0003.jpg,rate-stress rupture strain curve; (d) stress rupture strain rate-stress rupture time curve.,0.369981,low,"The corrosion current densities $( i _ { \mathrm { c o r r } } )$ of the Cu-free and Cu-containing steels are measured at $7 . 6 \times 1 0 ^ { - 7 }$ and $3 . 8 \times 1 0 ^ { - 7 } \mathrm { A } { \cdot } \mathrm { c m } ^ { - 2 }$ ,respectively.",0.369336,low,"Pyczak et al. [34] reported that in the Ni-based alloys with $1 0 – 3 0 \mathrm { v o l } . \% \mathrm { C r } , \mathrm { C r } _ { 2 } 0 _ { 3 }$ was observed as external scales above the grain boundaries in addition to internal $\mathrm { C r } _ { 2 } \mathrm { O } _ { 3 } ,$ which are both expected to form in our sintered parts with 21.2 wt.% of Cr [34].",0.368138,low,The effects of reverted austenite on the ductility are evaluated by the total elongation (TE).,0.367792,low,"Experimentally, we demonstrated that both increasing the CAM particle size and reducing the SE particle size are effective ways to achieve a larger λ and therefore higher $f _ { \mathrm { C A M } }$ It may seem counterintuitive that a larger cathode particle size actually improves performance as larger particle sizes are associated with longer diffusion paths.",0.366348,low,"This indicates that decomposition reactions have occurred within the heterogeneous cathode, accounting for the rapid capacity decay and short cycle life of ASLBs with NCM811 heterogeneous cathodes."
image_0004,5,../02_images/figures/image_0004.jpg,Fi. 7 mostrucures; ( SM mage of carbide on GBs and EDS mapping of the distribuio of elements.,0.380931,low,"The corresponding FFT pattern reveals stacking faults habit plane is (001). e An inverse FFT image masking circled diffraction spots shows lattice distortion around stacking faults with some additional half planes, indicating the existence of dislocations. f An HRTEM micrograph for the Al9(Fe,Co,Ni)2 particle in (b) slightly off the pillar top with planar defects.",0.377707,low,"Yadollahi et al. reported a surface defect layer of approximately 200 µm [62] and in this research > 200 µm was removed on average in the polishing process (Section 2.4), thus suggesting the improvement in fatigue performance is truly attributed to the elimination of surface defects.",0.376649,low,"Similar enrichment/- segregation behaviors at the inter-dendritic and grain boundaries (GBs) have been often found in some other AM-fabricated metallic materials [36,4345].",0.375003,low,TEM observations were used to study the microstructural evolution in the parallelepiped domains with tensile strains in ${ \sf G S } _ { 5 } ^ { 1 }$ sample.,0.37453,low,"The previously expanded bifurcated cracks interconnected to form interlaminar cracks at $\mathrm { Y b } _ { 2 } \mathrm { S i } _ { 2 } \mathrm { O } _ { 7 } / \mathrm { Y b } _ { 2 } \mathrm { S i O } _ { 5 }$ interface, illustrating that continuing thermal cycling tests could pose a risk of spalling for the top Yb2SiO5 layer."
image_0005,6,../02_images/figures/image_0005.jpg,msucure; ( mag ocbie on s and S mapp of he distuion o elements.,0.391499,low,"The corresponding FFT pattern reveals stacking faults habit plane is (001). e An inverse FFT image masking circled diffraction spots shows lattice distortion around stacking faults with some additional half planes, indicating the existence of dislocations. f An HRTEM micrograph for the Al9(Fe,Co,Ni)2 particle in (b) slightly off the pillar top with planar defects.",0.380928,low,TEM findings of the CoCrNi(Al0.6TiFe)0.5 alloy after deformation are illustrated in Fig.,0.378856,low,"To gain deeper insight into the unique strengthening effect from the one-dimensional architecture of the nano-whiskers, TEM observations were performed on both in-situ tensile test and post-deformation specimens.",0.378846,low,"These findings suggest that the dislocation density in LPBF-fabricated CoCrFeNi HEA microstructures is related to the fraction of the crystal boundary, which, in turn, is associated with the grain size.",0.377053,low,Previous work investigating the role of microstructure on fracture suggested that grain boundary carbides increase the degree o embrittlemen these alloys.
image_0006,7,../02_images/figures/image_0006.jpg,Fi. 10. tion mechanism.,0.375741,low,(ii) The hydrogen-assisted fatigue crack growth behavior of the two relevant regions of a 42CrMo4 steel weld the base steel (BS) and the coarse grain heat affected zone (CGHAZ).,0.363996,low,A fine microstructure with dispersed carbides contributes to a higher strength of the alloy but potentially reduces the ductility because they can act as crack initiation sites [39].,0.362875,low,"In short, the excellent corrosion resistance of aged alloys can be attributed to the nanoscale amorphous passive film with $\mathrm { C r } _ { 2 } 0 _ { 3 } , \mathrm { A l } _ { 2 } 0 _ { 3 } ,$ and $\mathrm { T i O } _ { 2 }$ as the main constituents that are strongly adhered to the alloy matrix.",0.362344,low,Previous work investigating the role of microstructure on fracture suggested that grain boundary carbides increase the degree o embrittlemen these alloys.,0.361841,low,"In this study, a novel Fe-Ni-Co-Cr-Ti-Mo UHSS was developed through Cu alloying, resulting in superior tensile properties, antibacterial efficacy, and corrosion resistance."
image_0007,8,../02_images/figures/image_0007.jpg,Fi . 1. mechanism.,0.36817,low,(ii) The hydrogen-assisted fatigue crack growth behavior of the two relevant regions of a 42CrMo4 steel weld the base steel (BS) and the coarse grain heat affected zone (CGHAZ).,0.368138,low,"These findings suggest that, in addition to the cristobalite phase transition temperature, at temperatures above 700 °C, CMC/m-TGO interface experiences substantial residual stress, making it a favorable stage for crack initiation, whereas that at m $\mathrm { \cdot T G O / Y b } _ { 2 } \mathrm { S i } _ { 2 } \mathrm { O } _ { 7 }$ interface occurs above 1000 °C.",0.367665,low,"In short, the excellent corrosion resistance of aged alloys can be attributed to the nanoscale amorphous passive film with $\mathrm { C r } _ { 2 } 0 _ { 3 } , \mathrm { A l } _ { 2 } 0 _ { 3 } ,$ and $\mathrm { T i O } _ { 2 }$ as the main constituents that are strongly adhered to the alloy matrix.",0.366842,low,A fine microstructure with dispersed carbides contributes to a higher strength of the alloy but potentially reduces the ductility because they can act as crack initiation sites [39].,0.366243,low,"However, the room temperature elongation of 4.82% in the CL sample indicates that while the synergy between strength and ductility in the heterogeneous structure of the Sc/Zr modified Al-Cu-Li alloy is effective, it is insufficient to offset the reduction in plasticity caused by the substantial precipitation of hard and brittle $\mathsf { A l } _ { 3 } ( \mathsf { L i } , \mathsf { S c } , \mathsf { Z r } )$ precipitates, revealing a limitation in enhancing ductility."
chart_0008,9,../02_images/figures/chart_0008.jpg,Fig. 12. types of voids; (b) the content and diameter of voids.,0.547878,high,The high dislocation density AlMgSc alloy was formed in USP-assisted LPBF (Figure 12(b)).,0.540545,high,"Last but not least, compared with other HSs (Fig. 12), the global strain concentration of the improved Sample D is more distributed, accompanied by a lower magnitude (Fig. 14(d) and (e)) and multi-necking (Fig. 14(f)), resulting in further improved work hardening and ductility.",0.515291,high,"Moreover, the topological inversion phenomenon also weakens the strength of IR based on the results of Eq. (11) and reduces the number of $\gamma / \gamma ^ { \prime }$ interfaces, making the propagation of cracks concentrated in IR and terminated on DC (illustrated in Fig. 12).",0.491526,high,"This is backed by the observation that Sample B shows multiple necking locations (Fig. 12(b)) and better ductility compared with the baseline Sample A (Fig. 12(a), Fig. 2(a)), despite of their similar lamella",0.491415,high,"Besides, Mg network structures in both CGs and FEGs regions are eliminated, concomitant with the formation of uniformly distributed $\mathrm { M g } _ { 2 } \mathrm { S i }$ nanoprecipitates (Figures 12(c), (e), and (f))."
chart_0009,10,../02_images/figures/chart_0009.jpg,"Fig. 13. Comparison of stress rupture properties based upon Larson-Miller parameter of reported heat-treated alloy IN718, ABD-900AM, CM247LC [88], and various states of alloy ZGH451.",0.557391,high,"However, the LPBF and HAM samples have an obvious Portevin-Le Chatelier (PLC) effect, as shown in Figure 13(a).",0.541538,high,"Figures 13(c) and (d) along with Supplementary Table S3 show the mechanical properties of Al alloys processed by LPBF, casting, and wrought methods reported in existing literature.",0.52925,high,"Figure 13(a) shows the engineering tensile stress-strain curve of the LPBF, LPBF-HT, HAM, and HAM-HT samples (repeated engineering tensile stress-strain curves are shown in Supplementary Figure S6).",0.518744,high,"Hence, the self-developed advanced alloy ZGH451 (fabricated by DED or selective laser melting (SLM)) with excellent microstructures at the as-built state and heat treatment (650 °C/4 h, AC (stress relief annealing) + 1200 °C/180 MPa/2 h, AC (HIP)) state both exhibit superior stress rupture properties compared to the recently reported [88] alloy ABD-900AM and commercial alloys IN718 and CM247LC based on the results of Larson-Miller Parameter (LMP) plot (Fig. 13), defined as:",0.518195,high,Figure 13(b) and Table 1 summarise the tensile results of different samples.
