figure_id,figure_index,figure_path,caption,top1_score,top1_confidence,top1_text,top2_score,top2_confidence,top2_text,top3_score,top3_confidence,top3_text,top4_score,top4_confidence,top4_text,top5_score,top5_confidence,top5_text
image_0000,1,../02_images/figures/image_0000.jpg,(a) Full specimen geometry; (b) Symmetric half-model; Symmetric half-model with symmetry boundary conditions applied to the right edge.,0.375894,low,"As n approaches 1, the CPE behaves like an ideal capacitor.",0.3724,low,"The capacitance element is replaced with a constant phase element (CPE), which is expressed as:",0.371823,low,"Two primary microstructural features that need to be minimized are the inverse of diffusion resistivity (the denominator of Equation 2, Methods Section) and the misfit strain of the $\mathbf { L } \mathbf { 1 } _ { 2 }$ phases; as described above, the product is considered as the coarsening metric $\frac { \mathrm { { M i s f i t s t r a i n } } } { { \sum _ { i = 2 } ^ { N } { ( \bar { C } _ { i } ^ { \beta } - \bar { C } _ { i } ^ { \alpha } ) } ^ { 2 } } / { M _ { i } } }$ .",0.369616,low,"The axial direction of SiC fibers is perpendicular to the electric field in F0, so the conductivity of F0 is the same as that of epoxy which is a typical insulator [30].",0.368497,low,"The axial direction of SiC fiber is parallel and perpendicular to the direction of electric field in F90 and F0, respectively, during the dielectric test."
chart_0001,2,../02_images/figures/chart_0001.jpg,(a) Force-displacement response,0.372945,low,The corrected force—displacement curves show excellent agreement with LEFM.,0.3678,low,The nonlinear relationship between the dimensionless resistivity and dimensionless position on a logarithmic scale (Fig.,0.36693,low,"Including an ""age-hardening"" step at 1000 °C (HIP1 + HT4) resulted in a uniformly distributed bi-modal distribution of the $\gamma ^ { \ast } .$ -precipitates as compared to the as-sintered condition.",0.36538,low,"For the quantitative strain/ stress analyses of the deformed copper nanocomposite (with an applied strain of -3%), cross-correlation-based EBSD was conducted to measure the elastic strain fluctuation and local misorientation characteristics.",0.365129,low,The domain size gradient observed in the gradient layer is expected to affect the $\gamma \to a ^ { \prime }$ -martensitic transformation and consequently the TRIP effect during the tensile testing.
chart_0002,3,../02_images/figures/chart_0002.jpg,(b) Lagrange multiplier evolution,0.367701,low,The domain size gradient observed in the gradient layer is expected to affect the $\gamma \to a ^ { \prime }$ -martensitic transformation and consequently the TRIP effect during the tensile testing.,0.362897,low,Gutierrez-Urrutia et al. [61] further evaluated the grain size dependence on the twin stress using a Hall-Petch relationship.,0.362439,low,A dog-bone-shaped tensile specimen with nominal gauge dimensions of 2 mm (length) × 1.2 mm (width) x 1 mm ( thickness) was loaded at a constant strain rate of $5 \times 1 0 ^ { - 4 } \mathsf { s } ^ { - 1 }$ Specimens for synchrotron-diffraction tensile tests were prepared following the same procedures as those for the tensile tests mentioned above.,0.361477,low,We conclude the results section by comparing model predictions with S-N curves obtained from uniaxial tension-compression fatigue experiments on smooth samples.,0.360989,low,A finely dispersed bimodal distribution of $\gamma ^ { \ast }$ -precipitates is known to improve the high-temperature strength and creep performance through the retardation of crack growth.
chart_0003,4,../02_images/figures/chart_0003.jpg,with displacement.; (a) Force-displacement curves for both solvers compared with LEFM theory.,0.375248,low,"To evaluate this, we compare the analytical LEFM solution with phase-field results (for a simulation with $a _ { 0 } ~ = ~ 0 . 3$ mm and $l ~ = ~ 0 . 0 0 2 5$ mm) using three different crack length definitions: direct integration of thecrack surface function $\gamma ,$ the Bourdin correction, and the skeletonization measurement technique.",0.373252,low,"However, the simulated peak force for the phasefield solvers is higher than the LEFM prediction.",0.370402,low,"Next, the phase-field approach is applied to the center-cracked specimen to investigate the influence of the length scale parameter l and the initial crack length $a _ { 0 } . \mathrm { A }$ series of simulations were performed using two length scale parameters: $l _ { 1 } = 0 . 0 2 5$ mm and $l _ { 2 } = 0 . 0 0 2 5$ mm.",0.370085,low,"To facilitate a direct and faithful comparison with the LEFM solution, the results from the phase-field simulations have been adjusted.",0.367662,low,"Subsequently, to validate the LEFM solution numerically, a series of pure linear elastic simulations are performed by explicitly defining the crack in the mesh."
chart_0004,5,../02_images/figures/chart_0004.jpg,(b) Corrected force-displacement curves showing improved agreement with LEFM.; Corrected methodology showing improved agreement with LEFM predictions.,0.364732,low,Comparing the high difference of NN errors compared to linear regression (0.2 vs 20) clearly shows that there are non-linear effects that influence the coarsening metrics.,0.364132,low,"Despite the scatter typically associated with these experiments, the Virtual SN curves predicted are in good agreement with the measured data.",0.362969,low,"The uncertainty of both $\mathbf { L } \mathbf { 1 } _ { 2 }$ phase percentage and coarsening metric was then quantified, and it was shown that even with the change of elemental concentration up to 50%, these two descriptors will not change more than 5% with 99% confidence (Figure S10, Supporting Information).",0.361957,low,We conclude the results section by comparing model predictions with S-N curves obtained from uniaxial tension-compression fatigue experiments on smooth samples.,0.361287,low,Parameter-free predictions of the impact of hydrogen on the S-N curves reveal a promising agreement with experiments.
chart_0005,6,../02_images/figures/chart_0005.jpg,(a) Center-cracked tension specimen geometry and loading.,0.368863,low,"The corrosion current densities $( i _ { \mathrm { c o r r } } )$ of the Cu-free and Cu-containing steels are measured at $7 . 6 \times 1 0 ^ { - 7 }$ and $3 . 8 \times 1 0 ^ { - 7 } \mathrm { A } { \cdot } \mathrm { c m } ^ { - 2 }$ ,respectively.",0.358789,low,The thermophysical properties (and the temperaturedependent thermophysical parameters) of copper and $\mathtt { B 4 C }$ are listed in Supplementary Tables 2-4.,0.357937,low,Precipitates in alloys at high number densities $( 1 0 ^ { 2 0 } – 1 0 ^ { 2 4 } / \mathsf { m } ^ { 3 } ) ^ { 3 4 }$ usually scatter electrons and reduce electrical conductivity.,0.357893,low,Mechanical properties of as-EBM alloy at room temperature exhibited strong plastic anisotropy depending on θ.,0.357403,low,"The Cu-containing steel shows a much higher density of Ni3Ti precipitates $( 9 . 8 \times 1 0 ^ { 2 3 } \mathrm { m } ^ { - 3 } )$ compared to the Cu-free steel $( 1 . 9 \times 1 0 ^ { 2 3 }$ $\mathbf { m } ^ { - 3 } ) ,$ accompanied by a significant increase in precipitate volume fraction."
chart_0006,7,../02_images/figures/chart_0006.jpg,"(b) Quarter-symmetry FEM model with boundary conditions.; Fig. 4. Schematic of the center-cracked tension test specimen. (a) Full geometry, showing dimensions and loading configuration. (b) Quarter-symmetry finite element model.",0.567772,high,"The satisfactory ductility and work hardening ability can be primarily attributed to the HDI hardening [34,35,6062] (which owing to the formation of a large number of GNDs at the gradient and heterogeneous interfaces caused by the strain distribution and stress transfer between the different gradient regions (Fig. 2(b) and Fig. 4)), remarkable TWIP effect and dislocation slip (Fig. 5).",0.549988,high,"Furthermore, the surface of the melt tracks is relatively smooth (Fig. 3(b) and panels ii to v of Fig. 4(a)).",0.549484,high,"However, as for the HT-HEA, we found a distinctly different cellular microstructure that contains a dual-phase-structured $( \mathrm { F C C } + \mathrm { L } 1 _ { 2 } )$ wall and a single-phase-structured (FCC) interior (Fig. 4).",0.547344,high,This is the main reason for the presence of a large amount of O phase in the PBF-EB samples (Fig. 4(b)).,0.546966,high,"This increase is attributed to the strengthening caused by grain refinement (Fig. 2(b)), dense LCO-laths and dislocations in the PRX and NRX layers (Fig. 4(b) and (c)), work hardening layer introduced by grinding (Fig. 2(d)) and HDI strengthening caused by the gradient structure."
chart_0007,8,../02_images/figures/chart_0007.jpg,(a) Stiffness vs. crack length.,0.39058,low,"To evaluate this, we compare the analytical LEFM solution with phase-field results (for a simulation with $a _ { 0 } ~ = ~ 0 . 3$ mm and $l ~ = ~ 0 . 0 0 2 5$ mm) using three different crack length definitions: direct integration of thecrack surface function $\gamma ,$ the Bourdin correction, and the skeletonization measurement technique.",0.387657,low,"Additionally, the figure displays the results from the elasticity FEM analysis under force controlled conditions, where the crack was explicitly imposed through boundary conditions as explained in 5.2.1, and the predictions derived from the analytical LEFM solution.",0.383993,low,The corrected force—displacement curves show excellent agreement with LEFM.,0.382854,low,"Notably, without applying a correction for the inherent overestimation of crack length in the phase-field model, the predicted number of cycles is significantly overestimated.",0.380852,low,"• The sensitivity of crack growth rates to loading frequency is mapped, revealing two limit states, as observed experimentally, and predicting a smooth transition in-between."
chart_0008,9,../02_images/figures/chart_0008.jpg,(b) Critical force vs. crack length.,0.388947,low,The crack width was increased from 0.44 µm to 2.01 µm after heat treatment at $9 5 0 ^ { \circ } \mathsf { C } .$ The results shows that the crystallization could be contributed to the crack propagation during heat treatment.,0.381253,low,"Compared with the average equivalent circle diameter (37.9 µm) of crack-free 2195 samples produced by LPBF [34], grains of LPBF AlCuLiScZr alloy were much finer.",0.373139,low,A critical aspect of the analysis is the measurement of crack length and its impact on key fracture metrics.,0.370868,low,"Notably, without applying a correction for the inherent overestimation of crack length in the phase-field model, the predicted number of cycles is significantly overestimated.",0.370525,low,We conclude the results section by comparing model predictions with S-N curves obtained from uniaxial tension-compression fatigue experiments on smooth samples.
chart_0009,10,../02_images/figures/chart_0009.jpg,force-controlled FEM simulations show excellent agreement with the analytical LEFM solutions.; Fig. 6. Force—displacement curves for simulations with a fixed length scale $( l _ { 2 } = 0 . 0 0 2 5$ mm) and three different initial crack lengths. The paths converge after a certain amount of crack growth.,0.563999,high,"Plastic anisotropy of the yield strength shown in the as-EBM alloy at room temperature became small at high temperatures, and the tensile elongation rose rapidly above 700 °C (Fig. 6(d) and (e)).",0.554057,high,The as-EBM alloy built at $\theta = 4 5 ^ { \circ }$ demonstrated the largest tensile elongation (Fig. 6(c)).,0.552838,high,"Fig. 6 shows the force-displacement curves for simulations using the smaller length scale (l2) with varying initial crack lengths $\left( a _ { 0 } \right)$ The results demonstrate that while the initial response depends on ${ \mathit { a } } _ { 0 } ,$ the equilibrium paths converge as the crack propagates, eventually becoming independent of the initial crack size.",0.55211,high,"Figures 6(h)(k) show interlayer USP promotes the formation of low-angle grain boundaries (LAGBs), and the LAGBs content reached the highest in the HAM-HT sample.",0.54805,high,"HR images and FFT analyses in Figure 6(m,n) confirm the identification of the $\mathsf { A l } _ { 3 } ( \mathsf { L i } , \mathsf { S c } , \mathsf { Z r } )$ precipitates."
