figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
image_0000,1,../02_images/figures/image_0000.jpg,(c); .,1,0.35544,0.30544,low,paper::sent::30,text_item,"In this study, we successfully printed a novel CoNiCrFeAlTi-based HEA with cellular structures using the DED approach."
image_0000,1,../02_images/figures/image_0000.jpg,(c); .,2,0.354515,0.304515,low,paper::sent::33,text_item,"Our findings demonstrate that the inherent thermal cycling and rapid solidification of PBF-LB can be leveraged to create an NT microstructure, resulting in exceptional mechanical properties."
image_0000,1,../02_images/figures/image_0000.jpg,(c); .,3,0.351628,0.301628,low,paper::sent::58,text_item,"After staining, the samples were rinsed again with PBS to remove excess dye and immediately imaged using a confocal laser scanning microscope (CLSM)."
image_0000,1,../02_images/figures/image_0000.jpg,(c); .,4,0.35128,0.30128,low,paper::sent::42,text_item,prepare an ideal lamella from a specific area of interest using traditional sampling techniques and (2) obtain high-resolution imaging of nanocrystals in morphology and substructure.
image_0000,1,../02_images/figures/image_0000.jpg,(c); .,5,0.351116,0.301116,low,paper::sent::23,text_item,"With just a single-step thermal stabilization treatment, the microstructural features composed of ordered grain and disordered nanolayer at grain boundary can be achieved."
image_0001,2,../02_images/figures/image_0001.jpg,Fi . a) Schematic representation of DED process. () and (c) show the scan paths in XOZ and XOY planes.,1,0.378337,0.328337,low,paper::sent::33,text_item,"Eda et al. [17] initially proposed that when cutting speeds surpass the static plastic wave propagation speed, plastic deformation on the surface layer of the workpiece material is significantly suppressed."
image_0001,2,../02_images/figures/image_0001.jpg,Fi . a) Schematic representation of DED process. () and (c) show the scan paths in XOZ and XOY planes.,2,0.369368,0.319368,low,paper::sent::12,text_item,"Here, we report a novel hybrid additive manufacturing (HAM) approach to process ultrahigh-strength AlMgSc alloy, which combines laser powder bed fusion (LPBF) with interlayer ultrasonic shot peening (USP)."
image_0001,2,../02_images/figures/image_0001.jpg,Fi . a) Schematic representation of DED process. () and (c) show the scan paths in XOZ and XOY planes.,3,0.368233,0.318233,low,paper::sent::110,text_item,"To overcome these limitations, this section introduces two novel energy-controlled schemes that build upon the crack growth control technique developed in [15] for FFT-based micromechanical solvers, adapting it for general macroscopic boundary value problems."
image_0001,2,../02_images/figures/image_0001.jpg,Fi . a) Schematic representation of DED process. () and (c) show the scan paths in XOZ and XOY planes.,4,0.365766,0.315766,low,paper::sent::25,text_item,"To overcome the limitations of single-layer electrolytes, various research strategies have been proposed, such as the introduction of protective interlayers or the implementation of multi-layered configurations including sandwich-type structures [26,27]."
image_0001,2,../02_images/figures/image_0001.jpg,Fi . a) Schematic representation of DED process. () and (c) show the scan paths in XOZ and XOY planes.,5,0.364204,0.314204,low,paper::sent::19,text_item,"This multiscale nanohybrid architecture not only substantially augmented the surface roughness and surface energy of the fibers, but also promoted superior wettability and interfacial compatibility with the thermoplastic matrix, thereby conferring pronounced enhancements in both the flexural and interlaminar shear strengths of the resulting CF/PBPESK composites [14]."
image_0002,3,../02_images/figures/image_0002.jpg,patterns along the [110] zone axis (Z.A. is denoted as the zone axis).,1,0.376593,0.326593,low,paper::sent::127,text_item,The α-Al composition measured by APT also demonstrates supersaturation of all Zr available in the alloy in α-Al matrix (Table 2).
