figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
image_0000,1,../02_images/figures/image_0000.jpg,(c); (Assembly details grindable K-type thermocouple an schematicdiagram f the data acquisition system.,1,0.39088,0.34088,low,paper::sent::61,text_item,X-ray diffraction (XRD) measuements were performed to obtain the phase transfor- mation information during tensile tests using a Philips Xpert X-ray diffractometer with Cu Kα radiation.
image_0000,1,../02_images/figures/image_0000.jpg,(c); (Assembly details grindable K-type thermocouple an schematicdiagram f the data acquisition system.,2,0.381782,0.331782,low,paper::sent::46,text_item,"X-ray diffractometer (XRD, D8 ADVANCE, Bruker, Germany) with Cu Kα rays $( \lambda = 0 . 1 5 4 0 6$ nm) was used to measure the phase compositions of the samples."
image_0000,1,../02_images/figures/image_0000.jpg,(c); (Assembly details grindable K-type thermocouple an schematicdiagram f the data acquisition system.,3,0.38171,0.33171,low,paper::sent::65,text_item,The phase components of the as-printed samples were identified by an X-ray diffractometer (XRD; Bruker D8 Advance) scanning in the range of 30°90°.
image_0000,1,../02_images/figures/image_0000.jpg,(c); (Assembly details grindable K-type thermocouple an schematicdiagram f the data acquisition system.,4,0.379679,0.329679,low,paper::sent::88,text_item,"Using TENSOR27 FTIR spectrometer (Bruker, Germany) to record fourier transform infrared spectrum in the range of 400—4000 cm−1."
image_0000,1,../02_images/figures/image_0000.jpg,(c); (Assembly details grindable K-type thermocouple an schematicdiagram f the data acquisition system.,5,0.379622,0.329622,low,paper::sent::71,text_item,"X-ray diffraction analysis of the ground surface and subsurface was carried out using a microzone diffractometer (XRD, Rapid-IIR, Rigaku, Japan) with a scanning range of 40° to 100° and an incremental step of 0.02° using a Cu target."
chart_0001,2,../02_images/figures/chart_0001.jpg,"(b); $1 . 3 \times 1 0 ^ { 5 } ^ { \circ } \mathsf { C } / \mathsf { s } ,$ and a cooling rate of $2 . 1 \times 1 0 ^ { 3 } ~ \mathrm { { ^ circ } C / s } .$",1,0.3739,0.3239,low,paper::sent::90,text_item,The results indicated that the appearance of first exothermal peak at 1051 °C in the DSC curves can be attributed to the crystallization of amorphous phase.
chart_0001,2,../02_images/figures/chart_0001.jpg,"(b); $1 . 3 \times 1 0 ^ { 5 } ^ { \circ } \mathsf { C } / \mathsf { s } ,$ and a cooling rate of $2 . 1 \times 1 0 ^ { 3 } ~ \mathrm { { ^ circ } C / s } .$",2,0.370421,0.320421,low,paper::sent::60,text_item,"For the charge and discharge curves at 1.0 C, the shape of the discharge curves changes as the particle sizes increase."
chart_0001,2,../02_images/figures/chart_0001.jpg,"(b); $1 . 3 \times 1 0 ^ { 5 } ^ { \circ } \mathsf { C } / \mathsf { s } ,$ and a cooling rate of $2 . 1 \times 1 0 ^ { 3 } ~ \mathrm { { ^ circ } C / s } .$",3,0.367819,0.317819,low,paper::sent::83,text_item,"Meanwhile, transmission Kikuchi diffraction (TKD) technique was utilized to calibrate information on nanocrystals in the recrystallized layer, with a uniform scanning step of 5 nm, and setting scanning voltage and current to 30 kV and 6.4 nA, respectively."
chart_0001,2,../02_images/figures/chart_0001.jpg,"(b); $1 . 3 \times 1 0 ^ { 5 } ^ { \circ } \mathsf { C } / \mathsf { s } ,$ and a cooling rate of $2 . 1 \times 1 0 ^ { 3 } ~ \mathrm { { ^ circ } C / s } .$",4,0.366603,0.316603,low,paper::sent::66,text_item,The tensile properties of LPBF GH4169 were assessed through a quasi-static tension test (with a strain rate of $2 . 5 \times 1 0 ^ { - 4 } )$ conducted at room temperature.
chart_0001,2,../02_images/figures/chart_0001.jpg,"(b); $1 . 3 \times 1 0 ^ { 5 } ^ { \circ } \mathsf { C } / \mathsf { s } ,$ and a cooling rate of $2 . 1 \times 1 0 ^ { 3 } ~ \mathrm { { ^ circ } C / s } .$",5,0.366431,0.316431,low,paper::sent::92,text_item,"When the calcination temperature reached 850 °C, a single-phase LATP was successfully obtained."
image_0002,3,../02_images/figures/image_0002.jpg,(d); o akex. o.,1,0.388938,0.338938,low,paper::sent::102,text_item,"To further elucidate the excellent comprehensive mechanical properties of the N1-LAG material with gradient structure, detailed TEM characterizations were performed before and after tensile deformation."
image_0002,3,../02_images/figures/image_0002.jpg,(d); o akex. o.,2,0.386323,0.336323,low,paper::sent::74,text_item,"The characterization of the elemental distribution across the lateral passive film, as well as the correlated structural features, were performed on a dual spherical aberrationcorrected (scanning) TEM (Titan Cubed Themis G2 300, FEI) at an accelerating voltage of 300 kV."
image_0002,3,../02_images/figures/image_0002.jpg,(d); o akex. o.,3,0.385489,0.335489,low,paper::sent::63,text_item,The dislocation structures in the tensile-deformed specimens were analyzed by TEM.
image_0002,3,../02_images/figures/image_0002.jpg,(d); o akex. o.,4,0.38396,0.33396,low,paper::sent::79,text_item,"To further reveal the microstructure evolution before and after tensile tests of the studied materials, the JEOL JEM-2100F transmission electron microscope (TEM) was utilized."
image_0002,3,../02_images/figures/image_0002.jpg,(d); o akex. o.,5,0.382162,0.332162,low,paper::sent::70,text_item,Transmission electron microscopy (TEM) investigations were carried out using FEI Tecnai Cube and aberration-corrected Titan G260-300 microscopes.
image_0003,4,../02_images/figures/image_0003.jpg,(c); F retaining the original microstructure.,1,0.381446,0.331446,low,paper::sent::101,text_item,"The selected grain boundaries contain both the carbides and borides, as identified in the SEM and TEM investigations."
image_0003,4,../02_images/figures/image_0003.jpg,(c); F retaining the original microstructure.,2,0.377495,0.327495,low,paper::sent::113,text_item,"Highermagnifi cation observations revealed the formation of small, light-colored precipitates inside the grains and in the grain boundaries with enriched in Nb and C (EDS), suggesting the formation of NbC carbide [2730]."
image_0003,4,../02_images/figures/image_0003.jpg,(c); F retaining the original microstructure.,3,0.376106,0.326106,low,paper::sent::140,text_item,"Additionally, the SAED pattern showed significant α-BCC martensite and γ-FCC austenite in the microstructure of the near-ground surface, but no ε or θ carbides were detected."
image_0003,4,../02_images/figures/image_0003.jpg,(c); F retaining the original microstructure.,4,0.375965,0.325965,low,paper::sent::111,text_item,This study shows that the particle size distribution of $\mathrm { L i } _ { 6 } \mathrm { P S } _ { 5 } \mathrm { C l }$ in solid-state battery composites is a key factor in determining the overall cell performance.
image_0003,4,../02_images/figures/image_0003.jpg,(c); F retaining the original microstructure.,5,0.374271,0.324271,low,paper::sent::75,text_item,Careful examination of the contrast variations in these microstructures reveals the precipitation of particles and various types of carbides and the presence of what we will identify below as grain boundary borides in the boron containing alloys.
image_0004,5,../02_images/figures/image_0004.jpg,primary constituent with trace acicular martensite.; (a),1,0.373218,0.323218,low,paper::sent::70,text_item,"In sharp contrast, the darkfield (DF) TEM image captured from the superlattice reflections of the L12 phase (marked by the yellow circles) demonstrates high-density L12 nanoprecipitation in the wall."
image_0004,5,../02_images/figures/image_0004.jpg,primary constituent with trace acicular martensite.; (a),2,0.366701,0.316701,low,paper::sent::131,text_item,"At the locations with bright spots on the backscatter electron images, the Ni content is low, strongly indicating that these particles are carbides."
image_0004,5,../02_images/figures/image_0004.jpg,primary constituent with trace acicular martensite.; (a),3,0.363878,0.313878,low,paper::sent::94,text_item,"Specifically, the two-beam brightfield TEM images show random distributions of dislocations inside the copper grains, and no discernible dislocation pile-ups are observed at the matrix-nanoparticle interface."
image_0004,5,../02_images/figures/image_0004.jpg,primary constituent with trace acicular martensite.; (a),4,0.361017,0.311017,low,paper::sent::109,text_item,"Considering that the microstructure of the cryptocrystalline region was refined to nanoscale, FIB-TEM was adopted instead of conventional SEM to examine the microstructure accurately."
image_0004,5,../02_images/figures/image_0004.jpg,primary constituent with trace acicular martensite.; (a),5,0.356445,0.306445,low,paper::sent::153,text_item,"As the cycle number increased, the microstructures exhibited an increased presence of bright spots."
image_0005,6,../02_images/figures/image_0005.jpg,(c); Tanio demonstrating randomly oriented refined polycrystals.,1,0.37949,0.32949,low,paper::sent::93,text_item,"The abundant presence of nano-sized precipitates encircling nano-scale equiaxed grains gave rise to a distinctive ring-shaped structure at the nanoscale, while those located along columnar grain boundaries formed a strip-shaped structure."
image_0005,6,../02_images/figures/image_0005.jpg,(c); Tanio demonstrating randomly oriented refined polycrystals.,2,0.374861,0.324861,low,paper::sent::94,text_item,"Despite minor coarsening, these structures were stabilized as the nano-sized precipitates still effectively impeded grain boundary migration, thereby providing robust resistance against grain coarsening."
image_0005,6,../02_images/figures/image_0005.jpg,(c); Tanio demonstrating randomly oriented refined polycrystals.,3,0.369193,0.319193,low,paper::sent::143,text_item,"Pyczak et al. [34] reported that in the Ni-based alloys with $1 0 – 3 0 \mathrm { v o l } . \% \mathrm { C r } , \mathrm { C r } _ { 2 } 0 _ { 3 }$ was observed as external scales above the grain boundaries in addition to internal $\mathrm { C r } _ { 2 } \mathrm { O } _ { 3 } ,$ which are both expected to form in our sintered parts with 21.2 wt.% of Cr [34]."
image_0005,6,../02_images/figures/image_0005.jpg,(c); Tanio demonstrating randomly oriented refined polycrystals.,4,0.369188,0.319188,low,paper::sent::97,text_item,Excessive grain boundary $\gamma$ layers are not observed in the boronfree alloy.
image_0005,6,../02_images/figures/image_0005.jpg,(c); Tanio demonstrating randomly oriented refined polycrystals.,5,0.366462,0.316462,low,paper::sent::138,text_item,The boundaries of grains in this nanocrystalline layer were more distinct compared to other areas.
