figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
chart_0000,1,../02_images/figures/chart_0000.jpg,".; Fig. 2. Cracked square plate, validation in an inert environment: crack extension versus number of cycles and comparison with the results of Kristensen and Martínez-Pañeda [58] and Carrara et al. [52].",1,0.561098,0.311098,high,paper::sent::88,text_item,"Fig. 2 (WA) and 3 (GA), Table 2) show that pores were present in WA BJP samples at all sintering temperatures."
chart_0000,1,../02_images/figures/chart_0000.jpg,".; Fig. 2. Cracked square plate, validation in an inert environment: crack extension versus number of cycles and comparison with the results of Kristensen and Martínez-Pañeda [58] and Carrara et al. [52].",2,0.560622,0.310622,high,paper::sent::82,text_item,"The particle size distribution curves, flowability, and apparent density of powders after multiple recycling cycles are shown in Fig. 2."
chart_0000,1,../02_images/figures/chart_0000.jpg,".; Fig. 2. Cracked square plate, validation in an inert environment: crack extension versus number of cycles and comparison with the results of Kristensen and Martínez-Pañeda [58] and Carrara et al. [52].",3,0.559351,0.309351,high,paper::sent::60,text_item,"Fig. 2 shows the typical stress-displacement curves of SS0, SS90 and PDC SiC for three-point bending test."
chart_0000,1,../02_images/figures/chart_0000.jpg,".; Fig. 2. Cracked square plate, validation in an inert environment: crack extension versus number of cycles and comparison with the results of Kristensen and Martínez-Pañeda [58] and Carrara et al. [52].",4,0.554208,0.304208,high,paper::sent::66,text_item,"The particles have a spherical shape with $K = 0 . 9 4 .$ As shown in Fig. 2(b), the particle size distribution has a single peak with a narrow width, and the mean diameter $( d _ { \mathrm { m } } )$ of the particles is 70.2 µm."
chart_0000,1,../02_images/figures/chart_0000.jpg,".; Fig. 2. Cracked square plate, validation in an inert environment: crack extension versus number of cycles and comparison with the results of Kristensen and Martínez-Pañeda [58] and Carrara et al. [52].",5,0.550769,0.300769,high,paper::sent::90,text_item,Fig. 2 $\mathrm { { d - f ) } }$ since super-solidus liquid phase sintering was active.
chart_0001,2,../02_images/figures/chart_0001.jpg,Fig. 5. Boundary layer model: Hydrogen concentration ahead of a stationary crack tip for three stages of the first load cycle. The results have been obtained under steady state conditions and with load ratio R = 0.,1,0.573134,0.323134,high,paper::sent::96,text_item,The volume fraction of the $\alpha _ { 2 }$ phase appears to be small (Fig. 5(b)).
chart_0001,2,../02_images/figures/chart_0001.jpg,Fig. 5. Boundary layer model: Hydrogen concentration ahead of a stationary crack tip for three stages of the first load cycle. The results have been obtained under steady state conditions and with load ratio R = 0.,2,0.560268,0.310268,high,paper::sent::138,text_item,"Fig. 6 illustrates the variation in time of the hydrogen concentration near the crack tip, at a point located at $r / L _ { 0 } \approx 0 . 2 \times 1 0 ^ { 7 } ;$ as denoted by a star in Fig. 5."
chart_0001,2,../02_images/figures/chart_0001.jpg,Fig. 5. Boundary layer model: Hydrogen concentration ahead of a stationary crack tip for three stages of the first load cycle. The results have been obtained under steady state conditions and with load ratio R = 0.,3,0.558092,0.308092,high,paper::sent::117,text_item,"Fig. 5(d) shows the 1D compositional distribution profile using the 36.5 at.% Co isosurface, which quantitatively demonstrates that the $\mathrm { L } 1 _ { 2 }$ phase is enriched in Ni (52.8 at.%), Al (10.4 at.%), and"
chart_0001,2,../02_images/figures/chart_0001.jpg,Fig. 5. Boundary layer model: Hydrogen concentration ahead of a stationary crack tip for three stages of the first load cycle. The results have been obtained under steady state conditions and with load ratio R = 0.,4,0.557337,0.307337,high,paper::sent::98,text_item,"Combining the friction coefficients at room temperature and ${ 9 0 0 } \ { ^ { \circ } } \mathrm { C } ,$ the formation of the transfer layers can significantly decrease the friction coefficients, Fig. 5(a and b)."
chart_0001,2,../02_images/figures/chart_0001.jpg,Fig. 5. Boundary layer model: Hydrogen concentration ahead of a stationary crack tip for three stages of the first load cycle. The results have been obtained under steady state conditions and with load ratio R = 0.,5,0.556745,0.306745,high,paper::sent::88,text_item,"Flexural, impact, and tensile strength of $\mathrm { F E } _ { 0 } { \cdot } \mathrm { B A D C y } ,$ LCFE2- BADCy, and $\mathtt { L C F E } _ { 5 } { \mathtt { - B A D C y } }$ resins (Fig. 5(a-c)) gradually increases with the increase of the mass fraction of FE0, LCFE2, and $\mathrm { L C F E } _ { 5 } ,$ respectively."
chart_0002,3,../02_images/figures/chart_0002.jpg,"Fi. 6. $R = 0 .$; Fig. 7. Boundary layer model: Crack extension versus the number of cycles for different hydrogen concentrations. Results have been obtained for $\Delta K / K _ { 0 } = 0 . 0 8$ , under a load ratio of $R = 0 . 1$ and load frequency $f = 1 \operatorname { H z } .$",1,0.561227,0.311227,high,paper::sent::149,text_item,"Fig. 7 shows the results obtained in terms of (normalised) crack extension versus number of cycles, as a function of the environmental hydrogen concentration $C _ { \mathrm { e n v } }$ These computations have been conducted for a pre-charged solid $( C ( t = 0 ) = C _ { \mathrm { e n v } } )$ that is exposed to a hydrogenous environment during the test $( C ( t ) = C _ { \mathrm { e n v } }$ at the boundaries)."
chart_0002,3,../02_images/figures/chart_0002.jpg,"Fi. 6. $R = 0 .$; Fig. 7. Boundary layer model: Crack extension versus the number of cycles for different hydrogen concentrations. Results have been obtained for $\Delta K / K _ { 0 } = 0 . 0 8$ , under a load ratio of $R = 0 . 1$ and load frequency $f = 1 \operatorname { H z } .$",2,0.556854,0.306854,high,paper::sent::204,text_item,"As the annealing time increases, austenite fraction increases $( \mathbf { b } _ { 1 }$ compared to $\mathbf { b } _ { 2 } ) _ { : }$ , and large austenite blocks are observed (e.g., Fig. 7b3 white arrow)."
chart_0002,3,../02_images/figures/chart_0002.jpg,"Fi. 6. $R = 0 .$; Fig. 7. Boundary layer model: Crack extension versus the number of cycles for different hydrogen concentrations. Results have been obtained for $\Delta K / K _ { 0 } = 0 . 0 8$ , under a load ratio of $R = 0 . 1$ and load frequency $f = 1 \operatorname { H z } .$",3,0.549353,0.299353,high,paper::sent::118,text_item,"No significant carbon enrichment, as observed for the $\gamma / \mathsf { M } _ { 2 3 } \mathsf { C } _ { 6 }$ interface in Fig. 7(a), was found at either interface."
chart_0002,3,../02_images/figures/chart_0002.jpg,"Fi. 6. $R = 0 .$; Fig. 7. Boundary layer model: Crack extension versus the number of cycles for different hydrogen concentrations. Results have been obtained for $\Delta K / K _ { 0 } = 0 . 0 8$ , under a load ratio of $R = 0 . 1$ and load frequency $f = 1 \operatorname { H z } .$",4,0.549088,0.299088,high,paper::sent::125,text_item,"After modifying the parameters of the finite element model, the G of PBF-EB is approximately ${ 1 0 } ^ { 5 }$ K/m under a pre-heating temperature of $8 3 0 ~ ^ { \circ } \mathrm { C } ,$ During the PBF-EB AM process, the G values of the grains at the fusion line decrease greatly due to the higher pre-heating temperature of the substrate than that in PBF-LB, resulting in an increase in the time of grain growth (t), which is beneficial to the growth of R for equiaxed grains Fig. 7(c)."
