figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
image_0000,1,../02_images/figures/image_0000.jpg,Fi eventall atomistic configuration.,1,0.350966,0.300966,low,paper::sent::37,text_item,"Unlike traditional ML, active learning involves iterative cycles of prediction and experimentation, using a surrogate model trained on labeled data alongside an acquisition function to select high-uncertainty, unlabeled data points for further testing."
image_0000,1,../02_images/figures/image_0000.jpg,Fi eventall atomistic configuration.,2,0.337326,0.287326,low,paper::sent::41,text_item,"The framework of active learning with multiple objectives, the Pareto active learning framework, is established with a Gaussian process regressor (GPR), initially trained with 119 different combinations of LPBF process parameters and HT conditions from previous studies, employed as the surrogate model, and expected hypervolume improvement (EHVl) used as the acquisition function."
image_0000,1,../02_images/figures/image_0000.jpg,Fi eventall atomistic configuration.,3,0.334183,0.284183,low,paper::sent::55,text_item,"The NEP approach, on the other hand, is a native machine-learned potential fully implemented in GPUMD, including both training and inference."
image_0000,1,../02_images/figures/image_0000.jpg,Fi eventall atomistic configuration.,4,0.332989,0.282989,low,paper::sent::27,text_item,An evaluation of all the data is provided and a model to describe the behavior is developed based on an understanding of the materialenvironment interaction.
image_0000,1,../02_images/figures/image_0000.jpg,Fi eventall atomistic configuration.,5,0.331927,0.281927,low,paper::sent::40,text_item,"The nep executable serves the training of NEP models, whereas the gpumd executable is designed for conducting MD simulations."
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fig. 4. Scatter plot of simulation results in red dots, compared to the experimental results in green curve.",1,0.569577,0.319577,high,paper::sent::66,text_item,"Fig. 4 shows the TG-DSC curves of Si, YbDS-YbMS, YbMS and LMA coating, respectively."
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fig. 4. Scatter plot of simulation results in red dots, compared to the experimental results in green curve.",2,0.568537,0.318537,high,paper::sent::127,text_item,Fig. 4 presents the room-temperature engineering stress-strain curves for the steels in both AQ and aged conditions.
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fig. 4. Scatter plot of simulation results in red dots, compared to the experimental results in green curve.",3,0.561021,0.311021,high,paper::sent::88,text_item,XRD data of annealed SiC fibers and annealed SiC matrix at 9001400 °C for 1 h in Ar atmosphere are shown in Fig. 4.
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fig. 4. Scatter plot of simulation results in red dots, compared to the experimental results in green curve.",4,0.557246,0.307246,high,paper::sent::104,text_item,"Thin films of pure L-PAAs, M-PAAs and H-PAAs were produced by solution casting from their solutions with concentration of 1 wt%, and the data of contact angle were measured and listed in Fig. 4(h)."
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fig. 4. Scatter plot of simulation results in red dots, compared to the experimental results in green curve.",5,0.556478,0.306478,high,paper::sent::67,text_item,"To determine the appropriate sintering temperature range for our samples, the powder DSC measurements (Fig. 4) were analyzed show ing that melting begins at $1 3 0 4 ^ { \circ } \mathrm { C }$ and ends at 1334 °C, which is in the range of reported values of cast alloy 625 materials between 1290 and $1 3 5 0 ^ { \circ } \mathrm { C }$ [11] and close to the solidus of $1 2 9 4 ^ { \circ } \mathrm { C }$ for an alloy 625 powder reported by Simchi [17]."
